tweet_text,month_of_tweet
"Bishop faults government on cancer machine, MPs car scheme: The bishop of Ma'di and West Nile diocese, Rt Rev...",9
Eating a combination of chilli and ginger could help prevent cancer,9
"Here are the many benefits of exercise for drinkers, cancer and heart disease patients",9
"October of every year is commemorated as international breast cancer awareness month, also known…",9
The Right to The Truth. For families – friends of patients with #cancer. The #ebook is being…,9
So Touching! Chelsea Star Willian Posts Heartbreaking Message About Mum Suffering From Cancer For 2years (Photo),9
Chelsea star posts heartbreaking message about mum suffering from cancer for 2 years,9
Chelsea star Willian posts heartbreaking message about mum suffering from cancer for 2years,9
"October of every year is commemorated as international breast cancer awareness month, also known…",9
"Gen. Ali Apologises on Govt Failure to Procure Cancer Machine: General Moses Ali, the first deputy prime mini...",9
The army is growing so fast. Follow us to chat up …,9
"EMAC WALK 2016: Lolo 1, KSB, Denrele, others joins exquisite magazine at the walk against cancer",9
Research shows that about 30 Nigerian women die of breast cancer each day. This is NO JOKE!!!…,9
Bishop Eddie Long has cancer?,9
I think I'm coming down with a cold or throat cancer#MOLELEKI23,9
"Cancer affects everyone – the young and old, the rich and poor, men, women and children – and…",9
#Repost with repostapp ・・・ #Repost ・・・ September is a big…,9
Darmstadt rename stadium after cancer-stricken fan …,9
"Akufo – Addo is fit, has no cancer – his doctor insists …pic.twitter.com/U5eNs3IshF",9
"Project PINK BLUE Volunteers at the WALK AGAINST PROSTATE CANCER #standupforourmen @ Oshodi,…",9
We made it happen in #oshodi Walk Against Prostate Cancer #standupforourmen #clinixhealthcare…,9
We simply painted Lagos #blue #standupforourmen Walk Against Prostate Cancer Powered by…,9
Standing Up for Men! Lagos! It's happening Live 7KM WALK AGAINST PROSTATE CANCER Starting…,9
"Walking Against Prostate Cancer in Oshodi, Lagos. #standupforourmen Powered by Clinix…",9
"Thanks to for supporting #worldcancerday2016 World Cancer Day Walk, Race &…",9
"Thanks to for supporting #worldcancerday2016 World Cancer Day Walk, Race &…",9
"Watch our #worldcancerday 2016 video Part 1. World Cancer Day Walk, Race & Cycle against Cancer…",9
"Thanks to for supporting #worldcancerday World Cancer Day Walk, Race & Cycle…",9
"The Longer we continue to ignore the causes of Cancer, the more we fail to achieve the aim to…",9
"Thanks to for lending her voice to the #worldcancerday2016 World Cancer Day Walk,…",9
"Thanks to for supporting #worldcancerday2016 World Cancer Day Walk, Race &…",9
MUST KNOW WARNING SIGNS OF OVARIAN CANCER—I WAS DOING JUST FINE BEFORE I WAS JUST A WISH—WISHING YOU ALL AT THE MET GALA—THE WORLD IS IN RO…,9
#Spreadtheword #Getscreened CERVICAL CANCER AWARENESS …,9
