tweet_text,month_of_tweet
DESIGNER—A MAN WHO HAS DONE SOMETHING FOR YOU TO JOIN THE TEAM AT THE FEET OF CHEERLEADER BATTLING LEUKEMIA—I BELIEVE THAT THE TRUTH #ASKKE…,9
Happy bunny day! Also this year I choose an A.I.L egg for help people with leukemia and…,3
Father announces the death of his 4 year old daughter who succumbed of leukemia,3
13 y old Lana from Nablus is fighting leukemia in the department and… …,1
Researchers develop new drug for Leukemia,1
3 years ago from today when he was diagnosed with Leukemia I never imagined we would end up…,6
"For Every fight won, for each battle lost. For admiring Leukemia Fighters. #supportandpray…",6
Eddie Murphy Mourns Older Brother Charlie Murphy Who Died Of Leukemia At Age 57 (Photo) #Naijapals #Gistmaniapic.twitter.com/Ecteh9W99l,4
Thx to Mayor and kemal_saracoglu_vakfi foundation that support kids with leukemia and…,10
Warriors welcome 8-year-old leukemia patient …pic.twitter.com/dFgdGt7Ytp,4
"Veteran Nollywood Actor And Former Broadcaster, Sadiq Daba Diagnosed With Leukemia #Naijapals #Gistmaniapic.twitter.com/ICHuBBOc2H",9
"Veteran Nollywood Actor And Former Broadcaster, Sadiq Daba Diagnosed With Leukemia #Naijapals #Gistmaniapic.twitter.com/ixMUCiFGgm",9
"Veteran Nollywood Actor And Former Broadcaster, Sadiq Daba Diagnosed With Leukemia #Naijapals #Gistmaniapic.twitter.com/lNQy5q3X0U",9
Top 10 ⒼⓄⓄⒼⓁⒺ Trends over the past 24 hours: ➊ Bradley Lowery ➋ leukaemia ➌ leukemia ➍ Buharism 2017/7/7 20:09 WAT,7
Top 10 ⒼⓄⓄⒼⓁⒺ Trends over the past 24 hours: ➊ leukaemia ➋ leukemia ➌ Buharism ➍ Lukaku 2017/7/7 08:09 WAT,7
Top 10 ⒼⓄⓄⒼⓁⒺ Trends over the past 24 hours: ➊ leukaemia ➋ leukemia ➌ Lukaku ➍ Rob Kardashian 2017/7/7 05:08 WAT,7
Top 10 ⒼⓄⓄⒼⓁⒺ Trends over the past 24 hours: ➊ leukaemia ➋ leukemia ➌ Lukaku ➍ Rob Kardashian 2017/7/7 02:08 WAT,7
Super Eagles goalkeeper Carl Ikeme diagnosed with acute leukemia …,7
"""leukemia"" is trending today on Google Nigeria (2000+ searches) …",7
Play? Leukemia means cancer of the white blood cells.,7
"When a stage 4 leukemia Cancer Fighter, Beater and Winner takes a #boss photo…",7
"Clip from the movie ""OH MY MARIA"" Dedicated to all the patients and victims of LEUKEMIA... AS…",7
#leukemia @ Drrpnc,12
"The boy with leukemia. @ Naples, Italy",11
US scientists find new possible cure for leukemia via,11
US scientists find new possible cure for leukemia pic.twitter.com/bIxXwb0IiQ,11
U.S. Scientists find new possible cure for leukemia pic.twitter.com/FSrgaMKVi8,11
Ray Of Hope As U.S. Scientists Find New Possible Cure To Leukemia via,11
US scientists find new possible cure for leukemia via,11
US scientists find new possible cure for leukemia pic.twitter.com/skfzh2z7yD,11
"Sadiq Daba of is battling Leukemia & Prostrate Cancer, and needs your help to win this fight. Pls… pic.twitter.com/5xk6krjzZ6",11
All my troubles started when I was first diagnosed for Leukemia and then Prostate palaver set…,11
