tweet_text,month_of_tweet
"Cancer Awareness ☻ #challengeaccepted #blackandwhite cancerawareness @ Istanbul, Turkey",9
"October of every year is commemorated as international breast cancer awareness month, also known…",9
Hem #tbt hem #ChallengeAccepted #kanser #cancer… …,9
"WEEKLY PREDICTIONS FOR CANCER. #cancer #predictiontime @ Josh 97.8,… …",9
"October of every year is commemorated as international breast cancer awareness month, also known…",9
you could also grow your beard for Movember for testicular cancer awareness if you need a reason,9
Research shows that about 30 Nigerian women die of breast cancer each day. This is NO JOKE!!!…,9
"Photo credit: Cancer sucks, in any way, shape, age or form. But is it really fair to…",9
#research #training #biobanking @ Children's Cancer Hospital… …,9
"Oct 2014: BurJuman Safe and Sound Breast Cancer Awareness Walkathon, Dubai. Can you spot Jose in…",9
"Cancer affects everyone – the young and old, the rich and poor, men, women and children – and…",9
With Dr Zulekha Daud during launch of #WatchYourBack a Colorectal cancer awareness campaign by…,9
#Repost with repostapp ・・・ #Repost ・・・ September is a big…,9
Darmstadt rename stadium after cancer-stricken fan …,9
"Akufo – Addo is fit, has no cancer – his doctor insists …pic.twitter.com/U5eNs3IshF",9
The first #drosophila #hpv #cancer model #hope4cure …,9
"Project PINK BLUE Volunteers at the WALK AGAINST PROSTATE CANCER #standupforourmen @ Oshodi,…",9
We made it happen in #oshodi Walk Against Prostate Cancer #standupforourmen #clinixhealthcare…,9
"Challenge Accepted !! #Black_And_White #Fight_Against_Cancer @ Doha, Qatar",9
Pink gloves - the fight against breast cancer #cancer #fight #photo #medical #livorno #italia…,9
We simply painted Lagos #blue #standupforourmen Walk Against Prostate Cancer Powered by…,9
Standing Up for Men! Lagos! It's happening Live 7KM WALK AGAINST PROSTATE CANCER Starting…,9
"Walking Against Prostate Cancer in Oshodi, Lagos. #standupforourmen Powered by Clinix…",9
#57357#love#place#happy#finally#finish#ourwork#elhamdulah#hospital#cancer#hope @ Children's…,9
"Thanks to for supporting #worldcancerday2016 World Cancer Day Walk, Race &…",9
"Thanks to for supporting #worldcancerday2016 World Cancer Day Walk, Race &…",9
"Watch our #worldcancerday 2016 video Part 1. World Cancer Day Walk, Race & Cycle against Cancer…",9
"Thanks to for supporting #worldcancerday World Cancer Day Walk, Race & Cycle…",9
"The Longer we continue to ignore the causes of Cancer, the more we fail to achieve the aim to…",9
"Thanks to for lending her voice to the #worldcancerday2016 World Cancer Day Walk,…",9
"Thanks to for supporting #worldcancerday2016 World Cancer Day Walk, Race &…",9
#Spreadtheword #Getscreened CERVICAL CANCER AWARENESS …,9
"We may never understand illnesses such as cancer. In fact, we may never cure it. But an ounce of…",9
"""Globeathon event to fight cancer"" #smile #befit #sportive #runtoendhercancer #fightcancer…",9
"""Globeathon event to fight cancer"" #smile #befit #sportive #runtoendhercancer #fightcancer…",9
Sishayi Thobela! #EMAC2016 cancer awareness 10 km walk #nigeriameetsouthafrica ĺ @ Allen Av.…,9
Walk Against Prostate Cancer starting from Anthony.... We're just setting out.... cc…,9
Team SA lead by Consul General Darkey Africa. Exquisite Magazine Against Cancer Walk #EMAC2016…,9
"When you hear the word 'cancer,' it's as if someone took the game of Life and tossed it in the…",9
"When you hear the word 'cancer,' it's as if someone took the game of Life and tossed it in the…",9
