tweet_text,month_of_tweet
"Ah, bless....how fluffy of him ...and yet he left cholera, guinea worms, leukemia etc right here",2
I learned more about fortitude and well... life from a Guinea pig with leukemia...,10
"You might like this:She's got leukemia, should she be guinea pig? …pic.twitter.com/xlAPup5f17",8
Try this: woman with leukemia used as guinea pig …pic.twitter.com/zL9cWEpkKt,8
"2/2 and it was deadly to my sister. She died at the age of 3 with Leukemia. It was revealed by CDC, they used us as guinea pigs",12
at most it's a guinea pig with leukemia.,11
Soluble plasma DNA polymerase and guinea pig leukemia #EurekaMag,5
Soluble plasma DNA polymerase and guinea pig leukemia #EurekaMag,5
Soluble plasma DNA polymerase and guinea pig leukemia #EurekaMag,5
"Sure, like botulism, guinea worms, typhus, childhood leukemia, cholera, dysentery..... thanks g, your benevolence is never beginning...",5
