tweet_text,month_of_tweet
i learned this the hard way with my guinea pig my poor thing died of a cancer and to this day i still cry when i think about him,6
"""LAUGHTER IS THE BEST MEDICINE, UNLESS YOU HAVE CANCER."" Pic of guinea pig with a paper hat that says ""ONCOLOGIST""",6
"The polirical cancer in Afrika! ""Equatorial Guinea’s president appoints own son vice president"": …",6
Dadi Toka #cancer #supportive care in Papua New Guinea. Lots of challenges. Partnerships with NGO's,6
Draw your guinea pig and your bunny discovering the cure for cancer,6
"Since Equatorial Guinea's president was diagnosed with cancer, he appointed his first son as Vice President of Equatorial Guinea.",6
Draw your guinea pig and your self discovering the cure for cancer,6
is it true yo used 30k Indian gals as Guinea pigs to test cervical cancer vaccine.? #Shame …,6
"Dark side of Bill Gates’ philanthropy: 30,000 Indian girls were used as guinea pigs to test cervical cancer vaccine …",6
Still thinking about allys cat that has one ear because of cancer and her Guinea pig named nugget,6
Many Cancer Patients Fear Being 'Guinea Pigs' In Clinical Trials #clinicaltrials #cancer pic.twitter.com/zJtO00QJia,6
"Dark side of Bill Gates’ philanthropy: 30,000 Indian girls were used as guinea pigs to test cervical cancer vaccine …",6
Draw your bunny and your guinea pig discovering the cure for cancer,6
Draw your friend and your guinea pig discovering the cure for cancer,6
Johnson & Johnson shampoo & talc under cancer cloud India guinea pigs 2 developed world,6
No YOU'RE crying about Pres. Carter beating cancer long enough to see the eradication of the Guinea worm.,6
"30,000 Indian girls were used as guinea pigs to test cervical cancer vaccine. …",6
"But what about Dr. Lawrence Williams research on the isolated protein complex from Guinea Hen Weed to treat melanoma, lung & breast cancer?",6
Well if I was in charge I wouldn't shoot them. I'd give them cancer then use them as guinea pigs for testing pic.twitter.com/QhLKXY5hhD,6
|| that is sad. I have a Guinea pig with cancer. …,6
A new series of ovarian cancer pills makes Jan feel like a guinea pig: pic.twitter.com/vwu6dHi0lh,6
Criminal Bill Gates’ philanthropy: 30000 Indian girls used as guinea pigs to test cervical cancer vaccine … #Socialism,6
Cancer fight in Papua New Guinea: A Case of Horse before the Cart? … #cancer,6
Dude a year ago today my guinea pig died of lymphatic cancer. I'm still bitter about it tbh,6
"Using children for drug trial so the 1% , like #stevejobs , don't die from cancer. Children just Guinea pigs ( pic.twitter.com/PYn7mcLFoM",6
Guinea Declared Free Of Active Ebola Transmission: WHO #health #cancer,6
Explaining Guinea Pig cancer to a 6 year old is dead difficult,5
Medicinal Timeless Herbal Care Dr Williams Guinea Hen Weed-Fights #cancer & has pesticidal potential #Jamaica,5
Anti-cancer discovery from Guinea Hen Weed - News - … via,5
So true. It sickens me how willing most seem to be to have children act as guinea pigs. Cancer is just 1 of many emf risks.,5
"""Guinea pigs don't get cancer""",5
"Cancer circus! $Billions of profit, millions of guinea pigs, us!",5
Mantequilla the Guinea Pig is fundraising for Breast Cancer Care. Donate to her JustGiving page …,5
Many Cancer Patients Fear Being 'Guinea Pigs' In Clinical Trials … via,5
"Guinea pigments - puns, cute animals and cancer at #pint16pic.twitter.com/RAACCbHwY8",5
intellect? That's rich coming from the swamp Guinea who said kids with cancer are meant to die.,5
rly sad the Guinea pig at work has cancer :(,2
President Carter endorse #Trump Guinea worm nor Cancer keeps President Carter down Works to rid planet of diseases,2
Here's my interview with former US President Jimmy Carter on how he's fighting Guinea worm and cancer: …,2
I had registered to be a guinea pig for researchers at my mama's cancer hospital... I thought maybe they'd do helpful genetic studies,2
"Jimmy Carter prays that he will outlive Guinea worm. Let's hope so, although he is fighting metastatic cancer. ""only failure is not to try""",2
"Extraordinary Jimmy Carter. 91, brain cancer, his hope that he outlives the guinea worm his foundation has worked to eradicate",2
Just heard ex president Carter on the Today programme and his fight against Guinea worm as well as his own cancer - what an amazing man.,2
"Are you #DStrong? Dorian, 8, from the US has cancer. His last wish is to be famous. Tell him he's famous in Papua New Guinea",2
update: eating cuy (Guinea pig) will also cure your cancer #peruvianblackmagicpic.twitter.com/XUWyDcnz1D,2
Children weren't told they were guinea pigs for new cancer vaccine via,1
"As featured on TV na ""Miracle Fruit"" from Papua New Guinea ay nasa Pilipinas na! An amazing revolutionary alternative treatment to cancer...",1
"As featured on TV na ""Miracle Fruit"" from Papua New Guinea ay nasa Pilipinas na! An amazing revolutionary alternative treatment to cancer...",1
"Water quality(Flint), Cancer treatment & research, Zika virus, eradication of guinea worm, ebola, polio. Personalised med4affluent.",1
"GUYS Essential oils kill tumors! #cancer My dog is my guinea pig, soon she will be cancer free!",1
"As featured on TV na ""Miracle Fruit"" from Papua New Guinea ay nasa Pilipinas na! An amazing revolutionary alternative treatment to cancer...",1
"As featured on TV na ""Miracle Fruit"" from Papua New Guinea ay nasa Pilipinas na! An amazing revolutionary alternative treatment to cancer...",1
Sorcery beliefs linked to cervical cancer problem in Papua New Guinea pic.twitter.com/jPNAqHPUmx,1
"Jimmy Carter beat brain cancer. Now wants to eradicate Guinea worm, which would be first parasite ever defeated. …?",1
why do all my pets get diseases my guinea pig died of fucking thyroid cancer,1
"Carter's philanthropy nearly eradicated Guinea Worm. Mr. Vice President, if anyone could do that for cancer, it's you.",1
Guinea -Hen weed cancer treatment … …,1
Bouncing Cell Therapy Madness - Avoid Slimy Cancer Monster PRO - Ian MacPhee: ...,1
my guinea pig died of cancer this week but I havent seen him added into the edit of Bowie and the lot with their middle fingers up to cancer,1
Bouncing Cell Therapy Madness - Avoid Slimy Cancer Monster FREE - Ian MacPhee: ...,1
:'( And my guinea pig died on Sunday. Probably not cancer though x,1
I know cancer & I will not wish it on U or anyone. U need to check yourself. OUT OF LINE!,1
"Jamaican Herb That Kills cancer cells, Guinea hen weed. Anamu cleaned block tube",1
Into cancer research? First slaves now guinea pigs????? …,1
She was a long haired Guinea pig named hazel and she died of breast cancer #shitericsays #viafacetime,1
"… I NEED THIS, CANCER GUINEA PIG HAT TO REPRESENT CRYING CRAB...",1
Flesh-Burrowing Guinea Worm Soon to be Eradicated From South Sudan #health #cancer,1
internet feminists need to packed in crates & used as guinea pigs in some secret underground facility to find a cure for cancer or whatever,1
one of our guinea pigs had cancer and he passed away today :'(,1
i watched this documentary of this dog who had cancer and her owner got her some guinea pigs to lift up her spirits and it was good.,5
Guinea Hen slows the growth of cancer cells? …,5
"she looks a bit like my guinea pig Albert, he passed away last year and I also couldn't tell that he was sick, he had lung cancer",5
". NIH makes ppl guinea pigs ie needle biopsy, spread existing cancer Smart prsn refused Natural healing disappeared nodules",5
". NIH makes ppl guinea pigs ie needle biopsy, spread existing cancer Smart prsn refused Natural healing disappeared nodules",5
and we wonder why cancer is out of control. why are we allowing ourselves to be guinea pigs?! …,5
"At news conference announcing his brain cancer diagnosis, said he wasn’t afraid to die, wanted to live longer than guinea worm. #champgrad",5
guinea hen weed might be the answer for cancer sufferers,5
"Jamaican Herb That Kills cancer cells, Guinea hen weed. Anamu cleaned block tube",5
"I become pissed when I think about how my granny died of cancer, those doctors drugged her up and used her as a guinea pig.",5
Your generous contributions are helping combat the spread of oral cancer in Papua New Guinea. Find out how you...,5
"Dark side of Bill Gates’ philanthropy: 30,000 Indian girls were used as guinea pigs to test cervical cancer vaccine …",5
Cricket PNG hosts Biggest Morning Tea on Mother's Day. Thank you Papua New Guinea Cancer Foundation,5
"Dark side of Bill Gates’ philanthropy: 30,000 Indian girls were used as guinea pigs to test cervical cancer vaccine …",5
i had two guinea pigs a few years ago and they were sisters and they both got cancer :(,5
"If you're feeling useless, just remember that we were the guinea pig generation that mobile phone brain cancer rates were tested on.",5
Their Next Act: Ringling Brothers' Elephants... to Contribute to Cancer Research. … retired to be guinea pigs?,5
#ttip : US way to deal with toxicity i.t. food chain is to 'manage' substances so people are guinea pigs till contract cancer. Then coverup,5
"Why are guinea pig treatments legal, and proven #cancer treatments against the law? #NHS #healthpic.twitter.com/8oyxq4cr4G",5
"Guinea pigs 4 profits. Either you get disfigured, lose,organs or end up getting a cancer, then $ roll with lawsuits …",5
Seniors cancer treatment plans should not be CMS guinea pigs …,5
HPV infection can be identified in self-collected vaginal swabs #guinea …,5
HPV infection can be identified in self-collected vaginal swabs #guinea …,5
HPV infection can be identified in self-collected vaginal swabs #guinea …,5
"High risk, potentially cancer causing human papillomavirus infections are common among women in Papua New Guinea.",5
13 Year Old Dog With Cancer Granted Dying Wish: To Adopt Baby Guinea Pigs … #iHeartDogs via,5
I would not let you lot look after my guinea pig that would have cancer fool,5
"High risk, potentially cancer causing human papillomavirus infections are common among women in Papua New Guinea",4
we are all guinea pigs #chemtrails #gmo #Fukushima #vaccines #cancer #aids #ZikaVirus #Ebola #haarp #addictions,4
"President & ""co"" is enjoying a nice exotic trip to New Zealand and Papua New Guinea .. no baggage of a sick cancer ridden wife now !",4
"Naked mole rats, more related to guinea pigs/porcupines than to rats, have long been credited as resistant to cancer",4
Mantequilla the guinea pig has breast cancer & decided to raise money for breast cancer care. ?,4
Can you this for Mantequilla? She's a middle aged Guinea pig with breast cancer.,4
God damn cancer I bet there's lots of carrots and you get brushed every day in Guinea pig heaven pic.twitter.com/y7SycRAA83,4
"I’m a mom of 3, dog-mom of 1, guinea pig-mom of 3, wife of 1 Highlander, a writer & #ovarian cancer survivor. #YARWAChat",4
Metastatic clinical trial patients - wondering if you feel like you are part of the future of cancer treatment or like a Guinea pig? #bcsm,4
"Jersey cows made us victims of diabetes and cancer , now we should be guinea pigs for GM?",4
"Dark side of Bill Gates’ philanthropy: 30,000 Indian girls were used as guinea pigs to test cervical cancer vaccine …",4
"Dark side of Bill Gates’ philanthropy: 30,000 Indian girls were used as guinea pigs to test cervical cancer vaccine …",4
"The great Dr Sebi who cured Aids, Cancer etc was planning to open a lab/processing plant in Tanzania/Guinea, process herbs to heal us all",9
"Thank you, I'm a guinea pig, they've no clue what to do with me as the cancer is so advanced, chemo after chemo to no avail x …",8
Yea I think my guinea pig has cancer as well,8
Draw your guinea pig and your teacher discovering the cure for cancer,8
"When my dad got cancer, he actually went to some A-Number-One specialists, but only because they used him as a guinea pig and tax writeoff",8
"Life term is not enough, life term as guinea pig for HIV/AIDS & Cancer drug research",8
"Reason I say that, I had/have the .01% type of thyroid cancer. I had no where to go for answers, Dr's used me as guinea pig",8
"Lorne P12 College: Kokoda Trek and Papua New Guinea experience, Loris Yorke and the Lorne Cancer Conference …",8
"If I get stage IV cancer, I will not be the next guinea pig No chemo for me Chemo is deadly I'll take my chances Enjoy what time left",8
"Marinaville Students Participate in HTSP Program: Earlier this year in April, the Papua New Guinea Cancer… #PNGpic.twitter.com/VW0W9Ju0U6",8
"...whose generosity also gave innocent children the Ebola virus, Guinea worms, cancer, earthquakes, mud slides, bereavement....",8
Draw your dad and your guinea pig discovering the cure for cancer,8
when my atheist step-g-pop was diagnosed w/ an aggressive form of cancer he decided to become a guinea pig for science. the radium balls...,8
The humble on being a cancer drug guinea pig …,8
The ever beautiful on being a cancer drug guinea pig …,8
Bill #Gates' Philanthropy: 30k #Indian girls used as guinea pigs to test #cancer #vaccine …,8
"#IAG #SFG #ITG Vera frets for Adam, who is Guinea pig in rush to prevent cancer.",8
Draw your friend and your guinea pig discovering the cure for cancer,8
young my guinea pig got cancer and i hate to put him to sleep,8
Young my guinea pig has cancer …,8
looks like a Guinea pig that has cancer,8
Draw your mom and your guinea pig discovering the cure for cancer,8
Draw your guinea pig and your hero discovering the cure for cancer,8
I leave the room for five minutes come back Cancer is playing and I shit you not my guinea pigs are crying,8
"Jimmy Carter, cancer-free, crusades against Guinea... …",8
To become human guinea pigs in the discovery of cancer and other uncurables.,8
they wanna do tests on me i already have to do cancer screenings im not gonna be a fucking guinea pig,8
"Pastor Wesley Tobon, a GBBI missionary in Papua New Guinea, recently lost his wife to cancer. Please pray: …",8
"bruh my guinea pig has cancer and im out of town for 5 days, this is stress",8
