tweet_text,month_of_tweet
"As you must know by now, I am participating in the Leukemia & Lymphoma Society’s Man & Woman of the Year...",5
Early presentation of osteonecrosis in acute lymphoblastic leukemia: Two children from the Nordic and Baltic cohort …,5
*face palm* Take an aspirin? My son was diagnosed with leukemia in 2012... Any advice for that?,5
I may have caught a leukemia today at work so there goes tonight's happy feeling.,5
"If you pray, a little girl had a major setback in her leukemia fight. Marrow replacement is last line of defense Kind thoughts welcome too",5
Bout to do this black tie fundraiser for leukemia #charity #comedy… …,5
I'm thrilled my comedy partner Krisha is here to support my fundraising campaign for the Leukemia & Lymphoma Society and so is she #MWOYKnoxpic.twitter.com/v3CP1tAnjd – at Jackson Terminal,5
National Children’s Leukemia Foundation Shut : This Is Why It’s OK Not Donate … via @,5
National Children’s Leukemia Foundation Shut Down: This Is Why It’s OK Not To Donate Money,5
#Science #Cool Preclinical: Researchers harness metabolism to reverse aggressiveness in leukemia #Tech #Retweetpic.twitter.com/eol1mwhDYn,5
Lay off the name calling. I read your Twitter intro about leukemia. There was nothing about what I wrote attacking you.,5
"Not now, idiot, I'm going to instantly die of leukemia",5
"Gettin ready for this charity event benefiting the Leukemia and Lymphoma Society at Cities, hope…",5
"A BIG, important event I'll be emceeing Friday night. We're raising $ for good friends' daughter who has #Leukemia",5
Leukemia & Lymphoma Society names chief medical officer #Hematology #Oncology,5
#GMI GlycoMimetics shares surge on positive news on acute myeloid leukemia candidate. Read more: $GLYC,5
#GMI GlycoMimetics shares surge on positive news on acute myeloid leukemia candidate. Read more: $GLYC,5
VIDEO: How can plasma cell #leukemia be managed? w/ of #mmsm,5
ASXL2 is essential for #haematopoiesis and acts as a haploinsufficient tumour suppressor in #leukemia. pic.twitter.com/wUhaDTUOT8,5
Leukemia patients face unique dental challenges. But dentists can also recognize the early warning signs.,5
Same my baby cousin is battling leukemia …,6
'We Are Still A Family Of Five:' Powerful Angel Wedding Photo Honors The Son They Lost To Leukemia,6
Had a dream last night that I kept visiting in the hospital because he had leukemia. Wth thank god it was only a dream!,6
This 1-year old girl with #leukemia only has a 2% chance of finding a bone marrow match. pic.twitter.com/j4l91Ey28N,6
I added a video to a playlist Sir Charles @ Leukemia & Lymphoma Society,6
"Popular ""Diet"" Ingredient Now Linked to Leukemia and Lymphoma in New Landmark Study on Humans",6
HAHAHAHAHA …,6
The end omg …,6
DREAM finish for leukemia challenge …,6
CMLHope Americans Favor Investment in Cancer Cure: (NewsUSA) - Sponsored News - As divisive as... #CML #Leukemia,6
I'm fucking screaming …,6
Thank You for putting a smile on Mikey's Face...He's battling Leukemia and this jersey made his Day pic.twitter.com/OG6d4PYuSj,6
THE SKILL,6
"Please pray for my wife, Kathryn, as she battles leukemia. Her bone marrow transplant is tomorrow.",6
This never gets old …,6
Why is this so funny …,6
Aspartame is linked to leukemia and lymphoma in new landmark study on humans …,6
A Neighborhood Fixture in Spite of Eviction: He’s closing in on 60 and ... #CML #leukemia,6
This is actually so funny …,6
Fuck sake im literally in the worst mood,6
Life Expectancy of Patients With Chronic Myeloid Leukemia Approaches the Life Expectancy of the General Population …,6
Life Expectancy of Patients With Chronic Myeloid Leukemia Approaches the Life Expectancy of the General Population …,6
How the doctors took on childhood leukemia... and won via,6
Someone ft me,6
Really need a wee as well,6
bullshit. Have you heard of Havroni? Cures Hep C. How about every antibiotic. Chemotherapy for leukemia.,6
Shit mood,6
Gonna get smashed,6
Cba I just want a cuddle,6
Bored,6
Have not been on much. Dealing with a sick kitty. One good thing is feline leukemia test came back negative. Vet gave i v fluids twice.,6
Characterization of children with FLT3-ITD acute myeloid leukemia. A report from the AIEOP AML-2002 study group …,6
Liberty Lake PD surprise 11yo while she was raising money for her Leukemia treatment So kind of them.pic.twitter.com/yO7D09CZY7,6
Click here to support 5 Year Old Fighting Leukemia by Jeddrick O'Brian Carter,6
"Please pray for our friends in NC ( & their precious son Harrison, who relapsed w/leukemia today after being in remission.",6
"The Leukemia & Lymphoma Society Names John P. Leonard, MD of Weill Cornell Medicine and NewYork-Presbyterian its 201…",6
Thank you Leukemia & Lymphoma Society for the Sox tickets! It's a beautiful night for a ball game! pic.twitter.com/8AVqfdYPjg,6
"Blood cancers—leukemia, lymphoma and myeloma—made up almost 10 percent of all... #CTCALifepic.twitter.com/VDk12PPtfF",6
"Why would you say ""kink leukemia"" and not ""leukinkmia""",6
CMLHope Americans Favor Investment in Cancer Cure: (NewsUSA) - Sponsored News - As divisive as... #CML #Leukemia,6
Newlywed needs a #bonemarrow donor 2 beat #leukemia! Register now 2 help at ! #givingtuesday #teamjane,6
Improved Detection of Invasive Pulmonary Aspergillosis Arising during Leukemia Treatment Using a Panel of Host…,6
Childhood Leukemia Was Practically Untreatable Until Dr. Don Pinkel and St. Jude Hospital Found a Cure,6
Why do you always say you're going to kill yourself? — Maybe I am hehehe …,6
when one of the kids u nanny has leukemia and a bad week of no immune system the same week my immune system decides to crash and burn,6
"Smhw I got my name from my mum's patient, who suffered leukemia :')",6
So we finally found out what my baby girl died from. She had leukemia:(,6
thanks you have just given me an eating disorder,6
"Eleanor was diagnosed w/ high-risk Acute Lymphoblastic Leukemia & after 2 years of treatment, she’s in remission! pic.twitter.com/YSYS0OetSh",6
#Leukemia News: Principal component analysis uncovers cytomegalovirusassociated NK cell activation in Ph leukem...,6
Which optimal therapy for high-risk chronic lymphocytic leukemia? Dr Barr & Dr Alyea of explain:,6
Popular “Diet” Ingredient Now Linked to Leukemia and Lymphoma in New Landmark Study on ... - …pic.twitter.com/nl22Kc6x88,6
I'm getting bare fat,6
Texan is first adult in U.S. to receive updated stem cell transplant for leukemia treatment- …,6
CMLHope Americans Favor Investment in Cancer Cure: (NewsUSA) - Sponsored News - As divisive as... #CML #Leukemia,6
CMLHope The Leukemia & Lymphoma Society: Dr. Leonard is the Richard T. Silver Distinguished Pr... #CML #Leukemia,6
"Popular “Diet” Ingredient Now Linked to Leukemia and Lymphoma in New Landmark Study on Humans JUN 27 • ""FOOD"" TO...",6
World map of Chronic myelogenous leukemia (CML),6
93 percent of advanced leukemia patients in remission after immunotherapy #Advancedleukemia #cancer #immunotherapy,6
One of my Sunday school boys who is 14 was in remission from leukemia found out today that it came back,6
"*andrea looking at her perfectly normal foot* ""I think I have leukemia""",6
"Three years ago, we found out my grandma had breast cancer, and a year ago, my grandma was fighting against leukemia. Time has been flying",6
#AKinGoa HaifaBanna: #Urgent any #blood type is needed at AUBMC for a Leukemia patient Amin bou nassar in critical condition.03801857 - …,6
ECS for MRD via NCI! The NCI has awarded the Druley lab an RO1 to use error-corrected sequencing for MRD analysis in leukemia! Thanks 2 NIH!,6
#AKinGoa HaifaBanna: #Urgent any #blood type is needed at AUBMC for a Leukemia patient Amin bou nassar in critical condition.03801857 - …,6
This little girl has been diagnosed with leukemia. The Pub is helping out the family any way we can. Please stop...,6
i called him pupper he cant get the leukemia i forbid it,6
HaifaBanna: #Urgent any #blood type is needed at AUBMC for a Leukemia patient Amin bou nassar in critical condition.03801857 - 03151491 …,6
Tougher Than Cancer via #leukemia #orange #survivor #walk #cancer,6
Tougher Than Cancer via #leukemia #orange #survivor #walk #cancer,6
Tougher Than Cancer via #leukemia #orange #survivor #walk #cancer,6
Tougher Than Cancer via #leukemia #orange #survivor #walk #cancer,6
love u,6
DREAM finish for leukemia challenge - rice #college #usa …pic.twitter.com/Efe6ehh8fb,6
Another reason to stay in shape. Helps prevent leukemia! #lab4life #ASCLS …,6
CMLHope Americans Favor Investment in Cancer Cure: (NewsUSA) - Sponsored News - As divisive as... #CML #Leukemia,6
CMLHope Lexington resident receives Dr. Cynthia Lucero Humanitarian Award: The Leukemia & Lymp... #CML #Leukemia,6
bye u embarrassment,6
GlycoMimetics Doses 1st Patient in Phase 2 of Clinical Trial of GMI-1271 in Newly Diagnosed Acute Myeloid Leukemia,6
new phone who dis,6
"Three recent CMU running backs have tragically died the past four years: Ontario Sneed (heart), Derrick Nash (leukemia), now Zurlon Tipton.",6
Steve Abell begins chemotherapy on Wednesday for treatment of Chronic Leukemia. This is an answer to prayer as...,6
Are you actually a sexual — No course not …,6
Damn u fitty …,6
Wish Georgia would stop growling at me,6
Asking Alexandria / closure,6
#Leukemia News: Global Market Study on Bone Marrow Transplant Latin America to Register Highest Growth Rate by ...,6
"Sylvia Hatchell video: When I went for leukemia treatment, Pat Summitt called every day.",6
Getting Involved with the Leukemia Research Foundation - Oil and natural gas executive Mike Nasatir serves...,6
This my friends is not the American average,6
GIVE US A SCREAM MOTHERFUCKERS,6
shut up bruv ur gross,6
I love people with pretty eyebrows,6
We have a foundation 4 days like this. Our buddy Harrison just suffered relapse (leukemia). Have to help him Win Anyway!,6
that's not enough to win my heart bitch <3,6
[VEGF] [Clinical Curative Efficacy of Lenalidomide Combined with Chemotherapy for Acute Leukemia and Its I... PM,6
Wish my Bae did this …,6
Can I just have a genuine answer if you're single o... — No I'm asexual …,6
Are you speaking to anyone? — No I'm asexual …,6
Do you actually have a girlfriend? — No I'm single xx …,6
Are u actually 18? — Yeh I am …,6
So my platelet count is 114. My Doctor would rather blame Prosecco than Leukemia. I may have to move.,6
Ash arrived last summer. He tested positive for feline leukemia. He’s real healthy and we hope he stays that...,6
This is why I love making #music and why is amazing. #indierock #leukemia …pic.twitter.com/JFtpg82MeS,6
#Urgent any #blood type is needed at AUBMC for a Leukemia patient Amin bou nassar in critical condition.03801857 - 03151491,6
"Let's get physical! Study shows that exercise reduces risk of 13 cancer types, including #myeloma and #leukemia pic.twitter.com/pdtt5lKUmo",6
"Hope you'll like my essay re playing tennis after leukemia, relating to Victoria Duval playing #Wimbledon2016 after lymphoma",6
Congratulations on beating leukemia,6
Christopher’s story about his battle with leukemia during college makes us proud to be a sponsor of,6
Resistance to chemotherapy is associated with altered glucose metabolism in acute myeloid leukemia.,6
Consumption of #artificialsweetener increases risk of #lymphoma and #leukemia in men and women.,6
"Dr. Caulford of #Scarborough's uninsured clinic stands w/ Adil, who tells his story of having leukemia, but no OHIP. pic.twitter.com/ptaltjWs9h",6
The most common adult leukemia is not just one disease?! Important new research …,6
I feel so shit I'm gonna get so drunk,6
I've literally chewed the whole inside of my mouth,6
No one ever fucking trusts me,6
I just supported The Leukemia & Lymphoma Society by shopping #YouShopAmazonGives …,6
Don Pinkel and the Total Therapy V Study of 1968 via #leukemia,6
So fucking pissed off,6
"Cappie is such a fucking liar, she lies about her j... — Shut up idc …",6
yes because an electronic device can receive leukemia.,6
Can't wait to go sleep,6
Craving chocolate so bad,6
Georgia is such a cunt,6
"Don't want to scare anyone (it's not about me), but if you guys know anything/have dealt with Acute Myeloid Leukemia I appreciate any advice",6
Context: Sir Butch had me read this aloud in class and my mom who had leukemia already refused chemotherapy at the time. Not my best moment.,6
Read how Primary Children’s Hospital is helping Georgia Brady battle #leukemia:,6
Read how Primary Children’s Hospital is helping Georgia Brady battle #leukemia:,6
Read how Primary Children’s Hospital is helping Georgia Brady battle #leukemia:,6
when u see if you've been diagnosed with leukemia,6
"She is Nalina Garcia, has leukemia and she has no money to pay for their treatments. #helpplease #leukaemia #Nalina",6
Hiring Immediately: Edmonton Marathon Volunteers to support Leukemia & Lymphoma Society of Canada on August 21!,6
Hiring Immediately: Edmonton Marathon Volunteers to support Leukemia & Lymphoma Society of Canada on August 21!,6
Pubmed: [Research Progress on the Role of Chromatin Remodeling Factor BRG1 in Acute Myeloid Leukemia].,6
That's very true …,6
Wish everyone would fuck off,6
#Leukemia News: New method to grow and transplant muscle stem cells holds promise for treatment of muscular dys...,6
Didn't know u were 23 can't message u considering I... — I was joking I'm 18 …,6
"#Trains, Cars & A Trip To Mars song ""Rainbow Skies;"" is about her nephew's battle w/leukemia pic.twitter.com/Ean6PQ9sjw",6
can you send my 5year daughter Esme a video message she is fighting leukemia we found out last week. Thank you,6
NCCN Publishes New Patient Education Resources about Myelodysplastic Sy... #CML #leukemia,6
"Could be cause for concern. Worst case would be hemophilia or leukemia, but without a complete hx, hard to say. Needs PCP FU",6
It is people's business when she's been lying to ev... — Everyone calls her Cappie …,6
don't post it all over Twitter,6
I'm in the worst fucking mood,6
It's been a good year in the fight against cancer. Four new drugs funded by The Leukemia & Lymphoma Society were...,6
Most Popular “Diet” Ingredient Now Linked to Leukemia and Lymphoma … via,6
I liked a video from My Personal Battle With Mantle Cell Lymphoma Leukemia,6
ur so cute — Why thankyou …,6
"Hearing on Rome today,I really would like to get him in touch with player Cruz Carter fighting leukemia",6
Cappie says she lied about her first name because s... — It's not really anyone's business but hers is it …,6
Mantle Cell Lymphoma Leukemia Cancer Story ...,6
