tweet_text,month_of_tweet
"My mom was just diagnosed with stage 2 breast cancer, she will be missing alot of work due to chemo therapy. …",8
cancer sticks …,8
"Slandering is a cancer. Whoever gets this habit, they loose aim of their life and spend their entire life...",8
10 Effective Natural Remedies To Treat Pancreatic Cancer …,8
#WorldCare Consortium Spotlight: Dana-Farber Cancer Institute. Read Blog:,8
"Oh wow new Mcmillians cancer advert, truly inspiring when it's all around you #YoullNeverWalkAlone",8
"Hillary Clinton is ""doing the work"". Helped man with bladder cancer in his moment of need. …",8
this is cancer,8
both my grandparents died from lung cancer and my best friend from childhood blew her head off you psycho selfish demonic cunt,8
My moms cancer is now stage 4 & there's nothing we can do ..,8
"We could be worth a segment. Beautiful love story, survived cancer at 26, trying to get the worst thing we lost #hopingtoadopt",8
Learning About Breast Cancer Lumps & Screening #breastcancerawareness #healthy#breastcancerpic.twitter.com/8rB7RUklRR,8
"Kato and Kleo need your help, stuck in shelter for 4 years, one has cancer … via",8
LMAO you firgered out the 10 min ad rev thing. HAHA 10 min click bait cancer videos yay I still have no idea why i am subbed.,8
Not looking forward for this clinic tho (@ Central Coast Cancer Centre),8
Mommas tests for cancer came back negative,8
#Holiday #Crafts Pink Ribbons of Hope Graffiti Black Breast Cancer Survivor Fabric by 1/2 Yard #Fabric #Yardage,8
I'll be at my dads cancer surgeon. Would y'all save me a hug and shirt?,8
"#Cancer #ZodiacPeople - Cancer woman do not date lightly, they are looking for a permanent relationship.",8
As someone who's personally experienced how amazing the cancer team is at University of Iowa Hospitals and...,8
– RSS Channel – Intl Homepage – News: Ex-90210 star reveals cancer has spread …,8
Well I was diagnosed with aggressive colon cancer today. Everything else on hold til I beat this.,8
I'm sorry I keep talking about it but you have the nerve to call someone a rapist when you lie about having cancer. and suicide,8
Inspiring success. Rachael Braunshweiger – Working Mom’s Success Gives Family Hope in the Face of Cancer:,8
"#Naples #Florida, come on down to #HurricaneGrill and #help #support my mom's successful #cancer removal surgery! pic.twitter.com/V4kKYviPZ7",8
"SoulFest Northwest Show 1 Oct 7.00pm Heywood Civic Centre Supporting Cancer Research UK, British Kidney Patients...",8
"I'd punch all these fuckers in the tits, cancer for them.",8
jabliya cancer,8
"'Of all the recommendations…""Eat mostly foods of plant origin"" appeared the most powerful' in reducing cancer risk …",8
Cancer survivor receives artificial jaw thanks to #3Dprinting breakthrough: via #healthtech...,8
Cancer …,8
"With their hunger quenching fiber and cancer-fighting antioxidants, apples really do keep the doctor away.",8
Cancer survivor receives artificial jaw thanks to #3Dprinting breakthrough: via… …pic.twitter.com/MyyBcRx9Pi,8
"Most of the human body disease such as #Obesity, Cancer, Heart disease are linked with our #food which we #eat in our day to day life.",8
10 Cancer Symptoms That Women Shouldn't Ignore …,8
