tweet_text,month_of_tweet
Juno CAR T Cell therapy CAR014 Patients with Advanced Lymphoma in Remission after T-cell Therapy |,9
Immunotherapy of non-Hodgkin’s lymphoma with a defined ratio of CD8+ and CD4+ CD19-specific chimeri... |,9
"LCC we are asking for prayer for one of our teens, Hunter Large, who has been diagnosed with pediatric lymphoma....",9
Leukemia & Lymphoma Society Blood Cancer Awareness month!! Please give!,9
the lymphoma after 3 years is more or less under control. The poor kid has barely 18yo,9
immune system must be very weak. Pneumonia is very dangerous for the already sick. Hope he can control the lymphoma,9
Immune Therapy Makes Headway Against a Lymphoma …,9
Cancer Breaking: Immune Therapy Makes Headway Against a Lymphoma: Early trial results termed 'fantastic step ...,9
Immune Therapy Makes Headway Against a Lymphoma #CancerAwareness,9
Immune Therapy Makes Headway Against a Lymphoma: Early trial results termed 'fantastic step forward' in fight...,9
Therapy 'Step Forward' for Non-Hodgkin Lymphoma - WebMD,9
"Since LLS's inception 65 years ago, cures for many patients with acute lymphoblastic leukemia and Hodgkin lymphoma have been achieved. #BCAM",9
"Lymphoma, Enteropathy-Associated T-Cell (EATL) … #healthguide #nutrition #symptoms #glutenfree",9
If you ever need a 3x Hodgkin's lymphoma SCT survivor as a volunteer or advocate please PM me.,9
"Patient attends for a 'low value' licence medical...""By the way, Doc, what's this?"" Diagnosed lymphoma. #JustAGP",9
"Please help support Lymphoma Awareness, add a #Twibbon now!",9
"Landscapers, migrant farm workers, and farmers, all diagnosed with non-Hodgkin's lymphoma. What’s the link? #Roundup",9
MT Our #Lymphoma Survivorship Clinic helps the growing number of survivors manage their health.,9
#LRF Lymphoma Research Ride Set to Kickoff its 10th Year in Support of Blood Cancer Researc... Read more:,9
[MedNews] Therapy 'Step Forward' for Non-Hodgkin Lymphoma #mednews,9
"CFB: Pitt's James Conner tweets ""my body is clean of cancer,"" had Nov. 2015 Hodgkin lymphoma diagnosis; ""God is...",5
Thank you. She had a steroid shot which made the swelling from lymphoma go down. pic.twitter.com/5IlbkoeReD,5
"Just heard about overcoming his battle with non Hodgkin's lymphoma! Huge congrats to him, means I'm up next, lets go!!",5
Pittsburgh RB James Conner is now cancer free after having Hodgkin's Lymphoma for the past 6 months. #pittsburgh #p…pic.twitter.com/aumUqTZDfP,5
"100% of all ticket sales will go directly to The Leukemia & Lymphoma Society (LLS) to cure leukemia, lymphoma, Hodgkin’s disease and myeloma",5
I'm raising money for Stage 4 Burkitt's lymphoma. Click to Donate: … via,5
Great news out of #Pitt: RB James Conner says he is cancer free 6 months after diagnosis of Hodgkin's lymphoma. Best of luck to that man,5
Beta-catenin? Not lymphoma! :),5
encouraging report: Phase I study of single agent ibrutinib in recurrent/refractory CNS #lymphoma,5
Thanks to for lunch today! Our SPN 3 class raised over $350 for Leukemia & Lymphoma #wearelampherepic.twitter.com/hTqf3ZnerR,5
Thank you for all you do on behalf of blood cancer research! I am a 2 time survivor of lymphoma !,5
#Pitt's says body cancer free after months of treatment for Hodgkin lymphoma. Folo -,5
"She has her up and down days fighting lymphoma. But today is an up day, so we celebrate the…",5
Pittsburgh star RB Conner says he is cancer free: Conner was diagnosed in December with stage 2 Hodgkin's lymphoma.,5
GnRHa Does Not Preserve Ovarian Function in Young Women With Lymphoma,5
All proceeds benefit the Leukemia and Lymphoma Society Arizona Chapter pic.twitter.com/FCmFTsSJSN,5
"CFB: Pitt's James Conner tweets ""my body is clean of cancer,"" had Nov. 2015 Hodgkin lymphoma diagnosis; ""God is AMAZING""via",5
Headaches | American Brain Tumor Association … Argyle Cancer Formula Lymphoma,5
NEW: Young-Adult Onset Hodgkin Lymphoma Diagnosis Associated with #MS …,5
'diagnosed' & 'lymphoma' are now trending in #Pittsburgh,5
Leukemia & Lymphoma Society Man of the Year 2016: Candidate Jeff Adelman: via,5
#NowPlaying Bear Bone Company - Burkitt Lymphoma on,5
#NowPlaying Bear Bone Company - Burkitt Lymphoma on,5
I just supported The Leukemia & Lymphoma Society by shopping #YouShopAmazonGives …,5
#Pittsburgh redshirt junior RB James Conner (Hodgkins lymphoma) says that he is free of cancer. #NCAAF #NFL,5
"CFB: Pitt's James Conner tweets ""my body is clean of cancer,"" had Nov. 2015 Hodgkin lymphoma diagnosis; ""God is AMAZING""via App",5
totally agree. My son was diagnosed with Burkitts lymphoma in 2014. Almost 2 years in remission,5
Check out the PSA I did for the Leukemia and Lymphoma Society! WATCH-> …pic.twitter.com/dDmtmFmOPL,5
"#H2P: CFB: Pitt's James Conner tweets \""my body is clean of cancer,\"" had Nov. 2015 Hodgkin lymphoma diagnosis; \""…",5
"Huge blessings to you ! Happy ur fight w/lymphoma is over! Gods Healing is so amazing,Good luck this year man rooting for you!",5
