tweet_text,month_of_tweet
Can I just punch #cancer in the face and tell it to go away and leave us alone? #softtissuesarcoma #sarcoma #fxckcancer #stupidcancer,9
"Soft Tissue Sarcoma Market : Industry Analysis, Opportunity Assessment and Forecast Up to 2025",9
same,9
"her doctor said it was one of the worst cases they had seen in a while. educate people, it could save or prolong a life.",9
"in her skull, brain, bladder, kidney, spine, lungs, right leg. they only managed to successfully get it out of her pelvis.",9
"seeing how ewings effected my sister made this story personal. to quote fault in our stars, my sister's mri ""lit up like a christmas tree"".",9
"all i want is to know that one day there will be a better rate of survival for people with sarcoma cancers, and of course other cancers.",9
if we didn't persist for a blood test then we never wouldn't have known something was wrong. we wouldn't have had 18 months to say goodbye,9
my sister would have passed away before christmas that year (she was diagnosed in october) if she didn't get the pains checked out.,9
"please, just to be safe. if you feel there is something wrong, get it checked. my sister was lucky to catch it when she did.",9
"ewings sarcoma is not the only sarcoma. they mainly affect teenagers, of which most are boys.",9
"however, rarer cancers have less study behind them and less funding (understandebly). please take the time to donate to",9
"ewings sarcoma is an extremely aggressive, painful and repetitive cancer. the unfortunate likelihood is that remission is sparse also",9
i remember avidly following when he announced his battle with ewings sarcoma. i'm just seeing that he unfortunately passed away,9
He was fighting a rare form of bone cancer called Ewing sarcoma for the past 1.5 years. He sadly passed away this morning.,9
Kaposi Barkoma A puppy shaped biopsy of a nodule in the skin of a patient with Kaposi sarcoma #histology #pathology #anatomy #pathArtpic.twitter.com/ErYcyk7Kcv,9
Jenna was 13 when she was diagnosed w/ Stage 4 Ewing's Sarcoma. She's been beating the odds ever since #cancerlauNCH,9
We all get there exactly when we are meant to...,9
"VIDEO: The current landscape for #sarcoma #immunotherapy treatments, Breelyn A. Wilky #ASCO17",9
Pubmed: EWS-FLI1 Retargets BAF Chromatin Remodeling Complexes in Ewing Sarcoma.,9
"Every Sunday and Wednesday evening the Sarcoma Alliance hosts a live chat, moderated by an SA board member or...",9
Bethany Says Goodbye to Dad's Sarcoma Cancer - Too Cute: via,9
Trent Hodkinson is auctioning his match worn 'Hannah Rye' embroidered jersey for Kick Sarcoma! Bid here: pic.twitter.com/YEmHc4prHy,9
A Rare Presentation of Synovial Sarcoma as Cervical Lymphadenopathy in a Pediatric Patient—a Case Report … …,9
A Rare Presentation of Synovial Sarcoma as Cervical Lymphadenopathy in a Pediatric Patient—a Case Report … …,9
EVERY. TUMOR. SHRANK. Some too small to even measure. #Leiomyosarcoma LAME-O-SARCOMA …,9
6 years ago today my best friend passed away after a long battle with Ewing's sarcoma. We miss you. Rest in peace Scott. Until we meet again,9
I texted this to my best friends husband bc he's a doctor and I was convinced it was a sarcoma. Grateful for life. pic.twitter.com/6fcTsFrsB0,9
I have a lump in my leg and webmd told me it's a sarcoma. Goodbye cruel world.,9
"We cannot control outcomes to cancer, esp advanced sarcoma. But we have many options that can help optimize our chances. These I offer.",9
I don't know. Looks more like sarcoma to me. I guess I'm less of a fan of humans. pic.twitter.com/NzmPOy2kQQ,9
and that is fantastic communications,9
The two major types of bone tumors are #OsteoSarcoma (60%) & #Ewings #Sarcoma (30%) plus 10% miscellaneous sarcomas. #childhoodCancer #fact,9
#antibodies Olaratumab for the treatment of advanced soft tissue sarcoma.: Olaratumab a human monoclonal antibody…,9
"Then you blogged and loads of people benefitted from your insights, as recognised",9
"#GOGOLDFOHEKIDS Donation Link Sarcoma Foundation of America, Inc.: #ChildhoodCancerAwarenessMonthpic.twitter.com/uEAM0d1T4A",9
Pulmonary metastasis of undifferentiated uterine sarcoma forming fluid-containing cyst,9
"Today we honor and remember Alexandra Lamparter. She was diagnosed with Ewings Sarcoma, January 2014 after complaining of hip pain. pic.twitter.com/4sX41Yu49E",9
Meet Skylar and read about her courageous journey with stage 4 synovial sarcoma: #MyChildhoodCancerStorypic.twitter.com/WFML1blM1c,9
Actually at that time I remember seeing signs in windows warning of Kaposi's Sarcoma (HIV related cancer). Aids had not then been identified,9
"Salina, Sarcoma Come winds of the D'Urville Sea Tectrices, otitis Et qua uvulitis Die Stimme to me",9
I can't trick you guys! Low grade fibromyxoid sarcoma. MUC4+ and FUS-CREB3L2. From the paper that and found.pic.twitter.com/b3vTcjvUTG,9
helpful info from #cancer #support …,9
Raynaud's phenomenon and digital gangrene as a consequence of treatment for Kaposi's sarcoma.,9
Next-Generation Sequencing for Patients with Sarcoma: A Single Center Experience.,9
Updating vital status by tracking in the community among patients with epidemic Kaposi sarcoma who are lost to… … …,9
Lessons and Advice From Our Patients: A Focus Group of Sarcoma Survivors - #PREMS #information,9
Donation link …,9
Ready for #runbedfordhalf for,9
Identification of Properties of the Kaposi's Sarcoma-Associated Herpesvirus Latent Origin of Replication That Ar...,9
Study raises hope for new sarcoma treatment #endallcancers pic.twitter.com/moVc3JAa9J,9
New2Trip: Olaratumab in combination w/ doxorubicin for treating advanced soft tissue sarcoma,9
Statins/Adriamycin-Kills #Cancer Stem Cells |#sarcoma #bcsm …,9
EWS-FLI1 Retargets BAF Chromatin Remodeling Complexes in Ewing Sarcoma [Research Watch] … …,9
I'm raising money for Sarcoma Medical Fund. Click to Donate: … via Thanks to all those who have donated.,9
. first US #pediatric center to use MR-HIFU. May be used in #sarcoma. #childhoodcancer …,9
Farewell to and hello Excited to be working in Sarcoma genomic group deciphering rare bone cancers hoping to find a cure.,9
"Join #TeamOHSU next Saturday, 9/5 for the #Dragonslayer Walk! Register: #sarcoma pic.twitter.com/3f6rqC8hSZ",9
Hope Strength Love Sarcoma Bone Cancer Awareness License Plate Tag | eBay pic.twitter.com/5eCwor0IPn,9
Fabulous restaurant! Meal for 2 here (inc overnight stay at 5* One Aldwych) is an auction lot at Charity ball for & …,9
$NWBO expected start changed from summer to fall for DCVax-Direct phase 2 sarcoma trial pic.twitter.com/UhKIOhmj3U,9
"A privilege to discuss Melanoma and Sarcoma with such great experts! Dr. Eggermont and (still some questions, though)pic.twitter.com/hLlzJCahYS",9
$NWBO Sarcoma trial for soft tissue sarcoma and osteosarcoma with Dr. Sant Chawla in Santa Monica expected to be initiated in Fall 2017. pic.twitter.com/zqKrATw6nC,9
crazy thought: prior hx of malignancy? in another location considered LG fibromyxoid sarcoma...MUC4?,9
Soft Tissue Sarcoma Market Research Report: Forecast up to 2025,9
Soft Tissue Sarcoma Market Research Report: Forecast up to 2025,9
Preclinical Activity With Olaratumab in Sarcoma,9
"Very interesting and difficult case Carles!. endothelial markers in a lesion like epithelioid sarcoma, indolent course. Congrats !!",9
"Soft Tissue Sarcoma Market Research Report: Forecast up to 2025 - Soft tissues such as muscles, blood...",9
CK: also intellectual disabilities. One clear gain of function translocation in synovial sarcoma #moet2017,9
I know you're not supposed to have favorites. But she's my favorite. Three legged because of sarcoma. But even after surgery? Sweetest cat.,9
Which Cancers Secondary to Kaposi Sarcoma Are Emerging in the HAA Era?,9
"""Which Cancers Secondary to Kaposi Sarcoma Are Emerging in the HAA Era?"" via #TeamGoodin #LearnTogether #HealthI…",9
Learn more about the Jefferson #Sarcoma & #BoneTumor Center: …,9
"A poor patient handed me P500 so that I would help him with his disease. I refused, of course. ""Gamot na lang po,"" he said. (St. IV Sarcoma)",9
"The good and bad of ""surgical optimism"". The most important lesson I learned from a patient. … #cancer #sarcoma #lcsm",9
She didn't get paid?? The money raised went straight to Sarcoma UK who helped her family when her mum had cancer you sad piece of,9
I'm raising money for Sarcoma Medical Fund. Click to Donate: … via,9
"wow. 20# sarcoma. That's crazy. Hope your friend feels better, best of luck!",8
going to visit my friend tomorrow who had a 20lb sarcoma removed. She didn't take pics,8
FDA Places Partial Hold on Pivotal Trial of T-Cell Therapy in Sarcoma,8
Click here to support Ewing Sarcoma - Medical Expenses by Tyler Jenkins,8
Lifting you up in prayer Pray4Jarren. I am carrying you around along with my sarcoma band and praying for your...,8
FDA Places Partial Hold on Pivotal Trial of T-Cell Therapy in Sarcoma: The FDA has placed a partia...,8
FDA Places Partial Hold on Pivotal Trial of T-Cell Therapy in Sarcoma …,8
Feline sarcoma brought on by adjuvants in her rabies shot. She almost made it a year from her amputation.,8
Bad news? This is effect of the close FDA communication received BT for pivotal study in new sarcoma - see news & upcoming conf,8
Phase 1 study of selinexor in advanced/refractory bone or soft tissue sarcoma,8
"We are honored to work with Ellen Hamilton, CEO of Chemo Cozy, to bring chemo-friendly jackets to sarcoma...",8
Portraits Of Sarcoma Patients Challenge Body Image Perceptions After Cancer …,8
New therapy for advanced sarcoma combines monoclonal antibody therapy w/ #chemotherapy: shows higher survival rates:,8
ah sucks. Think I've actually got a marathon during the week as well,8
I would do it but I'm working and won't be able to get it off!,8
haha thanks. Think I've actually got a half marathon on that date. Will have to check,8
still think you should do it!,8
[Refractory primary myeloid sarcoma of the breast with MLL-AF9 rearrangement]. #breastcancer,8
I've voted for Sarcoma UK to win Charity of the Year at the #jgawards. Vote for a charity here …,8
isn't far enough for me I'm afraid,8
Dust of your lycra! Join #TeamSarcoma in Deadline 18 Aug. pic.twitter.com/5KerOT3Wd6,8
ICR_CTSU: Our CASPS trial of cediranib in alveolar soft part sarcoma has completed recruitment. Thank you to al… …,8
Important: Pls complete and …,8
"A phase I trial of selinexor, an oral drug for #sarcoma patients, is looking promising:",8
Such a great story. Two boys form unique bond over cancer and leg surgery via #pedcsm #sarcoma,8
#Repost childhoodcancerwarriors ・・・ Raylee Metts is fighting Ewing's Sarcoma for about a year…,8
Click here to support Kickin Ewings Sarcoma with DylanSuperStrong organized by Kyle Kenny … via,8
Good luck to you. I lost my brother to Sarcoma. Nasty cancer. …,8
53% of the general public have not heard of You can improve this. Watch & share … … #SarcomaAware,8
Very helpful collection of #research on #sarcoma -- for parents and doctors alike via …,8
Helpful and clear information about soft tissue #sarcoma …pic.twitter.com/8u5GtadTV5,8
Jamie is raising money for Sarcoma UK as blogs were an inspiration #runformarcus …,8
NEW bone #sarcoma guide for patients: free d/load,8
Our CASPS trial of cediranib in alveolar soft part sarcoma has completed recruitment. Thank you to all who took part; results expected 2017.,8
Sarcoma Awareness Month: Summer 2016 Newsletter …,8
"#HIV +ve #AIDS associated #Kaposi's #sarcoma? Early #lesions: #macular,Later:#papular #nodular & #ulcerate.pic.twitter.com/oAkgIAsMsc",8
A new update has been posted to Hilary Lambert's Sarcoma Cancer Fund: …,8
Do you live near or around St Bees? Come and cheer on our supporters this Saturday,8
Can't thank you enough <3 <3,8
"G counteracts sarcoma buy flagyl online liver progress, humans. Any propecia 5mg thyroiditis, uvea high-fibre whe…",8
This is huge: research co-funded by Sarcoma UK leads to drug trial. It clearly shows how donors bring about change. …,8
This is me! I am stronger than it! #sarcoma #cancersucks #kickingarse,8
My poor old cat was nowhere to be seen yesterday- I get especially anxious if he is swop as he is unwell with a big sarcoma on his nose,8
Hospital again today! This is 4 my pre-op assessment. Gotta get used to it will be spending A LOT of time there soon! #sarcoma #cancersucks,8
Sarcoma Olaratumab really a breakthrough for softtissue sarcomas,8
I #hate #cancer! Follow + Support Nick in overcoming #Sarcoma #Cancer!,8
When to Suspect Sarcoma #srcsm …,8
Osteo sarcoma will go down as perhaps the worst cancer in United States history! #MakeBmurphGreatAgain,8
"GHESKIO Centers, The Haitian Group for the Study of Kaposis Sarcoma and Opportunistic Infections, Port-au-Prince, Ouest 15727, Haiti.",8
Always gr8 2 have trained at the #1 cancer center in the world for #sarcoma #MDAnderson #1 #again,8
Surgery: Predictors of improved survival for patients with retroperitoneal sarcoma,8
The most common cancers of children are: 7. Bone cancer(including osteosarcoma & Ewing sarcoma) Donate: 0571500010,8
Second Malignant Neoplasm Risk Higher in Survivors of Fusion-negative Sarcoma …,8
"Sarcoma last year, she just recently finished chemo therapy two weeks ago. As a reaction to chemo therapy, she has congestive heart failure",8
