tweet_text,month_of_tweet
The fighter of this cancer God keep me @ Helen Joseph Hospital,12
"I have flu,any donations? "" Who has cancer & needs donations?""",12
100%'I will personally root out this racism cos is like cancer in our society'm tired of (ISM)=(ISM) on media pic.twitter.com/PDDSeUhGtn,12
"Doggy Style Causes Cancer & Stroke’ Says Minister of Health, Motsoaled pic.twitter.com/AJ8QPYGo94",12
What it looks like when you know that you are beating cancer. @ Steve Biko Hospital,12
"uDakiwe Nangu uMuntu ""Doggy Style Causes Cancer & Stroke ’— Says Minister of Health, Motsoaledi.""",12
"Heish mara!! Resa hwile"" Apparetly they also have Stroke and Cancer …""",12
"MWHIV - People With HIV Have Higher Risk To Have Tuberculosis And Other Cancers - According to reports, people…",12
"MWHIV - People With HIV Have Higher Risk To Have Tuberculosis And Other Cancers - According to reports, people…",12
#Stigmabase | ZAHIV - People With HIV Have Higher Risk To Have Tuberculosis And Other Cancers - According to…,12
""" Study: Alcohol increases the woman's risk of breast cancer by about 20%; and the risk of phuza-face by about 50%.""",12
Mother gets a doll made to look exactly like son who died of cancer (Photos) …,12
Donation of hair to the cancer peeps! Salute! #sweeneythebarber #durban #031 #SAbarbershops…,12
I intend to populate Instagram with children's characters for Child Cancer Awareness Week. Give…,12
"Cancer is costly. It can take a toll on your health, your emotions, your time, your…",12
Cancer sucks.,12
… -Israel's Blockade of Gaza Is Killing Women with Breast Cancer,12
Dr. Holladay discusses the approach ASCP is taking today to decrease cancer morbidity and…,12
Cancer is complex and treatment is dependent on pathology access. @ Cape Town International…,12
"""I intend to populate Instagram with children's characters for Child Cancer Awareness Week. Give…",12
Life can never be described by humans! @ Cancer Diseases Hospital,12
""" Marijuana can aid in slowing down the growth of cancer cells."" pic.twitter.com/kpdHeVpHlt",12
"""A different way of looking at cancer""... An H&E gets us a long way but we need other tools.…",12
Cancer target kind people With my experience,12
Fellow cancer. Probably one of the coolest figures ever in history. Very inspiring.,12
"""I intend to populate Instagram with children's characters for Child Cancer Awareness Week. Give… …",12
"31 years ago AIDS was discovered for the first time. ""A rare cancer""… …",12
I intend to populate the instagram with children's characters for Child Cancer Awareness Week.…,11
I intend to populate Instagram with children's characters for Child Cancer Awareness Week. Give…,11
Doing our bit for Cancer today. The situation right now. Here I am with Janine Johnston and…,11
mourinho is becoming a cancer to United the sooner giggs comes the better,11
"MWHIV - African pastor claims he can cure cancer, HIV with 'Doom' spray - Lethebo Rabalago, a South African pastor…",11
"MWHIV - African pastor claims he can cure cancer, HIV with 'Doom' spray - Lethebo Rabalago, a South African pastor…",11
Refilwe Sedumedi talking breast cancer Had to rush back home after… …,11
Proud cancer survivors @ Diepsloot Community Hall …,11
"#Stigmabase | ZAHIV - African pastor claims he can cure cancer, HIV with 'Doom' spray - Lethebo Rabalago, a South…",11
"Stigmabase | HIV - African pastor claims he can cure cancer, HIV with 'Doom' spray - Lethebo Rabalago, a South…",11
No doubt about that. it is with sadness that revolutionary passes on but Rocky is going to a better place than cANCer SA,11
Its a gud thing that the elders did not push anyone I want to see them there when the cancer of corruption has destroyed everything,11
"MWHIV - Male Circumcision Not Linked to Cancer of the Penis - In South Africa, a fake news story claiming that…",11
cancer is a serious illness ... greedy wench #NomhleMbulawa is ruining it from legit sufferers,5
one ascend to power and enrich his friends and family that is corruption and its a cancer,5
MWHIV - African Women Living With HIV Are Six Times More Likely To Have Cervical Cancer - Little study showed that…,5
MWHIV - African Women Living With HIV Are Six Times More Likely To Have Cervical Cancer - Little study showed that…,5
#Stigmabase | ZAHIV - African Women Living With HIV Are Six Times More Likely To Have Cervical Cancer - Little…,5
Stigmabase | HIV - African Women Living With HIV Are Six Times More Likely To Have Cervical Cancer - Little study…,5
"MWHIV - US drug spending on par with South Africa's GDP - They include major franchises in cancer, autoimmune…",5
"MWHIV - US drug spending on par with South Africa's GDP - They include major franchises in cancer, autoimmune…",5
"#Stigmabase | ZAHIV - US drug spending on par with South Africa's GDP - They include major franchises in cancer,…",5
#tbt joined Male Cancer out of Town @ Jo'burg Metro Council Chambers in Braamfontein,5
#MaySkinCancerMonth May is skin Cancer month #SaModel #SAEntrepreneur #SAFashion #SALifeSytle…,5
"ON THE ROAD TO CURING CANCER #Cancer #Miracle #Juice #Blend @ Pretoria, South Africa",5
Dad bought me this. Coz my parents will feed me anything to make sure I'm cancer free @ Summer…,5
"Getting a zodiac tattoo is so pretty cool I'm a cancer and its sign is literally 69 @ Glenwood,…",4
"Count me out "" #Cancer will betray, steal, and kill to be loved.""",4
"100% "" The #Cancer male is about the 'MMF': Money, Marriage & Fatherhood.""",4
MWHIV - Cancer in HIV-Positive Population Expected to Decline by 2030 - HIV-associated cancers are expected to…,4
MWHIV - Cancer in HIV-Positive Population Expected to Decline by 2030 - HIV-associated cancers are expected to…,4
"Please come back comrade #ChrisHani, we need your leadership to get rid of the Zuma/Gupta filth and corruption that is spreading like cancer",4
"suspend him to be replaced by political appointee crooks, in this regard cANCer crooks?",4
#Stigmabase | ZAHIV - Cancer in HIV-Positive Population Expected to Decline by 2030 - HIV-associated cancers are…,4
"Look at what Radiation has done to my chest. I hate cancer @ Summergreens,Milnerton Cape Town",4
""" Habits That Put You at Risk for Colon Cancer …"" papag",4
"What if Dr Makhosi Busisiwe Khoza decide to Mantash like they normally do at cANCer, the fact that she belongs with them mean she can do it.",4
"MWHIV - Insects employed to treat cancer, HIV - Besides the traditional use of insects such as termites and…",4
"MWHIV - Insects employed to treat cancer, HIV - Besides the traditional use of insects such as termites and…",4
""" #Cancer gets irritated if you say anything rude to them."" Flippen annoyed",4
""" #Cancer's are very loyal and trusting which can often lead them to be taken advantage of."" True that/indeed",4
"#Stigmabase | ZAHIV - Insects employed to treat cancer, HIV - Besides the traditional use of insects such as…",4
"Stigmabase | HIV - Insects employed to treat cancer, HIV - Besides the traditional use of insects such as termites…",4
"Recap | HIVZA — Fighting HIV, Other Viruses Could Trigger Cancer Mutations - When combatting viruses such as HIV, several enzymes in the immune system may malfunction and cause cancer-related mutations, according to a new study published ... The…",12
"Stigmabase | ZAHIV — Fighting HIV, Other Viruses Could Trigger Cancer Mutations - When combatting viruses such as HIV, several enzymes in the immune system may malfunction and cause cancer-related mutations, according to a new study published ... The…",12
"Recap | HIVZA — Fighting HIV, Other Viruses Could Trigger Cancer Mutations - When combatting viruses such as HIV, several enzymes in the immune system may malfunction and cause cancer-related mutations, according to a new study published ... The…",12
"Stigmabase | ZAHIV — Fighting HIV, Other Viruses Could Trigger Cancer Mutations - When combatting viruses such as HIV, several enzymes in the immune system may malfunction and cause cancer-related mutations, according to a new study published ... The…",12
