tweet_text,month_of_tweet
"Fundamentally something to celebrate, despite long-term side effects and varying prognoses for different cancers. #BCCWW",8
#F1: Chris Amon: Former driver dies from cancer at the age of 73 pic.twitter.com/BtZMlYBQ53,8
"New Photos Of Sir Shina Peter's Wife, Sammie, After Battle With Cancer …",8
"New Photos Of Sir Shina Peter's Wife, Sammie, After Battle With Cancer pic.twitter.com/QC7n2Z8LgY",8
"Nigeria Cancer Society holds the 42nd Annual General Meeting ,1st International Scientific Conference#Yar'Adua Center Abuja.",8
"How To Prevent Cancer If You Use Deodorant Every Day........ """,8
Bitterness is like cancer. It eats upon the host. But anger is like… …,7
18 year old Cancer patient marries high school sweetheart at Tulsa children’s hospital …,7
"#MongolCRW are now officially Russians! Only took 8 1/2 hours at the border crossing, but we're over",7
Leaving Georgia through the mountains & see ourselves an amazing look out over the valley & a glacier.,7
"Camping on the Georgian coast last night, now off to the canyons to complete some challenges!",7
Wrong 2 carryout operation for Stage IV CANCER bcos d tumour can spread 2 other organs which is dangerous Chemotherapy/Ablation(Y),7
ALTHOUGH YOU MAY ENCOUNTER A FEW STUMBLING BLOCKS TODAY YOUR MORE FOR CANCER RESEARCH—LIKE A BUNNY—YOU CAN JUST—WHEN YOU PEEP A LOT OF THESE,7
It will be sad if this was a scam all along cancer is no joke,7
You all know she could die of this Useless News and not even the cancer ? I'm ashamed of Nigerians .,7
Hello Family let me introduce you to KickOff - An annual soccer breast cancer awareness…,7
"Hi guys, this beautiful and strong soul is Mayowa. She currently has ovarian cancer and needs…",7
Inflammation is Jihad. Cancer is Islam. Infected organ is your alien moslem population. Remove them from The West. Save yourselves.,7
Leaving Istanbul and bump into the Where the Hell Are We Now Team! #small world,7
"10th Stop Cervical, Breast and Prostate Cancer in Africa. @ African… …",7
"Participating in the 10th Stop Cervical, Breast & Prostate Cancer in Africa Conference,... pic.twitter.com/9SPZKFKi3D",7
Humen heart with 4 consequences: 1-shot. 2-cancer. 3-teen drug overdose. 4-fatty oversized #قنيزة_فلسفهpic.twitter.com/we1W72S3J7,7
"#oldcouple Those moments makes You Feel ""Single"" just like Cancer!!! #old #ture #love #never…",7
Don't let your worries take over your thinking like cancer. It's not worth it... #ayodeletim…,7
A new study shows alcohol causes cancer. Soon beer will look as bad as alcohol in a few years. The pastors are being vindicated?,7
Already got a Romanian sponsor! | Find me with inReach➜,7
Morning.. #cairo #57357_childrens_cancer_hospital With Bike @ Children's…,7
"not only the alcohol but also processed food, to live in big cities...education in many senses is necessary to eradicate cancer.",7
lcohol Alcohol is a direct cause of seven ​​forms of cancer . ￼ pic.twitter.com/IOFrd1X3QZ,7
"The previous administration was borrowing to pay salaries. We were taking panadol when we had cancer. - Finance Minister,",7
Congratulations to all the winners: World Cancer Day 2016 Raffle Draw #projectpinkblue,7
I am an NCD Advocate and I want Nigerian Government and President Muhammad Buhari to make Cancer…,7
""" Marijuana can aid in slowing down the growth of cancer cells."" eat some weed today smokers are liable to die young",7
"Thanks for all the wonderful Birthday wishes!! #BirthdayGirl #Cancer #Europe @ Budapest, Hungary",7
Oncologist uses Sodium Bicarbonate in cancer ther…:,7
3 verified accounts helped to turn #CervicalCancer into a Trending Topic. These accounts were: &,7
Repost / Free Breast and cervical cancer screening every Friday 10am-5pm. For more…,7
"LUMPS? BE CALM, IS NOT ALL BREAST CANCER. If you notice something unusual during a breast…",7
I'm at King Hussein Cancer Foundation in Amman,7
"""Cancer can be prevented or even cured if detected early"" by Prof Chumy Nwogu. #getscreened…",7
Yesterday with alexmadball from hcxhc1!! Follow hcxhc1 and support their fight against cancer!!!…,7
"Day 9 Selfie Challenge to Support #cancer awareness. If nominated, you have to post a selfie for…",7
NCT #Run against #Cancer #bestfriends #sport #charity #fckcancer @ NCT Nationales Tumorcentrum…,7
regrann from - ALCOHOL & #CANCER RISK: What you need to Know! Alcohol is one…,7
ALCOHOL & #CANCER RISK: What you need to Know! Alcohol is one part of so many celebrations be it…,7
Nice Day to f...k skin cancer once more #chirurgiaplastica #plasticsurgeon #plasticsurgery…,7
OBESITY & BREAST CANCER (Apple-Shaped Vs Cancer) You may have noticed that so many people are…,7
Team Lakeshore with Ms Tourism Nigeria at the cancer awareness concert @ Landmark…,7
"Am so persistent about putting on factor 50 to avoid skin cancer, get sad when I have no sun tan…",7
OBESITY & BREAST CANCER (Apple-Shaped Vs Cancer) You may have noticed that so many people are…,7
New Moon in Cancer conjunct Mercury & waving to Venus in Cancer too. When words start to feel…,7
Smilin' cos we STAND UP TO CANCER! proud of my bro's and their…,7
GOING TO BE A CHOOSER NOT A JUDGEMENTAL ASS—FIXED—YOU MAY HOLD YOUR FRIENDS IN SUCH HIGH REGARD NOW THAT THEY CA MORE FOR CANCER—BE THANKFUL,7
Kushing is sexy af until u get cancer of the lungs,7
"This is a tribute to my friend who died of #cancer yesterday. Good bye, Tomáš. I will miss you.…",7
"Cancer for ever @ Lyon, France",7
DO YOU KNOW THAT YOU CAN VACCINATE YOURSELF AGAINST CANCER? Vaccines can help to protect us…,6
"B. Halkier: ""to fight cancer, eat brocolli as much as possible"". But, upregulation of #glucosinolate biosynthesis is a key. #EPB16",6
"|3 deadly cancers which kill Nigerian men like fowl every day - """,6
"""Terrorism is our planets cancer !"" #istanbul #staystrong @ Istanbul Ataturk Airport (IST)",6
#shutupanddance #zumba #zumbathon WHEN BEIRUT UNITES FOR A CAUSE #cancer ccclebanon #chugether…,5
A girl will surely die! “ Catfish pepper soup can cause cancer – experts warn … pic.twitter.com/HHD1VHyJ93”,5
""" Different life expectancy tools agree: too many unnecessary cancer screenings. #AGS16 …""",5
"I did appreciate your ""absolutely perfect!"" to what i said to Tatanka & he answered back. It was!! I'm going into breast cancer>",5
"Yesterday at the first national breast cancer masterclass, i gave a… …",5
We bought those yesterday in memory of the day my husbands mother lost her battle to cancer six…,5
Cancer loading... @ IF PERFORMANCE Hall,5
#cancer #cockroach #transilvania @ The Londoner - Great English Pub,5
"Its all about shoes...and the legs, of course at fashion show donated to children with cancer..…",5
"True cancer of frontend development... #forum #frontend #development @ Belgrade, Serbia",5
'Cancer' just started trending with 210594 tweets. More trends at … #trndnl,5
Have you ever screened fr breast cancer?? Efua,5
"#SHEBIYOUKNOWSAY THC and CBD, marijuana's primary cannabinoids, are both cancer killers.",5
"Susan G. Komen's Mission: ""To save lives and end breast cancer forever by empowering others,…",5
"Susan G. Komen Breast Cancer Foundation is the most widely known, largest and best-funded breast…",5
The new war on cancer,5
"The mango is the most popular fruit in the world. It also helps to prevent cancer, clears skin and lowers cholesterol.",5
"OMG Med Steps 5 challenged completed, kind of dying rite now. #charity #cancer #tiredbuthappy",5
Cancer @ Mansoura University . 2016,5
"More than 100.000 deaths due to work related cancer #NewEUh_sLaws course for TU prevention experts, Madridpic.twitter.com/vAsDmd9pGU",5
visited children with cancer today in #Gaza and are doing… …,5
53% of workplacerelated deaths in UE are due to cancer. Laurent Vogel 'Work related cancer' course Madrid pic.twitter.com/U9rQDrNqXN,5
