tweet_text,month_of_tweet
"In 2016, 1043 people gathered in Abuja for the World Cancer Day Walk, Race & Cycle against…",1
"In 2016, 1043 people gathered in Abuja for the World Cancer Day Walk, Race & Cycle against…",1
Cancer can take my physical abilities but it can't take my hope and ability to still love the…,1
Cancer can take my physical abilities but it can't take my hope and ability to still love the…,1
#itsacancerthing #cancer #PharaohsPack @ FEDERAL UNIVERSITY OF TECHNOLOGY OWERRI (FUTO),1
"regrann from - ""Cancer may have started the fight, but WE will finish it.” –…",1
"""Cancer may have started the fight, but WE will finish it.” – gotCancer. Join me",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
Spain | Celebrities mourn death of cutting edge model and Sotogrande resident Bimba Bose from cancer: TRIBUTES…,1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
"Cancer Awareness: Air Force Organises Lecture, Screening For Personnel",1
Do you know that thirty (30) Nigerian women die every day from breast cancer and death from…,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
Cervical cancer can manifest 20 years after infection —Researchers,1
"Inhaling polluted air can cause asthma, cancer",5
A girl will surely die! “ Catfish pepper soup can cause cancer – experts warn … pic.twitter.com/HHD1VHyJ93”,5
Man sold everything to raise money for his wife's cancer surgery in France. They boarded EgyptAir flight MS804,5
Breast cancer gene code breakthrough,5
Reps move to probe imported cancer causing tomato paste,5
In Thailand: Transvestite dies of Cancer caused after continually tying down penis,5
#CeQuiMenerve237 Le cancer.,5
Thai transvestite named Sexy Pancake dies from cancer caused by strapping down his penis during photoshoots,5
Radiologist Urges Govt to Subsidise Cancer Treatment,5
Cancer patient receives first penis transplant in the United States,5
'Cancer' just started trending with 210594 tweets. More trends at … #trndnl,5
Have you ever screened fr breast cancer?? Efua,5
"#SHEBIYOUKNOWSAY THC and CBD, marijuana's primary cannabinoids, are both cancer killers.",5
"Eating imported frozen poultry can cause cancer, kidney diseases — Experts warn Nigerians",5
"The mango is the most popular fruit in the world. It also helps to prevent cancer, clears skin and lowers cholesterol.",5
"OMG Med Steps 5 challenged completed, kind of dying rite now. #charity #cancer #tiredbuthappy",5
Ingratitude is a cancer to destiny fulfilment. ~#ApostleDave | | #Day5 | #Prophecies | #Dreams | #Visions | #MustNotFail,5
Bleaching will give you cancer - Doctor tells Ghanaian boxer Bukom Banku,5
Seyi Shay & Burna Boy Named Brand Ambassadors For Nigerian Stock Exchange E-Race Cancer Campaign.,5
Shoprite opens in Onitsha; runs free cancer screening,5
"More than 100.000 deaths due to work related cancer #NewEUh_sLaws course for TU prevention experts, Madridpic.twitter.com/vAsDmd9pGU",5
Oncologic surgery research a must to move forwad in cancer care …,5
"Need a cure for ulcer,pile,stroke,loss weight,cancer call:07062535313 for more info",5
Birth control pills protect against womb cancer – Expert,5
"Marijuana Helps Beats Cancer, But...",5
Woman With chest Cancer Wins The Lottery Twice In Less Than Two Months,5
♬ 'Tropic of Cancer' - Katie the Pest ♪ pic.twitter.com/nL5DaXJeBF,5
#Ebola Liberia 'Ebola Heroine' Dies of Cancer - Liberian Daily Observer,5
