tweet_text,month_of_tweet
""" Thank you too much ""you welcome Miss we share a star sign #cancer bless.",6
""" Zimbabwe's opposition leader Morgan Tsvangirai has announced he has cancer of the colon.""ke taba tsedi maswe tseo",6
Had a fabulous party with our darling cancer kids who really see love from all over now,6
"So many wonders have just happened. Cervical cancers, leg cancer and Jaw swelling have miraculously been healed. #HolyCommunion26June2016",6
"Happy birth day "" It's my birthday! & it's officially #Cancer season.""",6
"Saturday 16th of July. The Nesbitt Castle. Main Show: 6pm - 10pm. ""Fashion Fights Cancer"":…",6
Cancer sucks.. Hair loss.. I shaved my head in solidarity to those going through this.. Only a…,6
"Baby got diagnosed with cancer, he had a tumor on his left hind leg and the only option was to…",6
#BlueDay #IAmBlue #FightCancerNamibia# @ Cancer Association Of Namibia,6
"let us join efforts to creat awareness on non communicable diseases including cancer, sickle cell disease,diabetes and others.",6
IF YOU HATE ME FOR A NEW TASK CREATE A SAFETY 'DILEMMA'? SDV. MT. NEW POST ON MY BODY PAS I'M SURE YOU GET FRIENDZONED BY A BEE. CANCERS!,6
"regram fighting_cancer_warriors ""Me and my son (Gabe) at this year's St. Baldricks event. I got…",6
yes. Heard a story of a lady who came from sick leave. Had cancer and breasts reconstruction. Upon,6
Make today count!! #cancer #nomorecancer #survivor #blessed #blessedlife #isurvived #love…,6
#InMyOpinion: ANC needs to address factionalism in the municipalities. A cancer that started to develop and show its danger 2006.,6
Tap into the unlimited power at your disposal! #cancer #nomorecancer #survivor #blessed…,6
"What does StarSigns got to do with a behaviour of a person in a r|ship though,He's Virgo;She's Aries yoh! mine is CANCER #DMF #DateMyFamily",6
"There is no cancer, no suffering, no sorrow, no death, and no goodbyes in Heaven! Happy Fathers Day, Grandfather I Miss You .",6
The incredible Elsje Neethling shared her mind blowing story of living with brain cancer for…,6
Corruption is a BIG cancer in Kenya. #Tujadiliane with hosted by in at 7:00 pm Kenyan Time,6
Oxygen % free Shisha 100% cancer YOU CHOOSE,12
"Recap | HIVZA — Fighting HIV, Other Viruses Could Trigger Cancer Mutations - When combatting viruses such as HIV, several enzymes in the immune system may malfunction and cause cancer-related mutations, according to a new study published ... The…",12
"Stigmabase | ZAHIV — Fighting HIV, Other Viruses Could Trigger Cancer Mutations - When combatting viruses such as HIV, several enzymes in the immune system may malfunction and cause cancer-related mutations, according to a new study published ... The…",12
"Recap | HIVZA — Fighting HIV, Other Viruses Could Trigger Cancer Mutations - When combatting viruses such as HIV, several enzymes in the immune system may malfunction and cause cancer-related mutations, according to a new study published ... The…",12
"Stigmabase | ZAHIV — Fighting HIV, Other Viruses Could Trigger Cancer Mutations - When combatting viruses such as HIV, several enzymes in the immune system may malfunction and cause cancer-related mutations, according to a new study published ... The…",12
"Stigmabase | ZAHIV — Fighting HIV, Other Viruses Could Trigger Cancer Mutations - When combatting viruses such as HIV, several enzymes in the immune system may malfunction and cause cancer-related mutations, according to a new study published ... The…",12
"Recap | HIVZA — Fighting HIV, Other Viruses Could Trigger Cancer Mutations - When combatting viruses such as HIV, several enzymes in the immune system may malfunction and cause cancer-related mutations, according to a new study published ... The…",12
Recap | HIVZA — Head and Neck Cancers Case Control Study of HIV Positive Compared to Negative Patients in a ... - Increased availability of highly active anti-retroviral therapy (HAA) has led to a change in the spectrum of neoplastic diseases…,12
Recap | HIVZA — Head and Neck Cancers Case Control Study of HIV Positive Compared to Negative Patients in a ... - Increased availability of highly active anti-retroviral therapy (HAA) has led to a change in the spectrum of neoplastic diseases…,12
Recap | HIVZA — Head and Neck Cancers Case Control Study of HIV Positive Compared to Negative Patients in a ... - Increased availability of highly active anti-retroviral therapy (HAA) has led to a change in the spectrum of neoplastic diseases…,12
Stigmabase | ZAHIV — Head and Neck Cancers Case Control Study of HIV Positive Compared to Negative Patients in a ... - Increased availability of highly active anti-retroviral therapy (HAA) has led to a change in the spectrum of neoplastic diseases…,12
Stigmabase | ZAHIV — Head and Neck Cancers Case Control Study of HIV Positive Compared to Negative Patients in a ... - Increased availability of highly active anti-retroviral therapy (HAA) has led to a change in the spectrum of neoplastic diseases…,12
Stigmabase | ZAHIV — Head and Neck Cancers Case Control Study of HIV Positive Compared to Negative Patients in a ... - Increased availability of highly active anti-retroviral therapy (HAA) has led to a change in the spectrum of neoplastic diseases…,12
"AKA has aka foundation , aka scholarship and also donates money to cancer organizations .....ain't he the best ?",12
"Recap | HIVZA — One stop shop' for KZN patients - Furthermore, pap smear screening in this district is well below the levels required to effectively prevent the cancers."" ""The national HIV prevalence in South Africa is 29.7%, yet HIV prevalence here in…",12
"Recap | HIVZA — One stop shop' for KZN patients - Furthermore, pap smear screening in this district is well below the levels required to effectively prevent the cancers."" ""The national HIV prevalence in South Africa is 29.7%, yet HIV prevalence here in…",12
Just posted a photo @ Ocean Road Cancer Institute,12
Just posted a photo @ Ocean Road Cancer Institute,12
#kochpostulates #tanzania @ Ocean Road Cancer Institute,12
"Recap | HIVZA — One stop shop' for KZN patients - Furthermore, pap smear screening in this district is well below the levels required to effectively prevent the cancers."" ""The national HIV prevalence in South Africa is 29.7%, yet HIV prevalence here in…",12
"Stigmabase | ZAHIV — One stop shop' for KZN patients - Furthermore, pap smear screening in this district is well below the levels required to effectively prevent the cancers."" ""The national HIV prevalence in South Africa is 29.7%, yet HIV prevalence here…",12
"Stigmabase | ZAHIV — One stop shop' for KZN patients - Furthermore, pap smear screening in this district is well below the levels required to effectively prevent the cancers."" ""The national HIV prevalence in South Africa is 29.7%, yet HIV prevalence here…",12
"Stigmabase | ZAHIV — One stop shop' for KZN patients - Furthermore, pap smear screening in this district is well below the levels required to effectively prevent the cancers."" ""The national HIV prevalence in South Africa is 29.7%, yet HIV prevalence here…",12
"Join the breast cancer fight by buying a t-shirts 1500 ,hoodies 3k… …",12
"A year later and he’s shooting again. Take that cancer. @ Johannesburg, Gauteng",12
Cancer is an enemy.,11
"No Shave November, this one is for all the men suffering from Prostate Cancer, we salute you we…",11
Come get tested Free breast and cervical cancer screening also being offered…,11
"Recap | HIVZA — For cancer patients with HIV, immunotherapy appears safe - It is one of the leading causes of…",11
"Recap | HIVZA — For cancer patients with HIV, immunotherapy appears safe - It is one of the leading causes of…",11
"Recap | HIVZA — For cancer patients with HIV, immunotherapy appears safe - It is one of the leading causes of…",11
"Stigmabase | ZAHIV — For cancer patients with HIV, immunotherapy appears safe - It is one of the leading causes of cancer deaths in sub-Saharan Africa – where HIV rates are high – and new treatments are sorely needed.",11
"Stigmabase | ZAHIV — For cancer patients with HIV, immunotherapy appears safe - It is one of the leading causes of cancer deaths in sub-Saharan Africa – where HIV rates are high – and new treatments are sorely needed.",11
"Stigmabase | ZAHIV — For cancer patients with HIV, immunotherapy appears safe - It is one of the leading causes of cancer deaths in sub-Saharan Africa – where HIV rates are high – and new treatments are sorely needed.",11
cancer is a serious illness ... greedy wench #NomhleMbulawa is ruining it from legit sufferers,5
one ascend to power and enrich his friends and family that is corruption and its a cancer,5
MWHIV - African Women Living With HIV Are Six Times More Likely To Have Cervical Cancer - Little study showed that…,5
MWHIV - African Women Living With HIV Are Six Times More Likely To Have Cervical Cancer - Little study showed that…,5
