tweet_text,month_of_tweet
You think you rich. Cancer can come in through the back door. Or a debilitating injury. Thank yourself for your current situation.,4
Deadly symptoms of prostate cancer that must not be neglected - pic.twitter.com/GAtSqXETOQ,4
Today at Spiritual Life Center Church Eldoret it's all about #TabasamuNaMargaret a lung cancer…,4
the fact is that cancer survivors always come back stronger and they are our heroes,4
The news of breakdown of the cancer radiotherapy machine has been exaggerated and presented in a hyperbolic manner . Wabula mulago!!!,4
Many people have died because of religion than have died from cancer. We try to cure cancer…,4
My prayer tonight goes to everyone battling cancer. Lord may you reduce their burden of pain and give them the strength to conquer it.,4
All ANC members who holds low to top positions are diagnosed with Cancer That the Honorable Maimane was talking about...,4
"""Not at all, sometimes it does the opposite Does traditional medicine help whe fighting diseases like cancer or HIV/AIDS? #truBrea",4
""" | Mandoza doing well after cancer scare ""get well soon NKALAKATHA",4
Truth. #cancer #nomorecancer #survivor #blessed #blessedlife #isurvived #love #lovelife #drcarel…,4
"""Breast what??? : Breast Ironing can cause tissue damage, infections, and malformation, It also contributes to breast cancer and",4
"You beat cancer by how you live, why you live and in the manner in… …",4
Finally got my copy of The Kiss of Life..!!Bravo the superhero Ayaan for defeating cancer and love for,4
You were in the hospital for 3 months with bone cancer and you were… …,4
#Broccoli - Powerful Food That Fight Cancer … #ff #ln #fb,4
Shelter for cancer patients at Mulago built from public contributions after Rosemary Nankabirwa (RIP) died of cancer pic.twitter.com/ZGeVpiZuMM,4
""" I think it radiotherapy machine not cancer machine as relied by NBS"" Tackle the problem not the mistake",4
The Minister of Health & Cancer Institute officials will be addressing the press shortly #SaveMulagopic.twitter.com/zUS85k0Uvt,4
Off to Mulago for the presser on the Cancer Institute situation. Perhaps we can put this whole thing into perspective. #SaveMulago,4
one ascend to power and enrich his friends and family that is corruption and its a cancer,5
"KMCT Medical College, MVR Cancer Centr, NIT C Calicut, Dayapuram, IIMA are very near to this #Flat. #1BHK #Flat",5
MWHIV - African Women Living With HIV Are Six Times More Likely To Have Cervical Cancer - Little study showed that…,5
MWHIV - African Women Living With HIV Are Six Times More Likely To Have Cervical Cancer - Little study showed that…,5
"Sometimes its sweet, sometimes its bitter "" Sometimes it's like fever... And... Sometimes it's like cancer... #MzanziFolloTrain""",5
#Stigmabase | ZAHIV - African Women Living With HIV Are Six Times More Likely To Have Cervical Cancer - Little…,5
Stigmabase | HIV - African Women Living With HIV Are Six Times More Likely To Have Cervical Cancer - Little study…,5
"MWHIV - US drug spending on par with South Africa's GDP - They include major franchises in cancer, autoimmune…",5
"MWHIV - US drug spending on par with South Africa's GDP - They include major franchises in cancer, autoimmune…",5
"#Stigmabase | ZAHIV - US drug spending on par with South Africa's GDP - They include major franchises in cancer,…",5
#tbt joined Male Cancer out of Town @ Jo'burg Metro Council Chambers in Braamfontein,5
#shoottime #onprepration #feauturefilm @ Maharagama National Cancer… …,5
There is a tree bend on R#14 B.Hills towards Cancer hospital from KBR gate Requesting you to remove this tree ASAP pic.twitter.com/u10wjbs1as,5
#MaySkinCancerMonth May is skin Cancer month #SaModel #SAEntrepreneur #SAFashion #SALifeSytle…,5
"ON THE ROAD TO CURING CANCER #Cancer #Miracle #Juice #Blend @ Pretoria, South Africa",5
"Aasya foundation donated Rs.50,000 to the cancer patient L.Sruthi who is suffering from Bone…",5
"Aasya foundation donated Rs.50,000 to the cancer patient L.Sruthi who is suffering from Bone…",5
DO DRUGS.especially marijuana cause its good for your health... it reduces the rate of growth of cancer cells.,4
"Deluxe #1BHK AC Aapartments near MVR Cancer Centre Vellalashery,NIT Calicut,KMCT Medical College #Flat #Flat",4
"I'm at National Cancer Institute of Sri Lanka in Maharagama, Western, Western Province",4
"MVR Cancer Center Vellalashery, KMCT, NIT calicut Campus, Dayapuram Insttutions &amp; Nielit very close #1BHK #Flat",4
A post scuba dive cock&balls in the Maldives to raise awareness of Testicular Cancer. Thanks…,4
"Count me out "" #Cancer will betray, steal, and kill to be loved.""",4
"100% "" The #Cancer male is about the 'MMF': Money, Marriage & Fatherhood.""",4
#smoke or #cancer tower...you choose!! #chokablock #witcheslair… …,4
"*Lack of sex increases the risk of developing prostrate cancer,save… …",4
"*Lack of sex increases the risk of developing prostrate cancer,save… …",4
MWHIV - Cancer in HIV-Positive Population Expected to Decline by 2030 - HIV-associated cancers are expected to…,4
Visit us for a free oral cancer screening. Reach us at for…,4
MWHIV - Cancer in HIV-Positive Population Expected to Decline by 2030 - HIV-associated cancers are expected to…,4
"Please come back comrade #ChrisHani, we need your leadership to get rid of the Zuma/Gupta filth and corruption that is spreading like cancer",4
The EAGLE on the grind | Event: Women For Cancer Gala Night | 2nd Event of the day | Venue:…,4
"suspend him to be replaced by political appointee crooks, in this regard cANCer crooks?",4
