tweet_text,month_of_tweet
"For Every fight won, for each battle lost. For admiring Leukemia Fighters. #supportandpray…",6
DESIGNER—A MAN WHO HAS DONE SOMETHING FOR YOU TO JOIN THE TEAM AT THE FEET OF CHEERLEADER BATTLING LEUKEMIA—I BELIEVE THAT THE TRUTH #ASKKE…,9
Leukemia is a bitch. It really hurts seeing a loved one hurting. (@ Nairobi Women's Hospital in Nairobi),1
""" #Immunotherapy shows impressive study results in patients with advanced #leukemia """,5
""" FDA approves medicine for people with hard-to-treat type of chronic lymphocytic leukemia: $RHHBY $ROG""",4
Former UWA ED Mapesa Dead: Mapesa succumbed to acute Leukemia this afternoon at his privately owned Nabulola H...,3
Novartis says 82 percent of leukemia patients in remission after CAR-T via Excellent.all the best.,12
"'khiladi', 'leukemia' & 'receipts' are now trending in India",9
"At the age of 7, Kara is diagnosed with leukemia. Kara’s sickness takes its toll on the family…",8
#realfamily #supportgroup #leukemia #CML #GIST #nationalanthem #janaganamana We always begin…,5
#Researchpreneur #ScienceAlertsNew Gene Treatment Effective for Some Leukemia Patients… … #FollowBackpic.twitter.com/jNJgHR53jf,11
