tweet_text,month_of_tweet
"""BEST BEARD Season 2"" - a Unique event to create Cancer Awareness... This time in Malaysia with…",7
"Opprobrium medicorum —The disgrace of physicians. Said of diseases that defy their skill, especially cancer.",7
Basics of everything is same right!! It's obvious that growth in infected cancer cells generate…,7
"My photo learning session with cancer affected children, through phototherapy helping these…",7
"I am doing my part I'm fighting #cancer, are you? @ Nairobi, Kenya",7
In memory of all who have lost the battle to cancer @ Kololo… …,7
#boat on the #river. #blog #cancer #cancersurvivor #chronicillness…,7
"Deluxe #1BHK AC Aapartments near MVR Cancer Centre Vellalashery,NIT Calicut,KMCT Medical College #Flat #Flat",7
The joy of Life #cancer #kids #simulation #savinglives @ National Guard Hospital- King…,7
1300 sqft plot beside cancer Hospital jamtha #ResidentialPlot #Land #ForSale #WardhaRoad #Nagpur #Resi #Property,7
"My photo learning session with cancer affected children, through phototherapy helping these…",7
"#ResidentialPlot Beside Cancer Hospital, AIMS in Wardha road #Land #ForSale #Jamtha #Nagpur #Residential #Property",7
plot in #Jamtha beside cancer hospital new #Nagpur #ResidentialPlot #Land #ForSale #Residential #Property,7
"My photo learning session with cancer affected children, through phototherapy helping these…",7
""" Senator John McCain diagnosed with aggressive brain cancer pic.twitter.com/iwDvcdlhGq""sad",7
Cervical cancer remain the leading cause of death among young women #YouthNCDKe,7
A monster named CANCER is moving around US....... Today's requirement for every person.,7
#Health #tips : #Drinking hot lemon water can prevent #cancer AVAIL #MONSOON #OFFER - #CELEBRATE #FITNESS #exercise #gym #MondayMotivationpic.twitter.com/xSgOpuQGyC,7
Blade n shade for this amazing woman and cancer survivor . This is how you say F-U to cancer…,7
දානෙ. (@ Cancer Hospital Karapitiya),7
"#CholeraOutbreak Cancer stopped being a rich man's illness so now cholera is balancing the sheet too.""",7
"plots at resonable rates near Jamtha AIIMS,IIM,CANCER HOSPITAL,SAMRUDHI MARG #ResidentialPlot #Land #ForSale",7
"July 13th is GIST Awareness Day . GIST is a rare cancer , a type of sarcoma found in the…",7
"Getting set for #WPD2017Ug integrated outreach Hep B, Cancer & HIV screening, #FamilyPlanning #Adjumani #Refugeespic.twitter.com/McvMmRw0Z7",7
I'm at King Fahad National Centre for Children's Cancer,7
"Close to MVR Cancer Centre,#Vellalashery &amp; KMCT Medical college #1Bedroom #GuestHouse #ForRent",7
"Since it is already in 3rd stage, it strongly needs Chemotherapy to treat the cancer by Dr. Indian Army.",7
"Pakistan is suffering from multiple Cancer. e.g., PAK Military, ISI, & terror allies of it.",7
MVR cancer centre Executive accommodations and stay very close #1Bedroom #GuestHouse #ForRent #Vellalashery,7
"""when someone has cancer, the whole family and everyone who loves them does, too"" #savepreethy…",7
I'm at King Fahad National Centre for Children's Cancer,7
#friendsofmax #shareandlearn #cancerawareness #heroes #cancer #crusaders #masked #selfie Caught…,7
Masked Crusaders ! #GIST #supportgroup #cancer #heroes #cancerawareness #shareandlearn…,7
Starting the NATIONAL CANCER DEVELOPMENT STRATEGY pic.twitter.com/H4XjAkEgOj,7
"""Life in Texas be so hard en chilly"" Kenyans do you feel me? @ Texas Cancer Center",7
Then and now - #thyroid #cancer #surgery - #photos immediately after surgery and #two #years…,7
BIHDAY BOYS #cancers #horoscope #july #birthday #celebration #birthdayboys #brothers #bros…,7
Fifa is cancer,7
Met with again during Chai for Cancer - A charity event He is unmatched in terms of…,7
#ishow 103.5fm #ishow.....my co-host today is 4 year old ROY who has EYE CANCER let's GRANT A…,6
"AC &amp; Non AC Ladies #Hostel Near KMCT,NIT,NEILET,IMA &amp; MVR Cancer centre #1Bedroom #ForRent #Manasssery",6
A patient with Colon Cancer falls in love with....... #FurusathuDheynanHunnaashey #FDH #E02- A…,6
"Cancer kids day #Volunteering (@ King Fahad Medical City (KFMC) - in Riyadh, Ar Riyāḑ)",6
"1 BHK Fully A/C and Funished #Flat near Tata Cancer Hospital, #Parel #Flat #ForRent #Mumbai #Residential #Property",6
#Researchpreneur #ScienceAlertsThe Lab Says It’s Cancer. But Sometimes the Lab Is… … #FollowBackpic.twitter.com/kQIWiJ24PT,6
"This is the ONLY #diploma that'll render you JOBLESS, DEAD or in the #CANCER…",6
A patient with Colon Cancer falls in love with....... #FurusathuDheynanHunnaashey #FDH - A…,6
Good Morning #Cancer #Cancerians #JuneJuly #June #July #Horoscope #ZodiacSigns #Crab…,6
"ON POINT: Go on, run for cancer, jump for water but who’s gonna fight for your … via",6
Endeavor Careers Ahmedabad A New Approach to Safely Sharing Cancer… Best CAT CLAT GMAT Coaching in Ahmedbabadpic.twitter.com/dDwRGRhIeI,6
"Last year October kwenye Breast Cancer awareness Rio was the Colour of the Month , picha…",6
""" Prostate Cancer Symptoms - … "" papag",6
""" What Causes Skin Cancer? - … "" papag",6
""" What Causes Cancer? - … "" papag",6
""" Symptoms of Breast Cancer - … "" papag",6
""" Prostate Cancer Symptoms - …"" papag",6
#fathersday a father carrying his cancer patient son on his shoulder after a visit to city's…,6
#FathersDay a #father carrying his cancer patient son on his shoulder after a visit to city's…,6
The disease of self runs through my blood It's a cancer fatal to my soul Every attempt on my…,6
"Fought against cancer in real life, played a vital role in bringing 2007,2011 Wc , Most loved & inspirational player #Yuvi300pic.twitter.com/stRWivgOt3",6
Elephants rarely get cancer because they have 40 copies of genes that code for the tumor suppressor protein p53 — humans have two. Science,6
Guruji please bless my sister Lathika who is feared about her disease and is tensed about her family.Please save her from CANCER...,6
Nkesiga cancer Foundation Thanks for this opportunity. #humanitarians #reachingOut…,6
#erythroplakia a pre #cancer condition generally seen in #smokers and #tobacco #chewers of any…,6
"Opp Cancer Hospital, Near Mother's Peth, #WardhaRoad, #Nagpur. #ResidentialPlot #Land #ForSale #Resi #Property",6
How incredible it was to hear them giggle!! St.Jude's Indian Cancer Society has been doing…,6
This is Yuvraj.. Look at him. The guy battled cancer and is 1000 times fitter and better than…,6
Today on #cancersurvivorsday my greetings best wishes to all my cancer survivor students of…,6
Cancer motif by our artist: mathanraj_kalasutra . The client wanted her zodiac sign on her leg…,6
Cancer.... Maggots... Last Stage... its In D Mouth... Aware Ur Near… …,6
Cancer.... Maggots... Last Stage... its In D Mouth... @ Dr. Wajid's Dental Studio,6
#Makeup by for the beautiful for an event with the Cancer Patients…,6
・・・ It is heart breaking sight for us to see these cancer patients squatting on…,6
BMJ journal retracts paper on cancer screening in India for fear of legal action … via,5
After my photo learning session we have some fun clicking group selfie. On June 4 is #Cancer…,5
"Tobacco producers, processors and merchants should visit nearby cancer hospitals and decide willing fully for 'No tobacco'.",5
NATIONAL Hwy FACING VUDA APPROVED #CommercialPlot #ForSale BESIDES CANCER HOSPITAL VIZAG.#Land #Kurmannapalem,5
Must see and understand What is the Cancer? Why Cancer takes place? How we can save us…,5
#herb it is the medicine for cancer #reggaebling,5
Bitterness is like cancer. It eats upon the host. But anger is like fire. It burns it all…,5
Direct owner #CommercialPlot #ForSale besides homi babha hi-tech cancer hospital Aganampudi.#Land #Kurmannapalem,5
