tweet_text,month_of_tweet
CANCER SEASON AKA DON'T LET A CANCER TALK TO YOU AT ALL UNLESS YOU WANT TO CLEAR YOUR SCHEDULE…,6
"""Are you crazy?!"" You know smoking causes lung cancer, emphysema,… …",6
Good morning lovely people have a wonderful weekend @ Kuwait Cancer Control Center KCCC,6
Good morning @ Kuwait Cancer Control Center KCCC,6
Just posted a photo @ Kuwait Cancer Control Center KCCC,6
Just posted a photo @ Kuwait Cancer Control Center KCCC,6
#fathersday a father carrying his cancer patient son on his shoulder after a visit to city's…,6
#FathersDay a #father carrying his cancer patient son on his shoulder after a visit to city's…,6
So proud to be part of this project for the treatment of #Cancer #Patients with excellent…,6
"Fought against cancer in real life, played a vital role in bringing 2007,2011 Wc , Most loved & inspirational player #Yuvi300pic.twitter.com/stRWivgOt3",6
Cancer,6
Nice one @ Kuwait Cancer Control Center KCCC,6
#erythroplakia a pre #cancer condition generally seen in #smokers and #tobacco #chewers of any…,6
"Opp Cancer Hospital, Near Mother's Peth, #WardhaRoad, #Nagpur. #ResidentialPlot #Land #ForSale #Resi #Property",6
How incredible it was to hear them giggle!! St.Jude's Indian Cancer Society has been doing…,6
Good morning @ Kuwait Cancer Control Center KCCC,6
Good morning @ Kuwait Cancer Control Center KCCC,6
This is Yuvraj.. Look at him. The guy battled cancer and is 1000 times fitter and better than…,6
Good morning everyone. Have a nice day @ Kuwait Cancer Control Center KCCC,6
Today on #cancersurvivorsday my greetings best wishes to all my cancer survivor students of…,6
#Makeup by for the beautiful for an event with the Cancer Patients…,6
・・・ It is heart breaking sight for us to see these cancer patients squatting on…,6
#صباح_الخير @ Kuwait Cancer Control Center KCCC,6
*Money* might make you *Wealthy* but *Friends* make you *Rich* *Good Morning* @ Kuwait Cancer…,5
BMJ journal retracts paper on cancer screening in India for fear of legal action … via,5
After my photo learning session we have some fun clicking group selfie. On June 4 is #Cancer…,5
#مبارك_عليكم_الشهر @ Kuwait Cancer Control Center KCCC,5
NATIONAL Hwy FACING VUDA APPROVED #CommercialPlot #ForSale BESIDES CANCER HOSPITAL VIZAG.#Land #Kurmannapalem,5
Good morning @ Kuwait Cancer Control Center KCCC,5
Must see and understand What is the Cancer? Why Cancer takes place? How we can save us…,5
Direct owner #CommercialPlot #ForSale besides homi babha hi-tech cancer hospital Aganampudi.#Land #Kurmannapalem,5
#followme #cancer #windows10 @ Lakeside Tower ABCD IMPZ Community,5
I'm at Kuwait Cancer Control Centre,5
"April 6-19, 2017 After surviving Atreyu's Brain Cancer/Tumor Plight... I can't be thankful…",5
Good luck Dr. Mohammad Amir in your endeavor. @ King Hussein Cancer Foundation and Center,5
Lung Cancer Development Area. #vscocam #vscoph #vsco_hub #vscogrid #vscophotography #vscogood…,5
"Every week, several women in this country are diagnosed with gynecological cancers. Are you at…",5
I'm at King Fahad National Centre for Children's Cancer,5
And I meet at the #chaiforcanceradda in Tata Hospital's National Cancer Grid Meet .…,5
"Bladder cancer · May is the awareness month of Bladder Cancer. More than 70,000 new…",5
Fuck cancer,5
A #chaifie to fight #cancer . If you closely look at each face in… …,5
Good morning @ Kuwait Cancer Control Center KCCC,4
I'm at Kuwait Cancer Control Centre,4
I'm at Kuwait Cancer Control Centre,4
I'm at King Hussein Cancer Foundation in Amman,4
#صباح_الحب @ Kuwait Cancer Control Center KCCC,4
"Protect yourself from exposure to the sun's rays and reduce your risk of sunburn, skin cancer,…",4
"Recognize him? Actor Vinod Khanna, suffering from bladder cancer.… …",4
Scientific day. Conference Updates in colorectal cancer #instadaily #scientific #day…,4
Vinod Khanna suffering from cancer? Photo of actor in hospital goes viral …,4
"AC Room near KMCT College and NIT Calicut Campus and MVR CANCER Centre,&amp; Dayapuram Institutions.#1Bedroom",4
"Near N.I.T Calicut, MVR Cancer centre Vellalashery, IIMA Calicut, Dayapuram &amp; KMCT institutions #2BHK #Flat",4
Grand National 2017: Bradley Lowery allocated 41st runner in touching tribute to help his fight against cancer pic.twitter.com/gyrI8cyIqC,4
Good morning @ Kuwait Cancer Control Center KCCC,4
Day to battle emotions at Augusta amid mother's cancer fight …pic.twitter.com/eM9X0vmOMW,4
Leicester City surprise for US cancer teen …pic.twitter.com/vkZFbNTqYB,4
Stunning Sonali Bendre in abujanisandeepkhosla for Cancer Patients Aids Association. #Bollywood…,4
"HCG BHIO... 25y old Cancer Hospital of Mysore #5amshoot @ Mysore, Karnataka",4
"jee, My wife suffering with Cancer. Passport RENEWAL due June2017. Cannot attend in person. Pl.Allow Online",3
Last day of rotation (@ Kuwait Cancer Control Centre),3
Rio Ferdinand receives outpouring of support after emotional documentary about wife's death from cancer pic.twitter.com/OtC3IDpaD9,3
"After her own breast cancer diagnosis, Christina Applegate founded Right Action for Women, an…",3
I'm at King Hussein Cancer Foundation in Amman,3
"Video clip of my weekly photo learning session with cancer children at paediatric ward of TMH,…",3
Dear PM this 5 year old child is suffering from CANCER. If possible please help him. He is in hospital at present. pic.twitter.com/4X4mwZjtkq,3
I'm at Kuwait Cancer Control Centre,3
". Breast Cancer Awareness Campaign Oct,17, 2016 @ Jordan… …",3
Many thanks to the Nursing Department at the National Center for Cancer Care and Research…,3
I'm at Kuwait Cancer Control Centre,3
Rio Ferdinand opens up about his wife's death from breast cancer pic.twitter.com/kmOGWLJM7Y,3
"Meet Layth, a great boy at the King Hussein Cancer Center. He is as much my child as my children are #MothersDaypic.twitter.com/8tgAgsSbB0",3
"One year ago today #cancer stole this beautiful boy from his family, from his mom, his dad and…",3
Gm (@ King Hussein Cancer Center Early Detection),3
It was great seeing amazing zins participating at the Zumbathon for Children Cancer Center…,3
"& taking part in the second annual ""Pink Day"" cancer awareness… …",3
"Video clip of my weekly photo learning session with cancer children at paediatric ward of TMH,…",3
plot near cancer hospital wardha road #Jamtha #ResidentialPlot #Land #ForSale #Nagpur #Residential #Property,3
"Video clip of my weekly photo learning session with cancer children at paediatric ward of TMH,…",3
Joe Thompson: Rochdale midfielder diagnosed with cancer for second time …pic.twitter.com/q1jxbxoKDH,3
#GoodNewsIn5Words I survived chronic liver cancer,3
By #htcm9plus @ King Fahad National Center for Children's Cancer and… …,3
Guess who got the cut on #hairtohelp #hairdonationdrive for Cancer… …,3
At King Fahad National Childrens Cancer Center —,3
' What's so brave about being bald? I've not fought for my country or found the cure for cancer…,3
I'm at Kuwait Cancer Control Centre,3
Task 83-Cancer kid camps Drawing competition to cancer kids! #task83 #mission500…,3
I'm at Kuwait Cancer Control Centre,3
The Enchanted Forest collect by for Cancer Patients Aids Association.…,3
I'm at Kuwait Cancer Control Centre,3
#مساء_الحب #مساء_النور @ Kuwait Cancer Control Center KCCC,3
"Meet the Staff of this Cancer Hospital in Silchar , Assam . Cannot see a more dedicated and…",1
Good morning plz smile @ Kuwait Cancer Control Center KCCC,1
One extremely satisfying and productive morning session training volunteers in cancer care from…,1
I'm settling @ Kuwait Cancer Control Center KCCC …,1
Good morning have a wonderful weekend @ Kuwait Cancer Control Center KCCC,1
My #RepublicDay Ensemble in India's colours . On my way to a Board Meeting of a Cancer NGO…,1
Good morning @ Kuwait Cancer Control Center,1
"Caution:drinking is injurious to health It causes liver cancer @ Dhaka, Bangladesh",1
Just posted a photo @ King Hussein Cancer Center,1
yuvstrong12 paajee has Defeated Cancer. I am sure he Can Defeat Anyone In The World whether they… …,1
"Only £150 sponsorship donation to reach £5,000 for Teenage Cancer Trust …",1
""" warns #patients not to use PNC-27 #Products for #treatment of #cancer …""",1
"Cancer is a DICK!! I tend to post this every few months. Everyone is busy, everyone is too busy.…",1
"Cancer is a DICK!! I tend to post this every few months. Everyone is busy, everyone is too busy.…",1
finetissues launching #the_land_of_heros campaign to support #Jordan and kids of cancer in…,1
I'm at King Fahad National Centre for Children's Cancer,1
Starting to day and every day @ Kuwait Cancer Control Center Sheika Badriya Hospital,1
Good morning @ Kuwait Cancer Control Center Sheika Badriya Hospital,1
Apply #ComputerVision to improve lung cancer detection … by,1
""" Cannabis oil destroys cancer cells. Vitamin B17 destroys cancer cells. Yet, both are banned by the FDA.""",1
Vitamin D can switch off Cancer genes and many cancers are associated with low…,1
