tweet_text,month_of_tweet
October is the breast cancer awareness month We'd like to help spread awareness and encourage…,10
Breast cancer awareness... #breastcancer #breastcancerawarenessmonth #faith #hope #strength …,10
Traveling and attending ceremony of first homoeopathic cancer… …,10
The breast program in alzahra cancer center is honored to have full capacity of diagnostic tools…,10
The breast program in alzahra cancer center is honored to have full capacity of diagnostic tools…,10
The breast program in alzahra cancer center is honored to have full capacity of diagnostic tools…,10
The breast program in alzahra cancer center is honored to have full capacity of diagnostic tools…,10
Oman Cancer Association and oman Avenues mall under the patronage HE Ali Bin Khalfan Aljabri.…,10
It’s Breast Cancer Awareness Month and we are going pink to show our support. Full awareness and…,10
Great initiative by rcflifespark for bringing us together to creat awareness for Cancer…,10
Alzahra Cancer Center presence at YAE Oncology Congress With Dr Naglaa Abdelrazik our breast…,10
Alzahra Cancer Center presence at YAE Oncology Congress With Dr Naglaa Abdelrazik our breast…,10
"#pinkoctober for breast cancer has been at SheFighter during our ""Little Fighters"" event…",10
Interesting topics at UAE Cancer Congress,10
the establishment of the Emmanuele Cancer Research Foundation represents an exciting new chapter…,10
I am also pleased to announce that the Emmanuele Cancer Research Foundation is a tripartite…,10
I feel honoured and privileged to announce the launch of the very first Cancer Research entity…,10
#Repost (get_repost) ・・・ Fight Against Breast Cancer… …,10
'Purchase with a Purpose' It is OCTOBER 'Breast Cancer Awareness' month. This is our second…,10
Very important presentation: Cancer and patient's rights. Presenter - expert in medical law Violetta Zopunyan. pic.twitter.com/k1hkOAVdHV,10
"A 21 year old girl is fighting blood cancer in Shifa Hospital, Islamabad. Blood of all group types needed urgently. Contact: +92 340 1540665",1
Good morning plz smile @ Kuwait Cancer Control Center KCCC,1
I'm settling @ Kuwait Cancer Control Center KCCC …,1
Good morning have a wonderful weekend @ Kuwait Cancer Control Center KCCC,1
Good morning @ Kuwait Cancer Control Center,1
"MWIN - Dear men, work-related stress may cause cancer - A link between work-related stress and cancer was not…",1
"MWIN - 150 women government employees screened for cancer - Vinisha Nero, MLA, Chairman of Women and Children Sub…",1
Just posted a photo @ King Hussein Cancer Center,1
#rajasthan k #yuvraj #cancer #survivor #inspiration #story of #saurabh from #Jaipur -…,1
"#Stigmabase | IN - Dear men, work-related stress may cause cancer - A link between work-related stress and cancer…",1
"#Stigmabase | IN - 150 women government employees screened for cancer - Vinisha Nero, MLA, Chairman of Women and…",1
Your SMS can Save a Life! Donate Rs. 20+t by sending SMS to 7770 and help treat poor cancer patients being at Shaukat Khanum Cancer Hospital,1
[ ] Ransomware scum infect cancer non-profit …,1
"Cancer is a DICK!! I tend to post this every few months. Everyone is busy, everyone is too busy.…",1
"Cancer is a DICK!! I tend to post this every few months. Everyone is busy, everyone is too busy.…",1
finetissues launching #the_land_of_heros campaign to support #Jordan and kids of cancer in…,1
I'm at King Fahad National Centre for Children's Cancer,1
Awesome Games Done Quick Raises A Record Breaking $2.2 Million For Cancer Prevention #Gamingpic.twitter.com/PqrKJX37NZ,1
Starting to day and every day @ Kuwait Cancer Control Center Sheika Badriya Hospital,1
Good morning @ Kuwait Cancer Control Center Sheika Badriya Hospital,1
World Health Organization & National Cancer Institute's report – “The Economics of Tobacco and Tobacco Control” – : .pic.twitter.com/vAlAQJVnKh,1
Vitamin D can switch off Cancer genes and many cancers are associated with low…,1
Vitamin D can switch off Cancer genes and many cancers are associated with low levels @ Dr Wiam…,1
A better look at the book cover of my cancer survival book. I posed in Istanbul. Life can bring…,1
Today at 12:33 CET we are having a Full Moon in Cancer. This means that the Moon is very…,1
Carcinogenic Palm Oil results in Nutella to be banned from supermarkets 'because it could cause cancer',1
MWIN - US cancer death rate drops 25% since 1991 - Although cancer death rates in general remained 15% higher…,1
I'm at Kuwait Cancer Control Centre,1
#Stigmabase | IN - US cancer death rate drops 25% since 1991 - Although cancer death rates in general remained 15%…,1
You're so fresh to death and sick as cancer,1
#حقيقه @ Kuwait Cancer Control Center,1
Beit Shulamit Cancer Treatment Centre in northern Israel by #RonArad is located at a regional…,1
""" With the Director, US National Cancer Institute, Prof. Harold Varmus. pic.twitter.com/o5C3Jqwl5b"" sure",1
Beit Shulamit Cancer Treatment Centre in northern Israel by #RonArad is located at a regional…,1
The unlucky thing is they didn't ban Yasuo and I have to play against that cancer,1
The cancer patients generally go through a difficult time while dealing with regular nausea and…,1
"yes true,unfortunately its da purest form of cancer :(",1
New Day .. New Life .. New Job Wish me luck! @ Kuwait Cancer Control Center Sheika Badriya…,1
MWIN - Cocktail of diabetes and hypertension drugs kills cancer cells - And the effect was exclusively confined to…,1
"31stDec 2016 Ride, Tropic of Cancer @ Tropic Of Cancer …",12
"Sooooo... the emotions of the year caught up with me (peeps with cancer, my dad, Bambo) and I…",12
"So out of the 8 states in India through which the Tropic of Cancer passes, I've spotted this…",12
"Your love is like cancer with no cure ,once you're infected you can't survive &i don't want to survive",12
Pakistan Atomic Energy Commission(Federal Govt) runs these 18 state of the art cancer hospitals in whole country. pic.twitter.com/Mc8trSWxTJ,12
Merry christmas #fun #art_therapy #57357 #fun_time #work #love @ Children's Cancer Hospital…,12
happy new year @ King Hussein Cancer Center,12
#صباح_الخير #صباح_الحب #صداقه @ Kuwait Cancer Control Center Sheika Badriya Hospital,12
#Stigmabase | IN - Cocktail of diabetes and hypertension drugs kills cancer cells - And the effect was exclusively…,12
"Breast cancer kills 40,000 women in Pakistan every year: experts pic.twitter.com/p1Gy5KolKb",12
"Him and the ""Cow of Hope"" @ Children's Cancer Center Of Lebanon",12
A young girl is suffering from blood cancer and she needs your help! She is admitted Right now…,12
Good night #TwitterDaily . Feeling cancer in my right leg. Ughh,12
Athletic's Yeray Undergoes Surgery After Testicular Cancer Diagnosis pic.twitter.com/987Ubi70By,12
"Tulsi is Very Useful in Blood Cancer with Gau Jharn, it helps to regenerate blood cells. #Liked_तुलसी_पूजन_दिवस",12
Athletic Defender Yeray Diagnosed With Testicular Cancer pic.twitter.com/Jh7IdPYAvd,12
"Cycling can prevent from breast cancer @ Athens, Greece",12
I'm at Kuwait Cancer Control Centre,8
MWIN - Ovarian cancer risk nearly doubles in women who douche - But the new National Institute of Environmental…,8
MWIN - Protein that can predict ovarian cancer early identified - Researchers have identified a protein that can…,8
