tweet_text,month_of_tweet
""" Submit abstracts by 17 April to take part in The Lancet Summit: COPD and Lung Cancer. …""",4
"MWIN - India has over 10 million cancer patients - India is a country with over 10 million cancer patients, data…",4
At Nepal Cancer Hospital @ Nepal Cancer Hospital & Research Center,4
"IM HUNGRY (@ Chong Hua Hospital and Cancer Center in Mandaue City, Cebu)",4
"Drink green tea daily to help protect against cancer, heart disease and memory loss, as well as…",4
#Stigmabase | IN - India has over 10 million cancer patients - India is a country with over 10 million cancer…,4
Good morning @ Kuwait Cancer Control Center KCCC,4
I'm at Kuwait Cancer Control Centre,4
"Asian Hospital Breast Center fast fact ""men can also have Breast cancer, in 1% of cases."" #earlydetectionisbetter",4
I'm at Kuwait Cancer Control Centre,4
#صباح_الحب @ Kuwait Cancer Control Center KCCC,4
Attended a #birthdayparty celebrated with #Cancer -stricken #children yesterday at a…,4
"Protect yourself from exposure to the sun's rays and reduce your risk of sunburn, skin cancer,…",4
"Hospital says Vinod Khanna is stable, after viral photo sparks cancer rumours … via",4
"Dear Sir - Please help for Compensation Job in DELHI TOURISM, My mother is hospitalized, she is Suffering from Cancer,I am Jobs les this tym",4
"Recognize him? Actor Vinod Khanna, suffering from bladder cancer.… …",4
Vinod Khanna suffering from cancer? Photo of actor in hospital goes viral …,4
"AC Room near KMCT College and NIT Calicut Campus and MVR CANCER Centre,&amp; Dayapuram Institutions.#1Bedroom",4
"Near N.I.T Calicut, MVR Cancer centre Vellalashery, IIMA Calicut, Dayapuram &amp; KMCT institutions #2BHK #Flat",4
A great purpose. Help comes in many ways. Thanks lovehopefaith group for helping cancer…,4
At Mount Miriam Cancer Hospital [pic] —,4
Good morning @ Kuwait Cancer Control Center KCCC,4
"u r so sweet I always pray fr u, the way u fight with cancer bravely. May God bless u with happiness and health",4
"We have a vaccine to protect against cervical cancer, the most common cancer among women in the…",4
Mom & Nanu #Family #Love #Yesturday #Life #Smile #Happy #Instagram #Snapchat @ Cancer Hills,4
"Atam's guide to happiness 1. Atam doesn't get skin cancer, skin… …",4
Stunning Sonali Bendre in abujanisandeepkhosla for Cancer Patients Aids Association. #Bollywood…,4
"Take me to a world where we can live together, no more death or cancer, whole world lives…",4
"""It's said sunburn is the result of your skin cells committing mass suicide to protect you from their damaged DNA, which can cause cancer.""",4
"HCG BHIO... 25y old Cancer Hospital of Mysore #5amshoot @ Mysore, Karnataka",4
"ASIAN HOSPITAL is evil, sucking money from poor cancer victims! pic.twitter.com/ZKHA4KkFkq",3
"jee, My wife suffering with Cancer. Passport RENEWAL due June2017. Cannot attend in person. Pl.Allow Online",3
I want this right now. Agad agad! #cancer #foodgram #foodporn …,3
Paris trained dogs r able to sniff out cancer from shirt piece of women. A great find saving lakhs of $. Great for the poor.,3
Last day of rotation (@ Kuwait Cancer Control Centre),3
"I'm at Chong Hua Hospital and Cancer Center in Mandaue City, Cebu",3
MWIN - The Universal Immunization Program: Facts and Impacts - One of the top three cancers affecting women in the…,3
#Stigmabase | IN - The Universal Immunization Program: Facts and Impacts - One of the top three cancers affecting…,3
I'm at University of Santo Tomas Benavides Cancer Institute in Manila,3
"(@ Chong Hua Hospital and Cancer Center in Mandaue City, Cebu)",3
"Manjuri, 60, lost her husband to cancer in their village Gogwan in Western Uttar Pradesh. Two…",3
Cancer everywhere,3
"when Manolo was a baby and Marlyn cancer free. God guide us, help us embrace our challenges with…",3
Benefits of Exercise : Reduce breast #cancer risk by 25 percent with just 1 hour of #exercise a…,3
"Afzaal, 45, died of cancer in his village Gogwan in Western Uttar Pradesh. Two years ago, state…",3
"It's nice to see you again Santino! My wife calls him the Cancer Survivor, Puppy pa lang siya…",3
"Video clip of my weekly photo learning session with cancer children at paediatric ward of TMH,…",3
Rad Onco Convention. Blesed are the people whom God used as an instrument to lead cancer…,3
Dear PM this 5 year old child is suffering from CANCER. If possible please help him. He is in hospital at present. pic.twitter.com/4X4mwZjtkq,3
Happy Weekend everyone! #queensareborninjuly #cancer #iwanttohavethisshirt @ UP Village,3
I'm at Kuwait Cancer Control Centre,3
"Getting better and better, Teret! And Gab with her dab pose. @ Chong Hua Mandaue and Cancer…",3
[Mandatory End-of-Rotation Photos] Cancer Institute 끝!! 3/9 …,3
"Every bit of anti-cancer and anti-inflammatory literature screams out the merits of turmeric, so…",3
"kya hum log Gutkha aur pan masala band kar sakte hai, this cancer industry should be closed once and for ever",3
Many thanks to the Nursing Department at the National Center for Cancer Care and Research…,3
I'm at Kuwait Cancer Control Centre,3
Mayawati is cancer for society. After big zero still playing cast hate. By telling that brahmin society is downgraded by swearing a Rajput,3
Its been 5 months since sweet baby Barnacle's cancer operation. I havent told anyone about her…,3
#cancer #bornonthefourthofjuly @ UP Village,3
"""BENEFITS OF DRINKING GREEN TEA"" - Fights cancer - Protects against heart disease - Lowers…",3
"""Cancer is only going to be a chapter of your life, not the whole… …",3
Cancer Institute Hallway @ Philippine General Hospital (PGH),3
"GUYABANO ""Miracle Fruit"" *Helps Prevent Cancer *Helps Prevent… …",3
These are cute key chains that the pediatric cancer patients at… …,3
These are the pediatric cancer patients at Bahay Aruga. Your help is… …,3
Spinach is abundant in flavonoids with anti-cancer properties that protect body from free…,3
"& taking part in the second annual ""Pink Day"" cancer awareness… …",3
Colorectal cancer is now the third leading type of cancer in the Philippines. But it can be… …,3
#monsterenergy #beastmodeonactivate @ Chong Hua Mandaue and Cancer Center,3
“ #StarSignFacts: Cancer is good at organising.” -it's truueeee,3
The singing cancer-surgeon Doc Roel of St. Luke's Hospital! Don't Know What To Say ... @ Punta…,3
"Video clip of my weekly photo learning session with cancer children at paediatric ward of TMH,…",3
plot near cancer hospital wardha road #Jamtha #ResidentialPlot #Land #ForSale #Nagpur #Residential #Property,3
"Science, slowly catching up with the nature. History of Cancer is truly fascinating. From ""The…",3
Hi~ Cancer buddy~~ #foodie #foodporn #lunchtime #dumping #xiaolongbao #crab #sidedish #cutie…,3
"Video clip of my weekly photo learning session with cancer children at paediatric ward of TMH,…",3
"I'm at Chong Hua Hospital and Cancer Center in Mandaue City, Cebu",3
By #htcm9plus @ King Fahad National Center for Children's Cancer and… …,3
Rise against #cancer #IndianCancerSociety concert by #ustadamjadalikhan @ Kamani Auditorium,3
Guess who got the cut on #hairtohelp #hairdonationdrive for Cancer… …,3
At King Fahad National Childrens Cancer Center —,3
Bacterias of cancer …,3
Thank you batch Nexus for ur generous hearts in helping cancer patients fund their medications. #lifesaverWatchespic.twitter.com/C6pcaQXjhE,3
Ur generation could be the first generation on earth tht goes through life with a completely different understanding f cancer as preventable,3
' What's so brave about being bald? I've not fought for my country or found the cure for cancer…,3
Water 1992 is the year of the Water Monkey in feng shui. Cancer is… …,3
I'm at Kuwait Cancer Control Centre,3
Task 83-Cancer kid camps Drawing competition to cancer kids! #task83 #mission500…,3
Ongoing Research on Cancer at #RIBBpic.twitter.com/m8muVCHmsI,3
#tropicofcancer #RoyalLove #royalenfield @ Tropic Of Cancer …,3
6th International Cancer Symposium. The Road Less Travelled:… …,3
I'm at Kuwait Cancer Control Centre,3
My third time and hopefully not my last time to attend and support this amazing event for cancer…,3
"มา present cancer immunotherapy (@ Chamchuri 4 Building in Pathum Wan, Bangkok)",3
6th International Cancer Symposium The Road Less Travelled: Non-colorectal GI Malignancies @ St.…,3
