tweet_text,month_of_tweet
The benefits of Chili: Chili Compound Kills 89% of Leukemia Cells in Vitro and Reduces Risk in…,1
"hey guys my friend's son Eli, 10yrs old has Acute Myeloid Leukemia. He is an avid fan…",3
"'khiladi', 'leukemia' & 'receipts' are now trending in India",9
Diagnosed with leukemia.,11
"This girl aged 5 is diagnosed with leukemia.. Due to her condition, she is unable to do normal…",10
3 years ago at Lumbini where Bouddha birth and 4 years after Leukemia #nepal #lumbini #boudha…,10
DESIGNER—A MAN WHO HAS DONE SOMETHING FOR YOU TO JOIN THE TEAM AT THE FEET OF CHEERLEADER BATTLING LEUKEMIA—I BELIEVE THAT THE TRUTH #ASKKE…,9
"For Every fight won, for each battle lost. For admiring Leukemia Fighters. #supportandpray…",6
Martin sings for Epcalm adult leukemia foundation at Samsung Hall Sm… …,5
""" #Immunotherapy shows impressive study results in patients with advanced #leukemia """,5
"Epcalm Adult Leukemia foundation presents ""Journeys with Martin… …",4
Poor Cuervo leukemia first chemo #Cats #Thailand #Expat #Trang @ Trang,4
""" FDA approves medicine for people with hard-to-treat type of chronic lymphocytic leukemia: $RHHBY $ROG""",4
Summer 2016 haircut: Donate hair to Leukemia patients: …,4
#theHopefund #epcalm adult leukemia foundation fund raising dinner… …,4
"Gathering for Karina Sazon, a fundraising event for a friend and batchmate battling Leukemia…",6
➍ Bride Of The Water God ➎ Liza Soberano ➏ covfefe ➐ the CHOICE ➑ Zaha Hadid ➒ Acute Myeloid Leukemia ➓ Darna 2017/6/1 09:06 +08,6
➌ Bride Of The Water God ➍ Liza Soberano ➎ covfefe ➏ the CHOICE ➐ Zaha Hadid ➑ Acute Myeloid Leukemia ➒ Darna 2017/6/1 06:05 +08,5
➍ the CHOICE ➎ Zaha Hadid ➏ Acute Myeloid Leukemia ➐ Darna ➑ Chemical Engineering Board Exam 2017 ➒ Porcine 2017/5/31 21:06 +08,5
➍ Acute Myeloid Leukemia ➎ Darna ➏ Chemical Engineering Board Exam 2017 ➐ Porcine ➑ Dragon Boat Festival ➒ Tiger Woods 2017/5/31 18:06 +08,5
Top 10 ⒼⓄⓄⒼⓁⒺ Trends over the past 24 hours: ➊ the CHOICE ➋ Zaha Hadid ➌ Acute Myeloid Leukemia 2017/5/31 15:06 +08,5
Top 10 ⒼⓄⓄⒼⓁⒺ Trends over the past 24 hours: ➊ Acute Myeloid Leukemia ➋ Darna 2017/5/31 12:06 +08,5
Top 10 ⒼⓄⓄⒼⓁⒺ Trends over the past 24 hours: ➊ Acute Myeloid Leukemia ➋ Darna 2017/5/31 09:06 +08,5
Top 10 ⒼⓄⓄⒼⓁⒺ Trends over the past 24 hours: ➊ Acute Myeloid Leukemia ➋ Darna 2017/5/31 06:06 +08,5
Top 10 ⒼⓄⓄⒼⓁⒺ Trends over the past 24 hours: ➊ Acute Myeloid Leukemia ➋ Darna 2017/5/31 03:06 +08,5
Cellceutix Anti-Cancer Drug Candidates p53 Activity in Acute Myeloid Leukemia ... …,5
"""Acute Myeloid Leukemia"" is trending today on Google Philippines (2000+ searches) …",5
"We've got third world countries, little kids with leukemia, while the poor get poorer and the rich get greedier #amwriting #poem #poetry",1
Thank You Marriott Hotel Mnl and for choosing Epcalm adult leukemia foundation as…,9
"#Repost whatthecraft (get_repost) ・・・ Since September is Leukemia Awareness Month, Here's an…",9
"supported EPCALM's event at SM Aura, Samsung Hall. (EPCALM Adult Leukemia…",9
"Meet Marby, a leukemia survivor. Such a great visit to the hospital today and got to meet so…",12
Novartis says 82 percent of leukemia patients in remission after CAR-T via Excellent.all the best.,12
Typical acute lymphocytic leukemia case evaluation kapalit ng 13 CPD units. Bring it on.,10
From Leukemia subjects to Substance abuse to Alcohol abusers to… …,12
#Researchpreneur #ScienceAlertsNew Gene Treatment Effective for Some Leukemia Patients… … #FollowBackpic.twitter.com/jNJgHR53jf,11
Had a cousin succumbed to Leukemia...he was just 7 years old. I could remember the pain it…,11
A trick and treat to leukemia patients in celebration of birthday! …,11
Leukemia is the 4th Cancer Killer in the country today ! Orange is… …,9
Epcalm adult leukemia foundation Running with Resorts World… …,8
"This is Erika Saldo, fighting Acute Myloid Leukemia Refractory. Guiding ROAD is initiating a…",8
"Epcalm Adult Leukemia foundation ph in observance of "" World… …",8
Thank you for this baby Hannah! I will pray for your speedy recovery against leukemia. Seeing…,7
