tweet_text,month_of_tweet
"@ National Cancer Center, Jerudong",4
"Waiting... @ National Cancer Centre, Jerudong Park Medical Centre …",4
cancer of the community,3
"Lunch break! @ The Brunei Cancer Centre, Jerudong",5
"Baby Cancer and the loving daddy #pondoksariwangijp #dinner @ Pondok Sari Wangi, Jerudong Park",5
"The 1st time I was diagnosed with cancer was in the year 2000, I was 18 way back then. I…",9
"View from the 8th floor @ National Cancer Center, Jerudong …",12
At National cancer centre —,4
Scary afternoon where I had to park at the new Brunei Cancer Center building for a function in…,10
"October is Breast Cancer Awareness Month, Candas Creative Company… …",10
"REPOST from October is Breast Cancer Awareness Month, Candas Creative Company…",10
"REPOST from October is Breast Cancer Awareness Month, Candas Creative Company…",10
"REPOST from October is Breast Cancer Awareness Month, Candas Creative Company…",10
headin to RIPAS hospital on raya day 8 aunty had a breast cancer.… …,7
Daddy's appointment (@ National cancer centre in Bsb),6
