tweet_text,month_of_tweet
"Kalap gilaaakk (with Saba Rian, Melanoma TRUMP, and 2 others at 해피스노우 Happy Snow Bingsoo) [pic] —",2
NomNom (with Melanoma TRUMP and 張教善 at Sate Taichan) [pic] —,1
Fight Melanoma naturally: Melanoma is the most common yet serious form of skin cancer…,6
Immunotherapy drug for advanced stages of lung cancer and melanoma now in the Philippines. More…,3
FDA delayed stronger sunscreens for a decade as melanoma diagnoses spiked,6
[2] The before and after. // Went straight after assisting a #melanoma excision nasal…,12
My mother died lat 1998 because of Melanoma (Cancer of the Skin) and my grand mother died last…,8
Needle-free transdermal #oncept melanoma vaccine @ Mount Pleasant Veterinary Centre Gelenggang,6
""" FDA delayed stronger #sunscreens for a decade as #melanoma diagnoses spiked … via",5
""" #DYK: 1 in 40 Americans will be diagnosed with #melanoma in their lifetime? #MelanomaAwarenessMonth pic.twitter.com/FWa7uy3bTh""",5
""" #DYK: 1 in 40 Americans will be diagnosed with #melanoma in their lifetime? #MelanomaAwarenessMonth pic.twitter.com/FWa7uy3bTh""",5
""" #MEDIA: European Commission approved our therapy to treat patients with advanced #melanoma: """,5
