tweet_text,month_of_tweet
"Result review my mom, #hindundarus by Dr.Lee From #marginal #bzone #lymphoma #transform…",8
This is Syahirah Nisrina binti Arman. She has Burkitt's Lymphoma S IV which is cancer of the…,2
""" FDA conditionally approves first new animal drug for treating lymphoma in dogs. """,1
"A Snap of Mr. Durian, 5 years old dog, living with Lymphoma Disease. Today is his 4th treatment…",11
"My father has returned to home from I. C.u. reported pneumonia, nephrological problem, lymphoma.",6
Saw some cheerleaders doing the acrobatic routine at sentosa for the Leukemia and Lymphoma…,6
I've been diagnosed with cancer on December last year. Cancer Lymphoma. Luluh jantung bila dapat…,6
no one hv his pwd ke? I cannot lah. My other frnd yg died 5yrs ago bcs of lymphoma still ada lg fb dia. Still miss him.,6
"About 2 yrs ago, i was diagnosed with hodgkins lymphoma and went on… …",2
""" #BristolMyersSquibb Opdivo gets green light for Hodgkin lymphoma in Europe. Read more: $BMY""",11
""" #BristolMyersSquibb Opdivo gets green light for Hodgkin lymphoma in Europe. Read more: $BMY""",11
"the day after reading the book, all my lymph node cases we're hodgkin lymphoma. day 270 of 366…",9
"A run for a cause for Fevi Escal, stage 4 Lymphoma Cancer Warrior. #vscocam #vscoedit #cause",9
"A run for a cause for Fevi Escal, stage 4 Lymphoma Cancer Warrior. Stolen shot. ~ #vscocam…",9
"Such an awesome start of the day! A run for a cause for Fevi Escal, stage 4 Lymphoma Cancer…",9
"Incision biopsy of neck mass, possibly Lymphoma (@ Bohol St. Jude Hospital in Tagbilaran City)",12
"""Lymphoma Cancer"" is trending today on Google Malaysia (20000+ searches) …",11
Vanessa Dayton from #univminnesota presents #lymphoma lectures to residents and staff.…,11
➍ NBA ➎ MAGNUM ➏ Amal Clooney ➐ lymphoma 2017/6/9 00:08 +08 …,6
➏ lymphoma 2017/6/8 21:08 +08 …,6
Top 10 ⒼⓄⓄⒼⓁⒺ Trends over the past 24 hours: ➊ MAGNUM ➋ Amal Clooney ➌ lymphoma ➍ H&m 2017/6/8 09:08 +08,6
Top 10 ⒼⓄⓄⒼⓁⒺ Trends over the past 24 hours: ➊ MAGNUM ➋ Amal Clooney ➌ lymphoma ➍ H&m 2017/6/8 06:08 +08,6
Top 10 ⒼⓄⓄⒼⓁⒺ Trends over the past 24 hours: ➊ MAGNUM ➋ Amal Clooney ➌ lymphoma ➍ H&m 2017/6/8 03:08 +08,6
Top 10 ⒼⓄⓄⒼⓁⒺ Trends over the past 24 hours: ➊ MAGNUM ➋ Amal Clooney ➌ lymphoma ➍ H&m 2017/6/8 00:08 +08,6
Encouraging results from combination therapy in Hodgkin lymphoma …,6
"""lymphoma"" is trending today on Google Malaysia (2000+ searches) …",6
