tweet_text,month_of_tweet
""" FDA conditionally approves first new animal drug for treating lymphoma in dogs. """,1
"My father has returned to home from I. C.u. reported pneumonia, nephrological problem, lymphoma.",6
Saw some cheerleaders doing the acrobatic routine at sentosa for the Leukemia and Lymphoma…,6
I've been diagnosed with cancer on December last year. Cancer Lymphoma. Luluh jantung bila dapat…,6
no one hv his pwd ke? I cannot lah. My other frnd yg died 5yrs ago bcs of lymphoma still ada lg fb dia. Still miss him.,6
This is Syahirah Nisrina binti Arman. She has Burkitt's Lymphoma S IV which is cancer of the…,2
""" #BristolMyersSquibb Opdivo gets green light for Hodgkin lymphoma in Europe. Read more: $BMY""",11
""" #BristolMyersSquibb Opdivo gets green light for Hodgkin lymphoma in Europe. Read more: $BMY""",11
'lymphoma' is now trending in #Karachi pic.twitter.com/muLuLSg0ha,8
"Result review my mom, #hindundarus by Dr.Lee From #marginal #bzone #lymphoma #transform…",8
"A Snap of Mr. Durian, 5 years old dog, living with Lymphoma Disease. Today is his 4th treatment…",11
Vanessa Dayton from #univminnesota presents #lymphoma lectures to residents and staff.…,11
