tweet_text,month_of_tweet
"A 21 year old girl is fighting blood cancer in Shifa Hospital, Islamabad. Blood of all group types needed urgently. Contact: +92 340 1540665",1
Good morning plz smile @ Kuwait Cancer Control Center KCCC,1
I'm settling @ Kuwait Cancer Control Center KCCC …,1
Good morning have a wonderful weekend @ Kuwait Cancer Control Center KCCC,1
My #RepublicDay Ensemble in India's colours . On my way to a Board Meeting of a Cancer NGO…,1
Good morning @ Kuwait Cancer Control Center,1
"MWIN - Dear men, work-related stress may cause cancer - A link between work-related stress and cancer was not…",1
"MWIN - 150 women government employees screened for cancer - Vinisha Nero, MLA, Chairman of Women and Children Sub…",1
Just posted a photo @ King Hussein Cancer Center,1
#rajasthan k #yuvraj #cancer #survivor #inspiration #story of #saurabh from #Jaipur -…,1
"#Stigmabase | IN - Dear men, work-related stress may cause cancer - A link between work-related stress and cancer…",1
yuvstrong12 paajee has Defeated Cancer. I am sure he Can Defeat Anyone In The World whether they… …,1
"#Stigmabase | IN - 150 women government employees screened for cancer - Vinisha Nero, MLA, Chairman of Women and…",1
"Only £150 sponsorship donation to reach £5,000 for Teenage Cancer Trust …",1
Your SMS can Save a Life! Donate Rs. 20+t by sending SMS to 7770 and help treat poor cancer patients being at Shaukat Khanum Cancer Hospital,1
[ ] Ransomware scum infect cancer non-profit …,1
""" warns #patients not to use PNC-27 #Products for #treatment of #cancer …""",1
"Cancer is a DICK!! I tend to post this every few months. Everyone is busy, everyone is too busy.…",1
"Cancer is a DICK!! I tend to post this every few months. Everyone is busy, everyone is too busy.…",1
finetissues launching #the_land_of_heros campaign to support #Jordan and kids of cancer in…,1
I'm at King Fahad National Centre for Children's Cancer,1
Starting to day and every day @ Kuwait Cancer Control Center Sheika Badriya Hospital,1
Good morning @ Kuwait Cancer Control Center Sheika Badriya Hospital,1
Apply #ComputerVision to improve lung cancer detection … by,1
""" Cannabis oil destroys cancer cells. Vitamin B17 destroys cancer cells. Yet, both are banned by the FDA.""",1
World Health Organization & National Cancer Institute's report – “The Economics of Tobacco and Tobacco Control” – : .pic.twitter.com/vAlAQJVnKh,1
Vitamin D can switch off Cancer genes and many cancers are associated with low…,1
Vitamin D can switch off Cancer genes and many cancers are associated with low levels @ Dr Wiam…,1
"Blue Dart Centre for cancer kids (@ Bombay Port Trust Road in Mumbai, Maharashtra)",1
A better look at the book cover of my cancer survival book. I posed in Istanbul. Life can bring…,1
I understand.. I lost my dad to horrible cancer a few years back. .I still miss him,1
Carcinogenic Palm Oil results in Nutella to be banned from supermarkets 'because it could cause cancer',1
A cancer patient wear her mask during a Cancer Awareness event in Mumbai. #destination27…,1
MWIN - US cancer death rate drops 25% since 1991 - Although cancer death rates in general remained 15% higher…,1
I'm at Kuwait Cancer Control Centre,1
#ILikeSelfieExpert Neva loose hope cancer fighter player …,1
#Stigmabase | IN - US cancer death rate drops 25% since 1991 - Although cancer death rates in general remained 15%…,1
You're so fresh to death and sick as cancer,1
#حقيقه @ Kuwait Cancer Control Center,1
Beit Shulamit Cancer Treatment Centre in northern Israel by #RonArad is located at a regional…,1
""" With the Director, US National Cancer Institute, Prof. Harold Varmus. pic.twitter.com/o5C3Jqwl5b"" sure",1
Beit Shulamit Cancer Treatment Centre in northern Israel by #RonArad is located at a regional…,1
#cancer + #Ayurveda been doing some research since last year. #癌 と #アーユルヴェーダ…,1
If cancer patients r increasing in a area dy by dy n u r opening just cancer hospitals n not thinking y cancer patients r increasing then u,1
The cancer patients generally go through a difficult time while dealing with regular nausea and…,1
"yes true,unfortunately its da purest form of cancer :(",1
New Day .. New Life .. New Job Wish me luck! @ Kuwait Cancer Control Center Sheika Badriya…,1
MWIN - Cocktail of diabetes and hypertension drugs kills cancer cells - And the effect was exclusively confined to…,1
The Illegals are the silent cancer cells. They are never detected till too late,12
"31stDec 2016 Ride, Tropic of Cancer @ Tropic Of Cancer …",12
"So out of the 8 states in India through which the Tropic of Cancer passes, I've spotted this…",12
"Your love is like cancer with no cure ,once you're infected you can't survive &i don't want to survive",12
Pakistan Atomic Energy Commission(Federal Govt) runs these 18 state of the art cancer hospitals in whole country. pic.twitter.com/Mc8trSWxTJ,12
Merry christmas #fun #art_therapy #57357 #fun_time #work #love @ Children's Cancer Hospital…,12
