tweet_text,month_of_tweet
Man Mo Temple. When everyone lights incense and pray they don't get lung cancer. @ Man Mo Temple,1
Congratulations to the Champion (2D - Cancer) and 1st-runner up (1D… …,1
:: THIS SAVED MY LOVED ONE FROM CANCER ... Our version of GLOBAL… …,1
"CANCER CONSCIOUSNESS WEEK #motorcade @ Tuguegarao City, Cagayan …",1
@ Bahay Aruga A Free Halfway House for Pediatric Cancer Patients …,1
"Rehab center for cancer patients - no synthetics, no chemo, just herbal treatment. | #vsco…",1
"Rehab center for cancer patients - no synthetics, no chemo, just herbal treatment. | #vsco…",1
"Last night at thecityclub! Fun, musical evening with friends - Marketing Guru KARIN, Cancer…",1
"silence, like a cancer, grows // a continuation of my Zambales thread #poetry #poem #photography…",1
Cancer. @ Viverde Lofts,1
I still can't believe that its been two years since my Papa lost his battle with cancer. This…,1
It's so lovely to tap for breast cancer charity~ #smktapdancestudio #tap #tapdance #whatashow…,1
Gagaling ka din Kuya Chad! We Love You! @ Benavides Cancer… …,1
Heyyyyyy my travel partner had the same bday as me! June 28 for sho!!! #cancer @ Narita…,12
Conquering cancer can be a walk in the park when one of your besties wheels you in…,12
Bitterness is like cancer. It eats upon the host. But anger is like fire. It burns it all clean #ALDUBHolidayCheers,12
"Ride Strong, help support our mission to create a breast cancer free world. Visit…",10
I'm at RED!MONSTER,10
I wish cancer got cancer and DiED. @ ManilaMed …,10
"25 years ago, there was no pink ribbon. Time to end breast cancer. Visit …",10
Breast cancer awareness month. All pilots wearing pink donated to the HK breast cancer charity.…,10
Save a life share and support Breast Cancer awareness. - - - - - - #hkbcf #香港乳癌基金會…,9
PHILIPPINE CANCER SOCIETY's 2017 Best Dressed awardee Venue :… …,9
About last night. Philippine Cancer Society Annual Charity Gala.…,9
"MB REPRESENT At the Best Dressed Ball, the annual Philippine Cancer Society gala held this year…",9
"At the Philippine cancer society ball #philippinecancersocietyball2017 @ Shangri-La at the Fort,…",9
Todays agenda: Cervical Cancer Vaccination with Mom! #1stShot2Togo #FamDay #SpoiledMom @ UP…,9
Attended the media briefing of the Cancer Coalition of the Philippines for the National…,9
I'm at CSMC Cancer Center,9
I'm at University of Santo Tomas Benavides Cancer Institute in Manila,9
"Bridging HVP and Cancer: Why It Matters. #HPVfreePh @ Shangri-La at the Fort, Manila",9
"Bridging HPV and Cancer: Why It Matters. #HVPfreePH @ Shangri-La at the Fort, Manila",9
We hope & pray that God will guide all the Filipino Cancer Support Groups/Advocates to…,9
We hope & pray that God will guide all the Filipino Cancer Support Groups/Advocates to…,9
"2017/10/01: Cubao, Quezon City, Philippines: Funk Night Vol. 5 x Breaking The Cancer Manila …pic.twitter.com/k7DjkOILIh",9
I'm at RED!MONSTER w/,9
I'm at RED!MONSTER,9
Good morning weekend work! (@ University of Santo Tomas Benavides Cancer Institute in Manila),9
"September is important because it gives us, childhood cancer families, the opportunity to let…",9
"If you can learn how to use this train system, you can cure cancer. @ Sinkiba Stetion",9
"And Yes, We Are Complete! #TeamChechemo #2019PGHMedOnco @ UP PGH Cancer Institute",9
1997: In 20 years I bet we'll have flying cars and a cure for cancer 2017: We Just Get the Poop Emoji pic.twitter.com/Bp9f9WjdzE,9
Chopped • It has always been on my bucket list to donate my hair to cancer patients and I'm…,9
@ Bahay Aruga A Free Halfway House for Pediatric Cancer Patients,9
I wonder if those hair donation drives(?) that make wigs for cancer patients would accept my…,9
Philippine Cancer Society 14th Ball press launch of Best Dressed… …,9
TIME TO SAVE A LIFE OF A CANCER PATIENT Give and be more blessed. Visit their page for orders…,5
I'm at Tomioka in Gunma,5
We did it!! thank you for your support and contribution to fight cancer.. and to help Children…,5
Giving up. #nottthistime Come support #tapasformama Moi's fight as he scares away #cancer at…,5
The human race will be the cancer of the planet JOLLIBEEdaSaPuso MARVOREE,5
ATM. Cancer screening. #pcpannualconvention @ SMX Convention Center,5
Smoking can cause at least 11 types of cancer! #pcp2017,5
Where memories were made #breast cancer #charitytrek #fundraising @ Great Wall of China -…,5
"Join us Friday, May 5, 2017 and let's fight cancer together! #2017MMAC #RelayForLife #Saipan…",5
"“ #Cancer is ruled by the Moon representing Receptivity, Emotion, Instinct.” - kaya pla ang arte artii ko",4
"Hey it's Hannah. Hannah Cancer #13ReasonsWtf @ Uptown Bonifacio, Taguig City …",4
I salute him for his strong determination to fight cancer #KMJS12 image credits to kmjs @ GMA…,4
"Now in Japan it is said one of two people will become cancer. Today I prepared for this tea,…",4
New folks to start with @ At Childhaus Center For Children Afflicted With Cancer..,4
Ralph and I didn't get the memo that it was Breast Cancer Awareness… …,4
Mg cancer sa nf ampota,4
"3 shots done! Sa wakas guythsss, join the fight against cervical cancer! push nyo nadin…",4
Battle of the Cancer! Thank you so much to all my family and friends for the prayers and…,4
with the Cancer Warrior Kids here to watch #HowToBeYours,8
"Niño with the beneficiaries of the Cancer Warriors Foundation, these fighting young survivors…",8
Oh wow there are vaccines for Lung Cancer now in clinical trials also they're free (supposedly),7
Cancer,7
Cancer is,7
Thanks! #lifesaverwatch #timetosavealife 50% is donated to cancer… …,7
"#midori #travelersnotebook #passport size in light brown, used #star as #bookmark and Cancer…",7
Teasing tongue cancer of the presidential Viper haeboryeo escaped the worst crisis of governance …,7
cancer #beach #shichirigahama #七里ヶ浜 #Japan #tanskin @ Shichirigahama Beach,7
站在北迴歸線！ Standing on the Tropic of Cancer. It's been six years since I watched a documentary of…,7
Someone's gonna see his vet after 3 months of hiatus. The cancer is taking a toll on his K9.…,7
safe ka naman from cancer lol,7
IYAM Block Screening with Breast Cancer Survivors. Thank you po Daddy Bae…,7
MVP's Birthday celebration here at NCH Cancer ward. #HBDMVP #AlagangKapatidFoundation,7
MWVN - Soaring healthcare costs force Chinese into crippling debt - A cancer patient in a Beijing hospital.…,7
#Stigmabase | VN - Soaring healthcare costs force Chinese into crippling debt - A cancer patient in a Beijing…,7
"Nurses help cancer patient, daughter see Paul #McCartney in concert -… pic.twitter.com/plnJ3l3UQt",7
""" seriously pic.twitter.com/wbJ87SHG1f"" ow cancer baby",7
Happy Birthday to me! Thank you mga mems! #Mems #July #Cancer… …,7
Were about to start..lets do this work out for cancer warriors!!!,7
Hello again She has been battling cancer. She has passed since two days the administration of…,7
Cooking sesh! #Cancer #JulyNiner #gastronomicspirit @ Wonderland Townhomes,7
"SHET, BLASTS! Tama ba? Basta I saw something guys... At the BCI (benavides cancer…",7
"With rising cancer cases in PH, startup contest seeks solutions …pic.twitter.com/138gGnInH3",7
About last night ~ #birthdayweekend #cancers #julybabies #Busan #korealife #torontogirls #the6ix…,7
"#James a 14 yrs. Old cancer patient. Seeing him playing, laughing,… …",7
Pre bday lunch with my cancer girl sanxoxo76 #girls #bff #0706 #0708 #Taipei #Taiwan #foodie…,7
CANCER? NOW WHAT? … Please…,7
SOCIAL CANCER @ National Museum of the Philippines,6
HOW CUTE HE WAS BEING HTTPS—TIME TO CHANNEL YOUR FRUSTRATION INTO INTENTION IF YOUR S MORE FOR CANCER—THEY'VE—WAKE UP AND I DON'T UNDERSTAND,6
Pub Cancer.,2
May it burn until a cure is found! #worldcancerday #worldcancerday2016 #cancer #photodaily…,2
When things are a blur... Remember your whys. Meeting Jirah May at the Cancer Institute…,2
WARNING : Don't ever sleep with mobile phones under the pillow! It causes Brain Cancer! :-P,2
With the Ultimate Bae during our charity event for the cancer survivors of…,2
"Bangke!! Tapi ya emang sih... =')) "" When a #Cancer likes you, it's almost impossible to ignore (it's very obvious).""",2
"#Anti_Cervical_Cancer Done my first session., two more to go Thank you so much sa my…",2
#new #saintseiya #cancer #deathmask #bandai #tokyo #japan #soulofgold via Shishioh @ Ldi Games,2
#houseofmodeelle #icancervive #advocacy #cancer #magazine #modelling @ Caloocan,1
"What if i have a stage 4 cancer, gagawin ba nila?",1
Maan I lost many family members to cancer,1
Only one thing I have to be is strong. Just like how my mommy's strong with her cancer.,1
等等等～ (@ Cancer Hospital Chinese Academy Of Medical Science in 北京市),1
Bracelet for solidarity of cancer #IAmHope @,1
""" u have cancer iha"" Ohhhhhhh",1
I'M Possible Concert A benefit concert for cancer victims. Thank… …,1
curse you cancer,1
In Indonesia we got the equator. In Taiwan we got the Tropic of Cancer. In my heart I…,1
I thought Boosie beat the cancer,1
"David Bowie. Alan Rickman, and now Celine Dion's husband Rene Angelil, all died from cancer. So sad. #RIP",1
