tweet_text,month_of_tweet
Are you afraid of cancer? Take royale products and prevent cancer. I'm restocking my supply to…,3
Dentists are the first person to identify oral cancer. SalamatDok Sa BRYtaminB,2
Cancer F U. You've taken away a lot of people. Now it's Rickman.,1
Go to hell and stay there Cancer!!,1
Damn you Cancer.,1
I have the sign that can put you in SHAME with my Intelligence!!! #Cancer,1
Liven Coffee (Original) Php 390.00 Help prevent cancer of any origin Detoxifies the Body …,1
Liven Coffee (Cappuccino) Php 390.00 Help prevent cancer of any origin Detoxifies the Body …,1
Liven Coffee (Latte) Php 390.00 Help prevent cancer of any origin Detoxifies the Body …,1
MyChoco Php 440.00 Help prevent cancer of any origin Detoxifies the Body Reduces Fatigue…,1
"Leo, a young cancer warrior, is one of the recipients of an early Christmas surprise sponsored…",12
"Light a Candle of Hope for Lung Cancer #CandleLighting #lungcancerawareness @ Quezon Hall, West…",8
Lighting candles for lung cancer patients. #PulmoMonth #medlife @ West Visayas State University,8
"May the Lord give you strength and power to fight that cancer, We are praying for your guidance…",2
Took a trip down memory lane.. @ St. Paul's Hospital Cancer Center …,2
"2017/08/05: Iloilo City, Philippines: Breakin' the Cancer …pic.twitter.com/NH7JHgVHjX",7
"Gathering for Karina Sazon, a fundraising event for a friend and batchmate battling Leukemia…",6
