tweet_text,month_of_tweet
Poor Cuervo leukemia first chemo #Cats #Thailand #Expat #Trang @ Trang,4
""" FDA approves medicine for people with hard-to-treat type of chronic lymphocytic leukemia: $RHHBY $ROG""",4
Saw some cheerleaders doing the acrobatic routine at sentosa for the Leukemia and Lymphoma…,6
"For Every fight won, for each battle lost. For admiring Leukemia Fighters. #supportandpray…",6
"Fiqram 14 y.o Leukemia AML is in High Care Unit, they won't let me in. #inamadjidhan #inawiro…",7
"First time meeting with Afisena, 7 y.o with Leukemia ALL, a new patient from Central Java. He…",10
"Im terribly shock when heard you passed away cause leukemia, i still remembered when the first…",10
"'parody', 'donors' & 'leukemia' are now trending in #Singapore",9
DESIGNER—A MAN WHO HAS DONE SOMETHING FOR YOU TO JOIN THE TEAM AT THE FEET OF CHEERLEADER BATTLING LEUKEMIA—I BELIEVE THAT THE TRUTH #ASKKE…,9
"Justine 4 y.o, from Papua. Suspected #leukemia This is the first time I see him, he is still a…",6
#realfamily #supportgroup #leukemia #CML #GIST #nationalanthem #janaganamana We always begin…,5
#dhakadiaries #dhaka #CML #advocate #leukemia #supportgroup #southasia Watching Sohag and his…,4
"I had such a brief moment with Soma, Leukemia. But it was a good moment. Farewell little man.…",1
"RIP Soma, Leukemia. January 29th 2017. #inawiro #inamadjidhan #gerakanBERBAGI #GB…",1
"We've got third world countries, little kids with leukemia, while the poor get poorer and the rich get greedier #amwriting #poem #poetry",1
"This girl aged 5 is diagnosed with leukemia.. Due to her condition, she is unable to do normal…",10
"'khiladi', 'leukemia' & 'receipts' are now trending in India",9
Dimas'a leukemia has been confirmed. Not a good news but at least we know what will we deal with…,8
"I guess these two now play together in heaven. Farewell Fiqram & Vicky, Leukemia. My heart die a…",8
"Sena, 8 y.o with leukemia #childhoodcancer just got his bone marrow punctured, where doctor…",12
"RIP Iqbal, Leukemia. December 13th 2016. Photo from July 2016. He was already fading. I knew…",12
"RIP Iqbal, Leukemia. December 13th 2016. Photo from July 2016. He was already fading. I knew…",12
Novartis says 82 percent of leukemia patients in remission after CAR-T via Excellent.all the best.,12
Bloodlust. #blood #leukemia #cancer #like4like #haematology #sgh #likeforlike #instagood…,12
""" #Immunotherapy shows impressive study results in patients with advanced #leukemia """,5
Yusuf is 5 y.o with Leukemia #childhood #cancer One of many things I enjoy doing on weekend is…,4
#Researchpreneur #ScienceAlertsNew Gene Treatment Effective for Some Leukemia Patients… … #FollowBackpic.twitter.com/jNJgHR53jf,11
Si ikan #SuperJunior’s Donghae Appointed As Honorary Ambassador For Korea Childhood Leukemia Foundation… …,9
. . The type of leukemia that I am dealing with is treatable. So if… …,8
