tweet_text,month_of_tweet
Cancer by twenty one pilots (at —,10
"breast.cancer.campaign #mydubai @ Jumeriah Beach Resort,… …",10
Cancer by twenty one pilots (at aprndptra Room) —,10
"The Estee Lauder Breast Cancer Awareness Campaign invites men, women and families to draw…",10
"October is National Breast Cancer Awareness Month, a time to raise… …",10
Seminar Cancer Update 2016 day 1Done! #cancer #seminar #symposium #idi #doctor #dokter…,10
"I Support Breast Cancer Fighters October is Breast Cancer Awareness Month. In fact, almost…",10
Today is wear pink day at YourCare in honor of Breast Cancer… …,10
""" Uganda’s only cancer treatment machine breaks, patients left waiting #onmedic #ehealth #pharma""",10
""" Biocon founder Kiran Mazumdar-Shaw backs two cancer startups | ET HealthWorld …""",10
"""Yes I Can,Yes We Can! They have an insider's take on breast cancer, but they are willing to…",10
Dozens wore pink in support of #powerofpinkbananaisland breast cancer awareness <3 <3 <3,10
Dozens wore pink in support of #powerofpinkbananaisland breast cancer awareness <3 <3 <3,10
#NoBraDay for breast cancer,10
Happy Internasional No Bra Day 'Oct 13' Support Breast Cancer Awareness #playgroundcafe…,10
"Cause the hardest part of this, is leaving you ♫ Cancer by My Chemical Romance (at Gremory Cloth) —",10
"breast cancer awareness & flu vaccination @ Qatar Petroleum, Mesaieed …",10
"13'0ct2k16, together for breast cancer awareness #nobraday (at Tempat Penitipan Bayi & Anak) [pic] —",10
I'm at National Cancer Society of Malaysia in Kuala Lumpur,10
HOPE LOVE WE FIGHT! Breast Cancer. October is Breast Cancer Awarness Month Hari ini aku…,10
Cancer by twenty one pilots (at Bima Palma Group (Jkt - HeadOffice)) —,10
"BREAST CANCER AWARENESS MONTH • Breast Cancer Awareness… (w/ Ulie, Edvi, & 20 others at [vid] —",10
We support Breast Cancer Awareness Month. Be safe be natural. #awareness #breastcancer #natural…,10
""" Big lesson for cancer: target your drugs as narrow as possible. (Expand later). …""",10
"Breast Cancer Awareness Month In collaboration with Yayasan… (w/ Dara, Josee, & 20 others at Neo Soho) [pic] —",10
Our Pink Ribbon for Breast Cancer Awareness today (with NEO SOHO at [pic] —,10
Cause the hardest part of this is leaving you ♫ Cancer by twenty one pilots (at GOR Tri Lomba Juang) —,10
Think prevention. It's the cure for everything. I support for cancer… …,10
"I Support Breast Cancer Fighters October is Breast Cancer Awareness Month. In fact, almost…",10
Cause the hardest part of this is leaving you ~ ♫ Cancer by twenty one pilots (at Pertamina Retail) —,10
Previewnya gini amat... (at Kalbe Genomics - Stem Cell and Cancer Institute) —,10
Visit the bake sale by the Women Empowerment Club throughout this week for the Breast Cancer…,10
Method Events gets our community together to spread awareness about Breast Cancer at the Hub! A…,10
Cancer by twenty one pilots (at aprndptra Room) —,10
Please join us at Eat and Drink Pink 2016 raising found event for the breast cancer cause…,10
Pfffttttttthhahahahaha.. Fail fail.. Please if you met me… ♫ Cancer by twenty one pilots (at —,10
"Gentle yoga session in the name of Breast cancer victims, survivors and their families will take…",10
♫ Cancer by twenty one pilots (at —,10
Thank you Estee Lauder Companies for the consistency in raising our awareness of breast cancer.…,10
From today's The Breast Cancer Awareness Campaign with Estee Lauder Company,10
Let's grab this at super cheap price! In conjunction of breast cancer awareness campaign pic.twitter.com/E1KC9tul3C,10
""" Cancer medicines, antibiotics become cheaper as NPPA slashes prices """,10
""" 'New day' in lung cancer as Merck drug shines, works with chemo - Reuters """,10
""" Novel Concepts in the Biology and Treatment of Metastatic Cancer: """,10
"When I run for breast cancer awareness #JakartaGoesPink today, October 9, I also use…",10
I run for breast cancer awareness today! This medal is for my… (at Altira Business Park Sunter - Jakarta) [pic] —,10
Run for breast cancer awareness on Jakarta Goes PINK (at Danau Sunter) [pic] —,10
"Jakarta Goes Pink Run 10K -091016 ""Run for Breast Cancer Awareness""… …",10
A breast cancer awareness event #JakartaGoesPink #jakartagoespink2016 #nikeplus @ Altira…,10
A breast cancer awareness event #JakartaGoesPink #jakartagoespink2016 #nikeplus @ Altira…,10
A Breast Cancer Awareness Event (with Siendy at Altira Business Park Sunter - Jakarta) [pic] —,10
We run for breast cancer awareness #JakartaGoesPink #jakartagoespink2016 @ Altira Business Park,10
We run for breast cancer awareness… (w/ Oktavian Anggraeni at Altira Business Park Sunter - Jakarta) [pic] —,10
"We Run for Breast Cancer Awareness… (w/ Wendy, Ira, & 4 others at Altira Business Park Sunter - Jakarta) [pic] —",10
"With bapak Bamunas Setiawan Boediman I care,I support Breast cancer… …",10
"We are here for our mom, who lost her battle to breast cancer, she's a fighter! #shokubutsu…",10
Morning ♫ Cancer by twenty one pilots (at The limo residence) —,10
"thank you team; w poseidon, capricorn and cancer earlier! :) thank you yuui for taking this…",10
very painful .tuition centres are cancer in our societies,10
"#UnlimitedPassion video of my photo session with #cancer kids at Tata Memorial hospital, Parel…",10
Cheers to more collaborations for the benefit of the cancer… …,10
Cancer // @ AEON Bandaraya Melaka Shopping Centre …,10
Cancer // @ AEON Bandaraya Melaka Shopping Centre …,10
""" #Cancer men & women don’t like surprises, except surprise sex."" Koi toh surprise kare...",10
#TeddyBearNurseries #AbuDhabi went all Pink this week in support of breast cancer awareness day…,10
"Breast cancer event . Free health medical check up (@ The School in Petaling Jaya, Selangor)",10
The tallest building on earth supports the Breast cancer awareness… …,10
"Watch ""twenty one pilots: Cancer (Cover) [LYRIC VIDEO]"" on YouTube … (at Ceracapan Cang Amshar) —",10
Just posted a photo @ Singapore Cancer Society Rehabilitation Centre …,10
A little #burjkhalifa #cancer #awareness #mydubai #dubai #dxb #dubaimall #soukalbahar #lights,10
"The secret is out! In conjunction with Breast Cancer Awareness Month, some of our favorite…",10
Pretty In Pink. Breast Cancer Awareness Month. @ SANTA FE Relocation Services Gunung Putri Bogor,10
"Help in the fight against Breast Cancer Buy our Brest Cancer Awareness t-shirts, or raffle…",10
we support Breast Cancer Awareness Month #positivity #support…,10
"God only save those stupid and their stupidly,precisely that is never curable cancer...isn't it. ..",10
"This ones for the breast cancer awareness, and so happy to have been a part of it 'Show you…",10
Burj Khalifa lit up in pink in support of breast cancer awareness month... I absolutely love it!…,10
Breast Cancer Awareness Month #BeCure @ Al Warood Medical Center …,10
Today at the Breast Cancer Awareness event at wacoalindia (Malad). In honor of Breast Cancer…,10
Cancer by twenty one pilots (at Kampung Ambon) —,10
CANCER SEASON AKA DON'T LET A CANCER TALK TO YOU AT ALL UNLESS YOU WANT TO CLEAR YOUR SCHEDULE…,6
Indian + White trash = Indian Trash #jakepaul #team10 #itseverydaybro #cancer @ Sunway Pyramid,6
Our gathering with the pretty stewardess! And happy birthday to cancer babies! #bizcchappy…,6
"I'm at National Cancer Institute in Ratchathewi, Bangkok",6
Watching Transformers: The Last Knight (with ina at —,6
ccfsingapore discussing the stages that kids with cancer undergoes… …,6
"THVN — Chinese company, IBM partner for better cancer treatment - Baheal Pharm, a Chinese company that focuses on…",6
Endeavor Careers Ahmedabad A New Approach to Safely Sharing Cancer… Best CAT CLAT GMAT Coaching in Ahmedbabadpic.twitter.com/dDwRGRhIeI,6
"cigarette causes lung cancer @ Felda Tenggaroh 2, Mersing",6
#fathersday a father carrying his cancer patient son on his shoulder after a visit to city's…,6
Need to prevent prostate cancer …,6
#FathersDay a #father carrying his cancer patient son on his shoulder after a visit to city's…,6
"Back in April 2015, my Papa was diagnosed with Prostate Cancer stage 4 and it shooked my world.…",6
Leaf of God / Daun Dewa Lung cancer #herbmedicine. #tanamanobat.… …,6
"Rehearsal for rachael_he ""The Fight Against Cancer"" this coming sat… …",6
Artistics & fascinated by colors & photographs. #cancerhoroscope #bulankelahiranjun #cancer…,6
