tweet_text,month_of_tweet
Recap | INDIA — Computer can now detect cervical cancer in its early stages pic.twitter.com/YW2EV4laTt,12
"Recap | INDIA — Computer can now detect cervical cancer in its early stages - Cervical cancer has outdone even breast cancer as the leading cause of death among women. In India alone, the cancer claims 33,000 lives every year. ... A computer-based… pic.twitter.com/KRgewSnINt",12
Recap | INDIA — Computer can now detect cervical cancer in its early stages pic.twitter.com/No9Udy4KCD,12
gonna have cancer soon (@ SingTel Shop in Singapore),12
Stigmabase | IN — Computer can now detect cervical cancer in its early stages,12
Stigmabase | IN — Computer can now detect cervical cancer in its early stages,12
"Near N.I.T Calicut, MVR Cancer centre Vellalashery, IIMA Calicut, Dayapuram &amp; KMCT institutions #2BHK #Flat",12
"Stigmabase | IN — Computer can now detect cervical cancer in its early stages - Cervical cancer has outdone even breast cancer as the leading cause of death among women. In India alone, the cancer claims 33,000 lives every year. ... A computer-based…",12
Stigmabase | IN — Computer can now detect cervical cancer in its early stages,12
Just posted a video @ Shaukat Khanum Memorial Cancer Hospital and… …,12
Me-Sometimes I feel like symptoms of having breast cancer Friend-Tu pagal hai check krwa l Kiska wait Kr rhi hai? Me-New year ka #Avoid,12
"TOO MUCH OF JEALOUSLY CREATES CANCER TO GROW IN OUR TINY TINY CELLS,JEALOUSLY CREATES DANGEROUS…",12
"#Commercial Plot Beside Cancer Hospital,AIMS,IIM Jamtha #IndustrialPlot #Land #ForSale #WardhaRoad #Nagpur #Property",12
Plot in #Jamtha beside cancer hospital new #Nagpur #ResidentialPlot #Land #ForSale #Residential #Property,12
1300 sqft plot beside cancer Hospital jamtha #ResidentialPlot #Land #ForSale #WardhaRoad #Nagpur #Resi #Property,12
"Sagar Parmar ( in specs) succumbed to cancer this year, after bravely battling cancer. He is…",12
"Slow aging, Improve digestion, Get rid of acne, Prevent cancer and Treat a hangover. These are…",12
"cannabis oil TREATS cancer. Wish ppl wud boycott big pharma dat rips off patients,doesn't cure thm.",12
Cancer has been one of the top 3 cause of death by critical… …,12
"Finally after two years, nakabalik na ako kay Dr. Francis Lopez - my cancer doctor, the BEST.…",12
""" MSD’s Keytruda steps closer to EU nod for lung cancer - PharmaTimes """,6
Cancer is like a roller-coaster? But roller-coasters usually don't kill you (@ The Academia) pic.twitter.com/qBsXlSSfVI,6
Cancer is just side effect of dying.,6
GOOD MORNING @ Chong Hua Hospital Mandaue and Cancer Center …,6
"I'm at Udon Thani Cancer Hospital in Mueang Udon Thani, Udon Thani",6
""" #New drug trial to target aggressive breast cancer - BreakingNews.ie …""",6
happy pill ↟Breast cancer is a common scare in my family. My mom and grandmother lost their…,6
Please! 2nd hand smoke's worst! Cancer survivors want anti-smoking laws strictly implemented |,6
""" . Novartis, Colombia face off over cancer drug cost … via",6
""" 9 things you may not know about cancer: Interesting facts about the world’s biggest health challenge. """,6
""" Cancer drug company suspended from pharma industry trade group - """,6
""" Targeted Photoimmunotherapy for Cancer Moves Forward | """,6
""" Cancer drug company suspended from pharma industry trade group - """,6
""" Cancer drug company suspended from pharma industry trade group - """,6
"#Cancer #JulyIsComing #ZodiacSign @ Soldier's Village, Pasig City …",6
#np Tres Empre // Cureless Cancer,6
With cancer survivors who are volunteering at the Singtel-SCS Race… …,6
opening day 2 of SE Asia Breast Cancer Symposium #seabcs2016pic.twitter.com/DQwZjc5kYV,6
Herb are not returnable for cancer. Bismillah (at CA Care) —,6
""" Tizona Therapeutics Develop Next Generation Cancer Immunotherapies - Minds of Malady | """,6
Cancer has been observed contagious in shell fish _TOI,6
""" U.S. regulator says too many drugmakers chasing same cancer strategy …""",6
""" Pioneering cancer drug combination approved """,6
#Repost with repostapp ・・・ Cancer #zodiak #henna #art #payakumbuhkekinian…,6
1 of best Urologist!1 yr 2DAY dad’s Kidney cancer surgery!Fact he had 0 Sugar/ Normal BP marvelous recovery! pic.twitter.com/Q97dngS4Qv,6
"#StoryOfChange Selfie with cancer children during my photo learning session at TMH, #Mumbai…",6
#AboutLastNight with the JUNE/ Cancer babies & HAPPY HAPPY…,6
"#MoveMumbai a father carrying his cancer affected son on his shoulder back home, after a check…",6
Our baby turned One! #shivsahni #23 #junebaby #cancer #zodiac #waterbaby #proudparents…,6
"#DubaiSelfie Selfie with cancer children during my photo learning session at TMH, #Mumbai…",6
""" Reliance Lifesciences launches world's first biosimilar used to treat advanced cancers …""",6
"here am i again , rushing to hospital because my balls hurts. Fuck cancer. (@ Tropicana Medical Centre)",6
""" Blood-Based Screening for Colon Cancer | """,6
"Your Moon in Cancer is making this harder than it should be, you know.",6
"Selfie with cancer children during my photo learning session at TMH, #Mumbai #cancer…",6
Get well soon baby Ethan! :) @ Chong Hua Hospital Mandaue and Cancer Center,6
""" Men who masturbate more have a lower chance of getting prostate cancer.""",6
""" Govt stress on preventing diabetes, fighting cancer - Times of India """,6
""" #Royal Vale student cuts hair for cancer patients, raises $900 - CBC.ca …""",6
""" Like junk food? Acid reflux cancer on rise …""",6
""" Nordic drugmakers raise $29M to expand cancer clinical trial programs: """,6
""" Did you know vaccines can help prevent some types of #cancer? pic.twitter.com/7N7oEQ83M5""",6
""" At #Amgen, we explore #immunotherapy to help patients take on some of the toughest cancers.""",6
""" Study backs shorter, higher-dose radiotherapy for prostate cancer - PharmaTimes """,6
"Selfie with cancer children during my photo learning session at TMH, #Mumbai #cancer…",6
""" Scientists discover on/off switch for obesity-associated cancer. ecancer - News """,6
Keep calm & today my birthday #22june #birthdaymonth #cancer Happy… …,6
TAG a Cancer Sign! This is pretty spot on. Shout out to all my Cancers out there! When we are…,6
#SwasthBharat #Phototherapy My photo workshop for cancer children today at paediatric ward of…,6
"Selfie with cancer children during my photo learning session at TMH, #Mumbai #cancer…",6
"I'm at National Cancer Institute in Ratchathewi, Bangkok",6
LIVE: #MMShakeDrill at VMMC (NQuad) | patients taken out of the cancer ward bldg. #mmda #Pagyanigpic.twitter.com/P9Oo8qX5vb,6
""" FDA Warns Questionable Cancer Clinic Again for CGMP Violations | #Regulatory Focus """,6
#nurseonduty #getwellsoonmommy #inlaw @ Chong Hua Hospital Mandaue and Cancer Center,6
Get Well Soon Xian!!! We love you @ Chong Hua Hospital Mandaue and Cancer Center,6
#pathdaily (at National Cancer Centre) [pic] —,6
""" Listen to God with a broken heart. He is not only the doctor who mends it, but… (at National Cancer Centre) —",6
I'm at National Cancer Society of Malaysia in Kuala Lumpur,6
#ThisFathersDayKuchAlphaKaro a father carrying his cancer affected son on his shoulder back…,6
May God heal me body and soul. (at National Cancer Centre) —,6
"LIKE EVERYTHINKS IS END,THE SYSTEM LIKE A CANCER,AND HOPE,PRAY TO GOD FOGIVE US,YOUTH KO BRIGHT FUTURE K HOPE,5",5
"my Papa is on recovery, his #Cancer Operations was successful, thanks for not helping Sir pic.twitter.com/HFtCj6ekge",5
"I'm at Chong Hua Hospital and Cancer Center in Mandaue City, Cebu",5
TIME TO SAVE A LIFE OF A CANCER PATIENT Give and be more blessed. Visit their page for orders…,5
"I'm at Chong Hua Hospital and Cancer Center in Mandaue City, Cebu",5
