tweet_text,month_of_tweet
Pub Cancer.,2
SCS LO hei! #singaporecancersociety @ Singapore Cancer Society… …,2
World Cancer Day (4 Feb) - We can. I can. Everyone - as a… …,2
Happy New Year! @ Singapore Cancer Society …,2
my cancer #WorldCancerDay,2
#cancer #WorldCancerDay thanks for info IRWAN DA2 MULTITALENT,2
#Repost with repostapp ・・・ DENTINNews. DENTIN support world cancer day. Together we…,2
May it burn until a cure is found! #worldcancerday #worldcancerday2016 #cancer #photodaily…,2
Cancer is a worldwide epidemic. Join us & help save lives worldwide: #WorldCancerDaypic.twitter.com/kZcqsfwiAn,2
"February 04, 2016. ""When someone you love is diagnosed with cancer, you have the power to…",2
"DENTINNews. DENTIN support world cancer day. Together we stand, so never give up .",2
"The World Cancer Day. Selesai event and semuanya , alhamdulillah.. Waiting for the upcoming…",2
World Cancer Day 2016. With Iam Hope movie (at Teater Jakarta (Teater Besar)) [pic] —,2
World Cancer Day. Hari ini. Continue keeps our doa to them. Fight for your life! Salute.,2
Ngambil racepack 5k run for cancer (at —,2
Konser I Am Hope - World Cancer Day 2016 (at Teater Jakarta (Teater Besar)) —,2
World cancer day (at RSUP Persahabatan) [pic] —,2
"World Cancer Day Tonight At Theater Taman Marzuki Ismail,,, (with Tatjana at Apartemen Taman Rasuna) [pic] —",2
We paint the town pink cause is cancer awareness day @ HELP… …,2
"Dukung world cancer day ""We can ,i can, fight against cancer "" . Fakta : kanker membunuh lebih…",2
When things are a blur... Remember your whys. Meeting Jirah May at the Cancer Institute…,2
WORLD CANCER DAY (at —,2
World cancer day 2016 (at RSU Pekanbaru Medical Center (PMC)) [pic] —,2
#HariKankerSedunia #WorldCancerDay give encouragement to them. And support for them to fight the cancer!,2
4 Feb'world cancer…,2
World Cancer Day @ Murni Teguh Memorial Hospital …,2
World cancer day #wecanican ♫ Save You by Simple Plan (at etas home sweet hole!!) —,2
"Cancer knows no age, no race, no face. It could be you, your… …",2
World Cancer Day 4 Februari 2016... #WECANICAN #WORLDCANCERDAY #HARIKANKERSEDUNIA #WCINDONESIA #KITABISASAYABISApic.twitter.com/UzVCe8dsyT,2
Wish all the best for patient cancer pic.twitter.com/5yoqLuOcvG,2
WORLD CANCER DAY 2 4 FEBRUARY 2016 __________________________________________ #TVVELVE12…,2
World Cancer Day! We Can I Can. Fight Againts Cancer! (at Departemen Neurologi RSCM) [pic] —,2
"""We Can I Can"" - World Cancer Day 2016 by MAKNA (@ G Tower Hotel Kuala Lumpur) pic.twitter.com/t6LdYMkLvq",2
"Whether cancer affects us all. Whether you are black or white, red,… …",2
"Here's to our beloved who has passed because of cancer, and to our loved ones who has… (at DKI Jakarta) [pic] —",2
"Honouring of all cancer survivors, fighters, and those who have lost their life to this…",2
"World cancer day ., #worldcancerday #worldcancerday2016 #wecanican #harikankersedunia #cancer…",2
"World Cancer Day 2016 We Can, I Can (at [pic] —",2
Keep calm and fight cancer #worldcancerday #wecanican #wcdindonesia #harikankersedunia,2
"World Cancer day Feb 4th 2016, Fight againts Cancer!!! We can, I can, work Together!… (at [pic] —",2
It Ain't Me by Kygo & Selena Gomez (at —,5
#Repost (get_repost) ・・・ Alcohol linked to cancer return Drinking as little as…,5
"I'm at Chong Hua Hospital and Cancer Center in Mandaue City, Cebu",5
TIME TO SAVE A LIFE OF A CANCER PATIENT Give and be more blessed. Visit their page for orders…,5
"I'm at Chong Hua Hospital and Cancer Center in Mandaue City, Cebu",5
#ROMPISepisode80 Baperrrrr coyyyy,5
What cancer cannot do ; It cannot cripple love. It cannot shatter… …,5
At National Cancer Centre —,5
I'm at St. Frances Cabrini Medical Center and Cancer Institute in Batangas,5
"Same watch but different colors. Life Saver watches, we're able to help cancer patients by…",5
"Cancer is never our fault, it's just the path that life has handed us, and we get to choose what…",5
At Mount Miriam Cancer Hospital —,5
oke trims,5
We did it!! thank you for your support and contribution to fight cancer.. and to help Children…,5
"Prioritas Libra, Cancer, Pisces: Relationship.",5
Please give me a chance to be a doctors cancer. Insya Allah #like #like4like #TFLers #liker…,5
Giving up. #nottthistime Come support #tapasformama Moi's fight as he scares away #cancer at…,5
"I'm at National Cancer Institute in Ratchathewi, Bangkok",5
The human race will be the cancer of the planet JOLLIBEEdaSaPuso MARVOREE,5
YOAM Childhood Cancer Survivor -- @ Narsis Digital Printing,5
ATM. Cancer screening. #pcpannualconvention @ SMX Convention Center,5
Smoking can cause at least 11 types of cancer! #pcp2017,5
Feeling really emotional when my good friend's brother is diagnosed with end stage liver cancer.…,5
#cancer is now trending in Malaysia pic.twitter.com/Zpl69Fm5oK,5
Cancer by My Chemical Romance (at Jl. TNI III) —,5
I'm at Cancer Centre Hospital in Udonthani,5
I miss my Cancer Come back please!,5
#projekKasih tonight LIVE! #cancer #donate #cancersucks @ Singapore,5
Team breast cancer screening with bali pink foundation.. . . . #screening #breast #cancer…,5
"Today we run for cancer.. this is for the survivors, for the fighters and for all the hero. This…",5
At Jakarta International School —,5
Cancer by twenty one pilots (with Amon and Bos at The Roos Street Centre) —,5
"Join us Friday, May 5, 2017 and let's fight cancer together! #2017MMAC #RelayForLife #Saipan…",5
"ฮาโหล~ (@ National Cancer Institute in Ratchathewi, Bangkok)",5
"“ #Cancer is ruled by the Moon representing Receptivity, Emotion, Instinct.” - kaya pla ang arte artii ko",4
"wefie with Aty Cancer Zein at Event Umar Ismail 2017,Balai Kartini 29 April 2017 #RudyJpank…",4
"Hey it's Hannah. Hannah Cancer #13ReasonsWtf @ Uptown Bonifacio, Taguig City …",4
Our mom's pic at the living room. She succumbed a decade ago to breast cancer. #healslikehome…,4
Boon Siew Cancer Care Talk #omsmc #nilamcollege @ Oriental Nilam… …,4
I personally take #Turmeric #Supplements for these health benefits … Fights #Cancer #Alzheimer #Inflammationpic.twitter.com/18eecT7tb9,4
At National cancer centre —,4
#singaporecancersociety staff #keepfit session! @ Singapore Cancer… …,4
"I'm at Chong Hua Hospital and Cancer Center in Mandaue City, Cebu",4
Cancer by My Chemical Romance (at —,4
"Today, after 2 years of fighting prostate cancer stage4 through different hormonal & alternative…",4
“Time is shortening. But every day that I challenge this cancer and survive is a… (at National Cancer Centre) —,4
Prepare to airport soeta (at Fly Over Tebet) —,4
I salute him for his strong determination to fight cancer #KMJS12 image credits to kmjs @ GMA…,4
I just watched a heartfelt story of a cancer patient and suddenly I remember the day my mom told me about her condition. IMY Mama!,4
"Cancer can't scare us, we love you tita alona! Fight!",4
"she's going on a jog tomorrow to make some money for cancer or something, donate if you can …",4
Enak uga! ♫ Cancer by twenty one pilots (at Las Vegas de Braga) —,4
Zumba experience for a cause . Cancer patients. Our hope is always in God. He reigns over all…,4
Full colour (at Saigon Cafe) [pic] —,4
Breast cancer awareness campaign (@ Cafe Dahlia w/,4
New folks to start with @ At Childhaus Center For Children Afflicted With Cancer..,4
"Oh God lift up the disease and the disease of people who are fighting cancer today, give the…",4
Ralph and I didn't get the memo that it was Breast Cancer Awareness… …,4
My (SURVIVOR) family!!! Love yaaa always youth . . . . #survivor #cancer #together #youth…,4
Health benefits of drinking green beer prevents prostate cancer. @ Skylight Lounge,4
It's the Grade A national hospital for thorough comprehensive cancer care…,4
Cancer Fair 2017 Philippine Society Medical Oncology 15th Midyear… …,4
Mg cancer sa nf ampota,4
Cancer Sore,4
Cause the hardest part of this is leaving you. ♫ Cancer by twenty one pilots (at Biak) —,4
Hi Doc (at Mount Miriam Cancer Hospital) [pic] —,4
I will not kiss you!!!! ♫ Cancer by twenty one pilots (at Kantor Pengelola Mega Mall) —,4
Now I'll have to see the doctor every one year!! @ National Cancer Centre Singapore,4
"3 shots done! Sa wakas guythsss, join the fight against cervical cancer! push nyo nadin…",4
★ Harry Potter and the Prisoner of Azkaban (at Apartemen Casablanca) —,4
MWTH - Leukaemia the most common kids' cancer - More children than ever are surviving leukaemia in Australia and…,4
Battle of the Cancer! Thank you so much to all my family and friends for the prayers and…,4
VIP SEAT BOSS ★ The Fate of the Furious (at —,4
Support for her strength and courage to fight #cancer . Love you indonesian…,4
Cause the hardest part of this is leaving… ♫ Cancer by My Chemical Romance (at Pesantren Padang Lampe UMI) —,4
#Cancer gets irritated if you say anything rude to them. adendenggg Wkwkwk. Duh heart glasses ih.,4
mencegah lebih baik-Natural Raw Meal Wholefood (Suitable for Cancer Patient & ADHD). @ Mid…,4
#Stigmabase | TH - Leukaemia the most common kids' cancer - More children than ever are surviving leukaemia in…,4
that's why I have trust issue #Cancer never lie to someone who trust them and never trust someone who lies to them.,4
CANCER SEASON AKA DON'T LET A CANCER TALK TO YOU AT ALL UNLESS YOU WANT TO CLEAR YOUR SCHEDULE…,6
Indian + White trash = Indian Trash #jakepaul #team10 #itseverydaybro #cancer @ Sunway Pyramid,6
Our gathering with the pretty stewardess! And happy birthday to cancer babies! #bizcchappy…,6
"I'm at National Cancer Institute in Ratchathewi, Bangkok",6
And Cancer season officially starts today! #ProudCancerian #TeamCancer,6
Watching Transformers: The Last Knight (with ina at —,6
ccfsingapore discussing the stages that kids with cancer undergoes… …,6
"THVN — Chinese company, IBM partner for better cancer treatment - Baheal Pharm, a Chinese company that focuses on…",6
I am especially proud of this event! The new Cancer Care Center of ManilaMed is built around a…,6
"I'm at Chong Hua Hospital and Cancer Center in Mandaue City, Cebu",6
Blood cancer 20th anniversary @ Hong Kong …,6
Blood cancer 20th anniversary @ Hong Kong …,6
Locked-in our wishes and hopes for all cancer patients!!! Supporting the fighters! Admiring the…,6
Locked-in our wishes and hopes for all cancer patients!!! Supporting the fighters! Admiring the…,6
"I'm at Chong Hua Hospital and Cancer Center in Mandaue City, Cebu",6
ManilaMed is serious about providing the best care for cancer patients thru their state of the…,6
"cigarette causes lung cancer @ Felda Tenggaroh 2, Mersing",6
"One last time before I go. Still can't believe you're gone. You battled cancer for 6 long years,…",6
Need to prevent prostate cancer …,6
"Back in April 2015, my Papa was diagnosed with Prostate Cancer stage 4 and it shooked my world.…",6
Leaf of God / Daun Dewa Lung cancer #herbmedicine. #tanamanobat.… …,6
"Rehearsal for rachael_he ""The Fight Against Cancer"" this coming sat… …",6
Artistics & fascinated by colors & photographs. #cancerhoroscope #bulankelahiranjun #cancer…,6
"thank you UCSI, especially bhinnekaucsi for having me speak at your cancer…",6
"ปวดหัวแสรด (@ National Cancer Institute in Ratchathewi, Bangkok)",6
Just posted a photo @ Chong Hua Hospital Mandaue and Cancer Center,6
I'm at University of Santo Tomas Benavides Cancer Institute in Manila,6
THVN — China probes academic fraud by cancer researchers - China is investigating claims of academic fraud…,6
"After masurvive ang tatlong shots ng cervical cancer vaccine, laps… …",6
"I'm at Chong Hua Hospital and Cancer Center in Mandaue City, Cebu",6
"barbasandzacari ,An Aus based company that donates $5 for every watch sale to Cancer…",6
THVN — China probes academic fraud by cancer researchers - China is investigating claims of academic fraud…,6
Day 2 : Appointment w/2 oral surgeons & 8 cancer specialists. (@ Hospital Kuala Lumpur (HKL)),6
THVN — China probes academic fraud by cancer researchers - China is investigating claims of academic fraud…,6
My love goes to all the cancer patients HELLO SHO HAIR #shorthair #hairforhope…,6
Daddy's appointment (@ National cancer centre in Bsb),6
"Uniting and Empowering Indonesian Women against Cervical Cancer. Repost and tag, or forward to…",6
"Cancer fall in love with those who are comfortable - who fit right, are fun to be around, loyal…",6
"Product pres. (@ Chong Hua Hospital and Cancer Center in Mandaue City, Cebu)",6
Just posted a photo @ Chong Hua Hospital Mandaue and Cancer Center,6
Hong kong Blood Cancer Group #volunteer #charity #cancer @ Hong Kong …,6
1997-2017 hong kong adult blood cancer #mc #心血會 #charity #volunteer… …,6
#mc #Hongkongadultbloodcancer #20anniversary #血癌病人互助 #cancer @ Hong… …,6
Cancers observe and do research the best! - July Squad #dovlog #cancerquote #psychology @ Jus…,6
Early Detection Saves Lives . . . . . . . . . . #cancerbreast #cancer #health #womens…,6
"feeling so much pain when the doctor said ""...your Tito has a lung cancer! and his time being with you is limited!",6
will be sorely missed. (swipe left for cancer) @ Masjid Negeri,6
Gws for me !!! (at Eka Hospital) —,6
"Cancers are selfish eaters & hate sharing food, so if they share their food, they must really…",6
"Meet Nurlela. A young girl who has cancer on her head. Since 2012 she fight, and struggle, and…",6
Cancer by twenty one pilots (with Riza at Wonderful Traffic At Jakarta Inner Ring Road) —,6
At Health Screening Center EKA Hospital BSD City —,6
"Cancer Traits: Can be unrealistic, evasive, passive, anxious, dependent, stubborn, moody, lazy &…",6
Never thought that Scorpio and Cancer would be this… …,6
Pink Fun Run Nation: Run for Cure Beat Breast Cancer Telus Family… …,6
Cancers may be on the sensitive side but that doesn't mean they are weak people.…,6
"Cancer, I miss you.. Or perhaps I'd just miss someone like you..",6
cos i like the art @ Chong Hua Hospital Mandaue and Cancer Center …,6
"Wonderful time hearing about Daphne's story, her spunkiness and #faith in the face of #cancer,…",6
"#Cancer's, once settled into a relationship, if they don't feel loved they will secretly find…",6
"Cancers won't lie to you, but they may avoid telling the truth. #cancerhoroscope #june2017…",6
Early greeting. #cancer @ Singapore,5
Early greeting. #cancer @ Singapore,5
Early greeting. #cancer @ Singapore,5
Thanks to Medisinar Clinic for the FREE SHOT of Cervical Cancer Vaccine. Menggigil jgk kena…,5
Cellceutix Anti-Cancer Drug Candidates p53 Activity in Acute Myeloid Leukemia ... …,5
I think I might've just introduced a new type of cancer to #china… …,5
"Give every child with cancer a fighting chance.. it's about resilence, strength, hope, courage…",5
We Help Kids Fight Cancer #Kurt1011 #TheBaldRun #GoBald… …,5
#Cancer's can easily fall into a quiet mood. . . . #Ootd #outfitoftheday #lookoftheday #fashion…,5
#singaporecancersociety women gynecological cancer GP symposium ...… …,5
Relay for Life last night for my sister Anna who is currently battling breast cancer. @ GWHS…,5
Just attended family conference of a 38 year old female with stage 4 colonic cancer on dialysis…,5
"see you tonight at #Archipelago7107, El Pueblo, Ortigas Lets all stand up to cancer…",5
SCS Team Stewardship! #singaporecancersociety @ Singapore Cancer… …,5
