tweet_text,month_of_tweet
"A Snap of Mr. Durian, 5 years old dog, living with Lymphoma Disease. Today is his 4th treatment…",11
"My father has returned to home from I. C.u. reported pneumonia, nephrological problem, lymphoma.",6
Saw some cheerleaders doing the acrobatic routine at sentosa for the Leukemia and Lymphoma…,6
I've been diagnosed with cancer on December last year. Cancer Lymphoma. Luluh jantung bila dapat…,6
no one hv his pwd ke? I cannot lah. My other frnd yg died 5yrs ago bcs of lymphoma still ada lg fb dia. Still miss him.,6
"the day after reading the book, all my lymph node cases we're hodgkin lymphoma. day 270 of 366…",9
"A run for a cause for Fevi Escal, stage 4 Lymphoma Cancer Warrior. #vscocam #vscoedit #cause",9
"A run for a cause for Fevi Escal, stage 4 Lymphoma Cancer Warrior. Stolen shot. ~ #vscocam…",9
"Such an awesome start of the day! A run for a cause for Fevi Escal, stage 4 Lymphoma Cancer…",9
"Result review my mom, #hindundarus by Dr.Lee From #marginal #bzone #lymphoma #transform…",8
"About 2 yrs ago, i was diagnosed with hodgkins lymphoma and went on… …",2
"Incision biopsy of neck mass, possibly Lymphoma (@ Bohol St. Jude Hospital in Tagbilaran City)",12
"""Lymphoma Cancer"" is trending today on Google Malaysia (20000+ searches) …",11
Vanessa Dayton from #univminnesota presents #lymphoma lectures to residents and staff.…,11
This is Syahirah Nisrina binti Arman. She has Burkitt's Lymphoma S IV which is cancer of the…,2
