tweet_text,month_of_tweet
Cancer is not a death sentence. Fight on. @ VivoCity,9
Just found out that an ex colleague's wife passed away today due to cancer. :( They only got married last year...,9
“Bitterness is like cancer. It eats upon the host. But anger is like fire. It burns it all…,8
Fight until it's finished. Powerful message dari atlet triathlon yang kena cancer… (at [vid] —,8
Doing our part to raise money for the Singapore Cancer Society :) drop by the AXA booth at Nex…,8
Thank you so much to Breast Cancer Foundation #Singapore for sponsoring our…,8
Cancer is like a roller-coaster? But roller-coasters usually don't kill you (@ The Academia) pic.twitter.com/qBsXlSSfVI,6
With cancer survivors who are volunteering at the Singtel-SCS Race… …,6
#pathdaily (at National Cancer Centre) [pic] —,6
""" Listen to God with a broken heart. He is not only the doctor who mends it, but… (at National Cancer Centre) —",6
May God heal me body and soul. (at National Cancer Centre) —,6
The Singtel-Singapore Cancer Society Race Against Cancer (RAC) is… …,6
regram #KICKPICSkickinCANCER #2016ATAWorldChampionships #CANCER - #ATA…,6
I think i got cancer,6
ccfsingapore discussing the stages that kids with cancer undergoes… …,6
Need to prevent prostate cancer …,6
"Rehearsal for rachael_he ""The Fight Against Cancer"" this coming sat… …",6
"Cancer fall in love with those who are comfortable - who fit right, are fun to be around, loyal…",6
"Cancers are selfish eaters & hate sharing food, so if they share their food, they must really…",6
"Cancer Traits: Can be unrealistic, evasive, passive, anxious, dependent, stubborn, moody, lazy &…",6
"Wonderful time hearing about Daphne's story, her spunkiness and #faith in the face of #cancer,…",6
"Cancers won't lie to you, but they may avoid telling the truth. #cancerhoroscope #june2017…",6
Early greeting. #cancer @ Singapore,5
Early greeting. #cancer @ Singapore,5
Early greeting. #cancer @ Singapore,5
#singaporecancersociety women gynecological cancer GP symposium ...… …,5
SCS Team Stewardship! #singaporecancersociety @ Singapore Cancer… …,5
":: LIVE UPDATES :: All set! Ready to go... World Cancer Survivors' Day Location: The Vibe,…",5
Awesome Possum Mothers Day Event in support of Cervical Cancer awareness and in aide for Juliana…,5
Work on a Saturday. Sigh. (@ National Cancer Centre in Singapore),3
