tweet_text,month_of_tweet
Palestine tomorrow will be free Palestine will be liberated from Angus and cancer of the world (the sons of Zion) pic.twitter.com/NgbkkRoe5e,4
MP Dr P Whitford went 2 Palestine 2 perform breast cancer surgery instead of holidaying or paperwork during the Westminster recess#.SNPBAD,4
". IS A CANCER ON THE EAH. THEY'RE A SPECIES OF VILE EURO-TRASH MISCREANTS, WHO HAVE BRUTALLY STOLEN THE LAND OF PALESTINE",4
I know the truth hurts. but soon Palestine and the entire ME region will be free of the zionist cancer.,4
"#Palestine and the world: the struggle against Zionism is a priority, it is the cancer of humanity!",4
"It's PALESTINE. The ILLEGAL TERRORIST state of Israel a CANCER to Humanity! elikowaz, if you don't agree UNFOLLOW me",4
"Zionists Cancer spreading in #Palestine,it should be stopped,But Zio had power of buying effective decision makers",3
i hope the #un and #eu get #cancer for the support of #palestine which must be destroyed,3
"PR English w/ Contribution frm Gov of Japan USD1,130,000 Combats Breast Cancer Palestine. Read",3
SETTLEMENTS In Occupied #Jerusalem capital of #Palestine Territories are cancer cells like a blood stains in white out fit Need Bleached out pic.twitter.com/VGPXcgz7Dl,1
Righteous Jews rally against the cancer of Zionism. #Palestine #BDS,1
Ask women families elders children #GAZA #Palestine w/cancer or other serious how they grovel for any kind of healthcare,1
Pancreatic Cancer Research Fund or Palestine Children's Relief Fund...? Or something I haven't heard of?,1
The Colonisers of Palestine are the biggest Cancer on example Genrikh Yagodo! snake.,1
Please world do something: #IsraeliSettlements are The cancer of #Palestine. #Apartheid is real And we have to fight against it …,1
"No limits of #ZionistTerrorism in #Palestine, even cancer patients are safe. #HelpGaza #SaveGaza #FreePalestine #StopZionistTerrorism …",1
"Palestinians are the citizens of Palestine , Israel is created from the UK, Israel is a cancer",1
Hv got better idea Instead of cutting aid to Palestine Let's cut the cancer …,1
"Zionist ""Israel"" is a cancer, a tumor, in the midst of beauty. The cancer keeps defying what is required of it, leave WB and Palestine.",12
I'm so tired of Palestine people. Leave Israel alone. Palestinians are like cancer cells. Always on the attack.,3
UNRWA raises awareness about breast cancer and the importance of early detection among Palestine refugee women...,3
UNRWA raises awareness about breast cancer and the importance of early detection among Palestine re... via,3
"Our tutoring project for kids fighting cancer is the only one of its kind here in Palestine, thanks to",3
"The Palestine Spring Fair is this weekend in London, in aid of child cancer patients in Gaza …pic.twitter.com/D765lC5aUi",3
"Dear God, cure Palestine of this cancer that is eating them away, ameen",2
what this illegal zioterror entity is doing in Palestine is disgusting and good people of the world will wipe out this evil cancer.,2
Cancer rates in Gaza increased after Israeli wars - Days of Palestine …,2
"it has the power to dispose of anyone pro palestine too. I notice a lot of celebs getting ""cancer"" lately are pro palestine",2
New Palestine HS baseball asking for the power of prayer & support for Coach McBride & his family has he begins his battle with cancer,2
