tweet_text,month_of_tweet
"Chai For Cancer, is now trending in #Mumbai pic.twitter.com/fhlZaEaMTB",5
Why Chai for Cancer ? It was with a heavy heart the team decided to close his case . We hadn't…,5
Why Chai for Cancer ? The little boy who usually would be full of good cheer when he visited…,5
"Why Chai for Cancer ? ""He sits in front of me, a picture of abject misery. His family had set…",5
There is a tree bend on R#14 B.Hills towards Cancer hospital from KBR gate Requesting you to remove this tree ASAP pic.twitter.com/u10wjbs1as,5
"Our little way of spreading awareness about Cancer, Cancer Walk 2012 #SIMSPune #Pranay #CancerAwareness #SilentKiller #StandUpToCancerpic.twitter.com/fT50oIYdOp",4
Steelers pick hometown cancer survivor Conner …pic.twitter.com/NDjM2W0dZi,4
Looking forward to the #Cancer #Rehabilitation #Conference tomorrow with 150+ registered,4
Even after almost 5 months of donating my hair for cancer patients via hair_aid I still get once…,4
"#Veteran #Bollywood #Actor & #Politician #VinodKhanna passes away, after battling cancer from…",4
My darling sister who passed away due to to blood cancer had a last wish. I request you all to…,4
"Battling cancer, Strader finds solace in calling hockey …pic.twitter.com/dfRlgVF3kb",4
Parineeta young cancer patient was struggling to hold the cameras and reach her index finger on…,4
#cancer Is deadly disease,4
"plot beside cancer hospital,aims,iim #ResidentialPlot #Land #ForSale #Jamtha #Nagpur #Residential #Property",4
CORNER PLOT BESIDE CANCER HOSPITAL NEW #Nagpur #ResidentialPlot #Land #ForSale #Mihan #Residential #Property,4
When menu itself can give cancer xd Uni canteen @ International Institute of Information…,4
LIC of #India Launches #LIC Cancer Cover - Plan No. 905 This is a regular premium payment…,11
#ChildrensDay - Greetings to all my students of photography consisting of cancer affected…,11
Happy Children's Day - Greetings to all my students of photography consisting of cancer affected…,11
A student of Grade 4 has been diagnosed with Acute Lymphoblastic Leukaemia (Blood Cancer). The…,11
"CANCER is a declined risk for any type of HEALTH Insurance if Diagnosed of CANCER- NO POLICY is ever offered. In the first time in India, here is exclusive Product for persons DIAGNOSED of (Stage I and II) Cancer with Lifelong regular Medical Insurance on Indemnity basis. pic.twitter.com/nGHIvy8Uis",11
"Blue Dart Center for cancer kids (@ Bombay Port Trust Road in Mumbai, Maharashtra)",11
#Repost from unicef_iraq ... Omar is in Nanakli Hospital where he is being treated for cancer.…,11
One stop solution to #Cancer related queries. #talktous #YourCancerPartner #Alliedservice #AskTheExperts #callustoday 1800 123 7545pic.twitter.com/Z1y0avMXnu,11
Found this in a cancer hospital with all one lines and best wishes for survival #goodwishes…,10
Help Santosh to get his Mother cured of cancer … via,10
2017 The Distinguished Gentleman Ride for the cause of Cancer around the Global Odpstudioz :…,10
#ncinagpur # cancer #nodiscrimination #freedomfromfearofcancer…,10
I'm at King Hussein Cancer Foundation in Amman,10
"Just watched 10 mins of bigg boss 11,Vimal pan masala is still a better way to get cancer",10
#Max20Years May 2014 Chai for Cancer Very proud of my little fundraiser which is chugging…,10
#Max20Years May 2014 Chai for Cancer Chai for Cancer the unique Fundraiser and Awareness…,10
Today I wear pink in conjunction with breast cancer awareness month every October to support…,10
#ammandesignweek #jordan_breast_cancer_program @ Gallery Ras Ain,10
Donated Platelets for a cancer patient at Hiranandani Hospital Mumbai... #blood #donor…,10
"Meet the Staff of this Cancer Hospital in Silchar , Assam . Cannot see a more dedicated and…",1
One extremely satisfying and productive morning session training volunteers in cancer care from…,1
My #RepublicDay Ensemble in India's colours . On my way to a Board Meeting of a Cancer NGO…,1
"Caution:drinking is injurious to health It causes liver cancer @ Dhaka, Bangladesh",1
Just posted a photo @ King Hussein Cancer Center,1
yuvstrong12 paajee has Defeated Cancer. I am sure he Can Defeat Anyone In The World whether they… …,1
"Only £150 sponsorship donation to reach £5,000 for Teenage Cancer Trust …",1
Your SMS can Save a Life! Donate Rs. 20+t by sending SMS to 7770 and help treat poor cancer patients being at Shaukat Khanum Cancer Hospital,1
""" warns #patients not to use PNC-27 #Products for #treatment of #cancer …""",1
finetissues launching #the_land_of_heros campaign to support #Jordan and kids of cancer in…,1
Apply #ComputerVision to improve lung cancer detection … by,1
""" Cannabis oil destroys cancer cells. Vitamin B17 destroys cancer cells. Yet, both are banned by the FDA.""",1
"Blue Dart Centre for cancer kids (@ Bombay Port Trust Road in Mumbai, Maharashtra)",1
A cancer patient wear her mask during a Cancer Awareness event in Mumbai. #destination27…,1
#ILikeSelfieExpert Neva loose hope cancer fighter player …,1
#cancer + #Ayurveda been doing some research since last year. #癌 と #アーユルヴェーダ…,1
If cancer patients r increasing in a area dy by dy n u r opening just cancer hospitals n not thinking y cancer patients r increasing then u,1
happy new year @ King Hussein Cancer Center,12
#SunExposure may prevent certain types of #cancer! #VitaminD… …,12
Athletic's Yeray Undergoes Surgery After Testicular Cancer Diagnosis pic.twitter.com/987Ubi70By,12
Athletic Defender Yeray Diagnosed With Testicular Cancer pic.twitter.com/Jh7IdPYAvd,12
Ho Sulo is the son of the famous Dr. Ho. He's a very talented herbalist. His father cures cancer…,12
7.71% of male are at higher risk of prostate cancer in #Nashik: a report …,2
Today cancer day But today yuvraj's birth day Love u paaji U born agin aftr cancer defeat love u,2
Let's beat cancer's ass! World Cancer Day @ Olio,2
Top 10 causes of cancer #india #cancer #health #doctor #aamracare #cancercleanindia #work…,2
February 4th World Cancer Day #vizag #auraskinclinic #worldcancerdaypic.twitter.com/63PS8pQWcY,2
