tweet_text,month_of_tweet
"I'm at The Kinghorn Cancer Centre in Darlinghurst, NSW",2
Thanks for promoting such a great cause. #radiationtherapy is a fantastic cancer tmt option,2
Today is World Cancer Day! Helping spread the message that #WeCanICan make a difference to the…,2
#WeCanICan empower individuals to access info on #cancer & quality #CancerPrevention & care,2
We asked our CEO Prof Sanchia Aranda what we can do to reduce the burden of cancer. What can you do? #WeCanICanpic.twitter.com/dKfAbf3f7M,2
Today is #WorldCancerDay! Join the global effort to raise #cancer awareness! #WeCanICan,2
Today is #WorldCancerDay! What can you do to help reduce the impact of cancer? #WeCanICan pic.twitter.com/RWqATrD5Tw,2
It's #WorldCancerDay help raise awareness that there's much that can be done to fight #cancer at an individual & collective level #WeCanICan,2
and so good for yr health #antioxidant cancer fighter,2
PANCREATIC CANCER BAREFOOT BOWLS DAY - Sunday 28th Feb at Taren Point Bowling Club $40 - please…,2
4 Feb is #WorldCancerDay! Spread the msg that #WeCanICan do something to fight #cancer pic.twitter.com/x6u1MdFd3q,2
". wants the US to cure #cancer, but can it be done? We speak to the experts, shortly.",1
"Oil companies-pass the hat around and donate to cancer research,1 billion should be easy for you to find?",1
Put 1 billion from the war on terrorism into cancer research and we might find a cure?,1
ryanhodges - cancer survivor and bloody good bloke. Been a pleasure… …,1
Me (Taurus) and nicole_bowman197 (cancer) on set today #hairandmakeup #wardrobestylist…,1
"Cancer affects more people than terrorism,so what's the world doing about that????",1
The Beat Cancer Tour Team have just arrived in Campbelltown. Each one of these riders are…,1
Aspartame-Cancer Link Exposed: Increasing Your Cancer Risk … via,1
#beatcancertour #tdu16 in the beat cancer VIP tent watching stage… …,1
I tried! @ People's Choice Undies Run for Bowel Cancer,1
I did this for my 6year old niece who is still fighting her battle against cancer #child4child…,1
Fuck you cancer pic.twitter.com/JJPBZMdN4x,1
Fuck this weather. This weather and cancer. - Drinking a Zoo Feeder by at —,1
"if you were to talk to me, it would be about ChronicPain, Brain injury, PTSD, depression, Cancer, and other ailments o/t body",1
Two years after finishing my cancer treatment I am struggling with fatigue. Today I had to have…,1
International women's day also supporting breast cancer foundation. @ Hunter Womens Centre,3
#beboldforchange2017 #moon #cancer #venus #aries #retrograde for #moonlovers to boost…,3
"#tuesdaymotivation #Sun and Mercuryjoin in #pisces under the #moon in #cancer ""The…",3
This is my friend Dan. He's going to kick cancer's ass in the biggest way! He also almost got…,3
"It's over to you, help beat blood cancer! Buy a $20 raffle ticket at La Unica Salon 6-19 March…",3
3D Live imaging of prostate cancer cells in culture with a phase holographic system…,3
The #westpactour200 starts tomorrow. We're raising funds for cancer charities & reminding…,3
It took me 50 years and brain cancer to realise this. … via,3
Round the bays tomorrow!!!! Running for an amazing cause The New Zealand Breast Cancer…,3
The have dared to bare their derrière for breast cancer will donate 100%…,3
Kidney Cancer Awareness Month. You have to make the most of every second of the day because…,3
Tis extremely concerning 4 everyone including police. These sick disturbed mindsets are the hideous cancers in our world today.,3
thank you cancer does not discriminate nor should research. @ Government…,2
Arnotts Foundation Ball for Camp Quality - Kids with Cancer. My… …,2
"28 days to go to the 2017 Riding 1,300km from Mt Hotham to Hobart for cancer…",2
So good to see my girl Jia last night doing great things for ovarian cancer! It's actually a…,2
"No-one says someone lost their battle with a heart attack or .... why is cancer any different?"" So that's a meme now!",2
"Kristofer Rogers, Cancer Council, Nigel Harris, Mater Foundation &",2
Darlinghurst Dental will be at #oxtravaganza this Saturday conducting free oral cancer…,2
Great day #fairday2017 for - great to be able to offer free oral cancer…,2
Thanks to Boroko Rotary for hosting B4H: TB this evening. Great to hear about your great work in preventing Cervical Cancer in PNG.,2
"Cancer didn't bring me to my knees, it brought me to my feet - Michael Douglas P.S: Morehu =…",2
I dared to bare my derriere for breast cancer! #modibodi #bareyourderriere,2
