tweet_text,month_of_tweet
and so good for yr health #antioxidant cancer fighter,2
Only one thing I have to be is strong. Just like how my mommy's strong with her cancer.,1
"Oil companies-pass the hat around and donate to cancer research,1 billion should be easy for you to find?",1
Put 1 billion from the war on terrorism into cancer research and we might find a cure?,1
"Cancer affects more people than terrorism,so what's the world doing about that????",1
"if you were to talk to me, it would be about ChronicPain, Brain injury, PTSD, depression, Cancer, and other ailments o/t body",1
Paddles Against Cancer @ Matapang Beach Park …,3
"Our favorite annual event- the EMC Cancer Foundation's Wine Tasting,… …",3
Raising funds for cancer research #wearesmiddy #wymt #outsideisfree #cycling,2
"This cancer treatment story is really good journalism #abc730 And it shows, scarily, how much doctors forgive one another",2
The Federal Government has finally admitted that Cannabis can help kill cancer cells …,2
S01E2 #fullhouse and Stephanie Tanner is already cancer to my ears #HighFullHouse,2
2016 indigenous cancer walk,2
We're going booze-free in July to help support people affected by cancer. Funds raised by our…,6
SHE SURVIVED STAGE 3 MOM I'M GOING OUT STAGE 3 OVARIAN CANCER AND CHASED HER DREAMS AT JUST 16 YEARS OLD I—YES IT WAS A FUCKING SHARK HTTPS,6
Hanging with this hottie at #IconCancerFdn cocktail fundraiser in #Brisbane #cancer…,6
NO THEY. I HATE THIS FEELING. MICHAEL GOVE 'I DO NOT BUY FROM THESE SCALPERS MANIGAS SILA THE MORE COMPL MORE FOR CANCER. HISTORY OF THE BE…,6
With these gorgeous women at the #ManUo gala dinner raising cash for prostate cancer research…,6
TEAM PACSTAR at the 2016 United Plane Pull supporting the American Cancer Society and Guam…,6
Supporting Sunshine Coast women battling cancer... pic.twitter.com/5gKLILpwAY,5
"Team KDPR helping launch Icon Integrated Cancer Centre, an… …",5
"So many new friend requests, so much cleavage... Scam? Or pleased I support breast cancer…",9
LOVE MY FRIENDS HAHA—CITY OF—RIDE—THIS IS AWESOME IN HIS PRIME—ON THE INTERNET RIGHT NOW AND GET YOUR DELICIOUS FOOD RIGHT NOW HERE—#CANCER,9
"needs your help guys, his been diagnosed with grade 4 brain cancer. #BrainCancer #Support",9
Clint's Battle Vs Brain Cancer #braincancer #support #donations,9
Proud to be involved in the annual Prostate Cancer Care lunch. Great people…,8
THE PERSON THAT YOU'VE JOINED TOO SPREADING GREAT AWARENESS FOR CANCER RESEARCH THANK YOU FOR MAKING MY DAY GOOD—I MISS Y'ALL—I'M OVER SCHO…,8
Woohoo! Conquer Cancer Baby!!! #giveoneday #conqurecancer #freephoto @ The University of Queensland,8
So I'm about to ride 100km to raise money for Royal Brisbane Hospital Cancer research.. thanks…,8
'It's A Bloke Thing Prostate Cancer Luncheon' raising vital funds and awareness in the fight…,8
Having the best time raising awareness for prostate cancer at Its A Bloke Thing prostate cancer…,8
"Over $10,000 raised in out Pink Up Day for Breast Cancer… …",5
"Royal Pines Golf Breast Cancer Pink Up Day, fantastic fun raising… …",5
Ready to kick off the Australasian Skin Cancer Congress at Surfers Marriott Resort. CEO Lynette…,5
Super physical Sunday ride on Cancer Tree. Click the link in bio for a few mins of GoPro #hectic…,5
"I'm here supporting cancer, but also the (I don't know these women) @ Mirra…",5
Some of our amazing #YouCan volunteers raising funds for young #Australians with cancer. We …,5
I'm doing well thanks :-). My dad's cancer is taking its toll though. Good luck with editing :-),5
Youth Cancer Nurse Consultant Anita Cox will travel to the 1st Global Youth Cancer Congress…,5
"What a perfect Sunday. Running for Breast Cancer, At Hillsong church, beautiful lunch at the top…",5
