tweet_text,month_of_tweet
Jah know last night I call my friend who is fighting cancer only to hear it's getting worst my…,5
"""I intend to populate the instagram with children's characters for Child Cancer Awareness Week.…",12
"""I intend to populate the instagram with children's characters for Child Cancer Awareness Week.…",11
Happening now. Working closely with local #charity #jamaica #cancer #society. @ Island Village…,8
The discrimination is clear against people living with HIV/AIDs and cancer.,8
"- Despite losing his leg to cancer and still battling with the terrible disease,…",3
Big dutty stinking cancer! Ugh,3
More Bad News | The Legendary #JimmyRiley has lost his battle with Cancer at 61yrs old |…,3
Day 02 to support the fight against Breast Cancer and awareness to the fact that 22 veterans…,11
Glenroy and Theresa Walker were a joy at the Kiwanis Breast Cancer Awareness 5K @ America/Jamaica,10
Health Report: woman talk about having cancer watch full report like and…,10
