tweet_text,month_of_tweet
"Take 2! (@ Regional Cancer Care Associates in Howell, NJ)",4
"I'm back! (@ Regional Cancer Care Associates in Howell, NJ)",3
Did you know I rolled #jiujitsu right after my stage4 #cancer surgery with lymph nodes chopped…,12
"Thank you Ellie, and everyone from the Cancer Support Community Monmouth Medical Center. It was…",12
"""Celebration of Life"" Fundraiser for Cancer Support Community tonight! #TFEgives …",12
"Just kidding...! (@ Regional Cancer Care Associates in Howell, NJ)",12
"Good Evening from Elite, We accepted the cartoon child cancer awareness challenge from…",12
Five years cancer free and only hoping that someday I can be half… …,1
"This is my sweet Lilly, a blue tipped Himalayan. She has cancer and won't be with me too much…",1
"Another follow-up... Maintenance... (@ Regional Cancer Care Associates in Howell, NJ)",9
•133\366• congrats on having a dope party & for being 9 years cancer… …,9
September is Pediatric Cancer Awareness month. What else is there to say except #cancersucks !…,9
Beatrix Potter Band supports World Child Cancer USA. Raising Awareness #nochildshouldsuffer…,8
"""ROCK FOR LANDON"" a benefit for a beautiful boy in need of help for his cancer treatments. Here…",8
"Maintenance... (@ Regional Cancer Care Associates in Howell, NJ)",8
Where there is great #love there are always miracles Help support Janet Vega in her Cancer…,6
Where there is great #love there are always miracles Help support Janet Vega in her Cancer…,6
we RELAY want to find the cure for cancer @ Howell High School… …,6
Right before I was diagnosed with stage 4 Malignant Melanoma #cancer. Did you know I use to run…,5
#goodmorning #whiteal #gofigure @ Memorial Sloan Kettering Cancer… …,5
"Metastatic Breast Cancer is without a miracle, incurable. I've met the bravest women through…",8
Behind the scenes and onscreen today - taping CURE Connections re: bladder cancer w/,8
Cure cancer @ Monmouth Park Racetrack,8
"Relay 2k16 - cancer not here, not there, not anywhere @ Freehold… …",6
Fighting cancer one lap at a time @ Relay for Life Howell HS …,6
Cancer free for 6 years now and we finally made it too the gala!… …,6
Thank you for coming out to our Pink for Pilates Class to support Breast Cancer Awareness!…,5
"Shawn & Sue Hosting ""Surviving the Cancer Challenge"" with the Ocean Monmouth Health Alliance…",5
