tweet_text,month_of_tweet
"This is Madagascan Periwinkle, it's used to cure lymphoma, I like this little flower quite a lot…",5
First training ride post-#chemo #hodgkinslymphoma #lymphoma #fixie #quellabicycle #quella…,4
"MWIE - Weight, height linked to lymphoma risk - There are two types of lymphoma - Hodgkin's and non-Hodgkin's -…",2
"#Stigmabase | IE - Weight, height linked to lymphoma risk - There are two types of lymphoma - Hodgkin's and…",2
Here we go again... Ready to kick Lymphoma's ass - Round 2 #GameOn #Lymphoma #follicularlymphoma…,6
Ready to kick Lymphoma's ass - Round 1 #GameOn #Lymphoma #follicularlymphoma #readytobattle…,6
vandaag interview in interview over #lymphco #fightcancer #lymphoma op,6
"Here's my new blog ""The Hodge"" documenting my experiences of Hodgkin's lymphoma …",1
... On plus side you understand how she feels & know how to get right treatment as we do for Mum-in-law (lymphoma) ... (cont),8
Fading away waiting to hear results of final scan #cancer #lymphoma #recovery @ Addenbrooke's…,9
#Truro Lymphoma group offers support #Cornwall #Kernow,9
"Cancer Can't Stop This Girl from Skiing: Kati Leasure, a 15-year-old girl with lymphoma and a rare muscular… pic.twitter.com/gsPSN9iV0T",3
£11k boost for lymphoma charity from stockbroker team #Bedfordshirepic.twitter.com/XgBKwKM1bq,3
I've accepted the Lift 4 Lymphoma ( challenge in support of and…,1
Today we have the Lymphoma Association on the #charitystall in #Uppingham #LoveUppingham - pop…,4
I'm taking part in-2016 London Marathon for The Lymphoma Association.Please sponsor me,4
I'm taking part in The 2016 London Marathon for Lymphoma Association . Please sponsor me. Fleur-Bonnett,3
pathologists dream - name/flower/diseaseofinterest #katherine #hodgkin #iris #flower #lymphoma…,3
I'm taking part in The 2016 London Marathon for Lymphoma Association . Please sponsor me. Here is a link to my page,3
"Hello, I've started fundraising for Lymphoma Association . Please sponsor me. Here is a link to my page",3
Saw this & thought of you. Aspartame is linked to leukemia & lymphoma in new landmark study on humans …,3
Aspartame is linked to leukemia & lymphoma in new landmark study on humans What substitute for sugar …,3
Aspartame is linked to leukemia & lymphoma in new landmark study on humans What substitute for sugar? …,3
Treatment offers renewed hope to Hodgkin's lymphoma patients #Maldon pic.twitter.com/PEMcWsjNCP,12
Lymphoma survivor helps #KingsLynn hospital unit #Norfolkpic.twitter.com/YeX1AKCcWJ,7
Add anti-BMA to your shopping CAR-T for #Myeloma #immunooncology #leukemia #lymphoma …,7
I am #banger #racing in August at #eastbourne for #bloodwise #leukemia #lymphoma #crash #mental…,7
"its a bit shit, one of them just recovered from brain cancer, now his wife has lymphoma. Bloody tragic Fantastic couple as well",7
Robert Hasserjian updating British Lymphoma Pathology Group on WHO 2016 myeloproliferative neoplasms today. pic.twitter.com/ZCUOQpuGXC,7
Elaine Jaffe updating British Lymphoma Pathology Group on WHO 2016 #NottinghamPathology2016 today.pic.twitter.com/Y8ZlKzj6kK,7
Check out my JustGiving Page for Bloodwise (formerly Leukaemia and Lymphoma…,6
So tired of lymphoma! @ Lugano Park …,6
Mmmm. Check out my JustGiving Page for Bloodwise (formerly Leukaemia and Lymphoma Research).…,6
Arrival day 1. Check out my JustGiving Page for Bloodwise (formerly Leukaemia and Lymphoma…,6
A maestro in recovery from Hodgkin lymphoma #ClassicalMusicpic.twitter.com/qa0tvAwBw7,10
So the vet thinks my little boy has lymphoma and we are just waiting for tests to confirm …,4
#CelioEconomicsDesk Cancer survivor: 'I was sacked for having lymphoma',11
"#Essex: Best friend raises more than £1,000 for a dad with Lymphoma pic.twitter.com/EO5muhLDBz",11
It's been over 6 years since my sister was diagnosed with Hodgkin's lymphoma. During her battle…,10
blaming the Tories now for increase in cancer how low can u get?? My daughter had lymphoma in 2007 NHS saved her life!!!,8
PAY ON THE DECK - Raising money for a Lymphoma Cancer Charity -…,8
"#Sailing: West Marine, The Leukemia & Lymphoma Society raise more than $41,300",11
