tweet_text,month_of_tweet
"You had such a golden heart fighting through this cancer. You fought so hard, and I'm proud of…",3
"It's back again. Saturday, July 30th 2016... Swing Fore! Cancer… …",3
"Hey Arsenal Members! If you joined during our Design vs Cancer campaign, you have been waiting a…",2
Here are snapshots of individuals (ALL Breast Cancer Survivors)… …,2
#StevenCousins in CLE helping to end #cancer…,11
"I'm at CCF R Building (Taussig Cancer Institute) - in Cleveland, OH",11
Shout out to all the breast cancer survivors #breastcancerawareness I support 365 days a year…,10
"I'm at CCF R Building (Taussig Cancer Institute) - in Cleveland, OH",10
We do it for the Huntsman Cancer Institute @ Derby Days - Sigma Chi,10
tell him to chill lol I like all signs but cancers,10
My pastor received the report that we have been agreeing on... Cancer-FREE @ CalvaryCogic,10
Breast Cancer Research Fundraiser @ Mediterranean Party Center,10
"Hey daddy. You're gonna kick cancers butt tomorrow morning, okay?… …",4
Lmao!! Me!! Good morning IG!! #international #me #global #worldwide #zodiac #sign #cancer…,3
Race for the Place 5K & 1 Mile Celebrate National Cancer Survivors Day & Support The Gathering…,3
"Head shaved to support pediatric cancer research! You can help, donate now:…",3
Beauty.... @ University Hospitals Seidman Cancer Center,8
dad and grandpa had prostate cancer. Both grandpa and I had Barrett's.,7
One more shift @ University Hospitals Seidman Cancer Center …,7
Him got a coloring book lol @ University Hospitals Seidman Cancer Center,7
Just posted a photo @ University Hospitals Seidman Cancer Center …,7
Boss Life @ University Hospitals Seidman Cancer Center,7
Mindful Monday... #facingcancer #embracinglife @ The Gathering Place - Facing Cancer. Embracing…,7
Celebrating Birthdays! #Cancers @ Skeets Bar,7
Help me wish my first best friend ROD HUBB HUBBARD Happy Birthday . Cancer free. GOD is GOOD..…,7
NO MORE CANCER (or a left bicep) IN ME ANYMORE!!!! @ Cleveland Clinic - Main Campus,6
Playing! @ Cleveland Clinic Taussig Cancer Center,9
Makes you wonder what they'll be allowed to do when they announce the cure for cancer we've…,8
Just posted a photo @ University Hospitals Seidman Cancer Center …,8
"I'm at UH Seidman Cancer Center - in Cleveland, OH",8
"visiting pops (@ UH Seidman Cancer Center - in Cleveland, OH)",8
"I'm at UH Seidman Cancer Center - in Cleveland, OH",8
Tonight Birthday Celebration @ Cleveland Clinic Taussig Cancer Center,8
"You the real MVP, Mom. Cancer has got nothing on you. @ Quicken… …",8
We are teaming up with Elana's Blessings to promote breast cancer awareness. This foundation…,8
