tweet_text,month_of_tweet
13 y old Lana from Nablus is fighting leukemia in the department and… …,1
"From this to that, special cover up beating Leukaemia deserves a special cover up! #leukemia…",3
Mucky car? Come and support Green Watch's car wash for Leukemia on Saturday #Charity #busybournbrookpic.twitter.com/RDMSHLQq2x,4
"27 years ago on 4/10/89 I lost my Papa to Leukemia. I was 2.5 years old, my brother Bernd was…",4
"Khalifa the worrior, he is battling leukemia, I went yesterday to Mohammed 6th Hospital and I…",3
Happy bunny day! Also this year I choose an A.I.L egg for help people with leukemia and…,3
Saw this & thought of you. Aspartame is linked to leukemia & lymphoma in new landmark study on humans …,3
Aspartame is linked to leukemia & lymphoma in new landmark study on humans What substitute for sugar …,3
Aspartame is linked to leukemia & lymphoma in new landmark study on humans What substitute for sugar? …,3
#Essex: Woman determined to raise money to support her sister diagnosed with leukemia pic.twitter.com/bE36lcGdkP,3
ESN : Penelope Cruz helps raise funds for childhood leukemia research in Spain: Penelope Cruz was a guest on the…,9
Supporting the fight against #leukemia #leucemia #leukämie . (#vegan #friendship #amistad…,5
Anthony Nolan LIVE is a charity concert in aid of Leukemia. Im… …,4
#Sailing: Leukemia Cup: Celebrating 25 years of service pic.twitter.com/s6pOWkRj0w,11
Oor Summer still smiling after a lumbar puncture #leukemia… …,2
Just two bacons in love Shout out to my old coach beating Leukemia… …,2
I'm diagnosed and treated for Acute Myeloid Leukemia …,2
Leukemia patient guest of honour at Westminster event #Berkshirepic.twitter.com/Wp8xI2zgWr,10
"Tooting, Tooting common, sunny day, sunshine, leukemia, recovery @ Tooting Commons",9
"Tooting, Tooting common, sunny day, sunshine, leukemia, recovery @ Tooting Commons",9
Family of 10-year-old with leukemia backs call to complete fundraising for… #Hampshirepic.twitter.com/KzdMUN4H6B,9
A couple will climb Pen y Fan 10 times in 24 hours for their son who is battling leukemia #Cymrupic.twitter.com/LoJS0VyvnZ,5
Special day for boy with leukemia who is given #Peterborough United chairman’s seat in Directors’… #Cambridgeshirepic.twitter.com/TM5Mz4w0wr,4
Thank you Jesus That your love and power are greater than Leukemia Divorce Church drama Life…,4
#Northamptonshire mum celebrates her baby's first Christmas after beating leukemia twice #Northantspic.twitter.com/oxBB9YZ28Q,12
Louis Tomlinsons Mother Loses Battle With Leukemia Recap,12
Louis Tomlinsons Mother Loses Battle With Leukemia Recap #music,12
"""Stitch came into our life right after losing our much loved chameleon Millie to leukemia and he…",12
Inspiration #boxing #fighter #leukemia #cancer #standuptocancer #dontletcancerwin #inspirational…,7
"When a stage 4 leukemia Cancer Fighter, Beater and Winner takes a #boss photo…",7
Suicide angels supporting small Kubicek in his fight against leukemia... #inkedchick…,7
Edited Donor Immune Cells Cause Long Term Leukemia Remission …,1
Watch: Boy with leukemia conducts symphony orchestra #ClassicalMusicpic.twitter.com/ADYudnsafu,1
Another from last years leukemia busters charity meeting at Matterley basin with Hampshire…,10
3 years ago from today when he was diagnosed with Leukemia I never imagined we would end up…,6
That time of the month again #donate #platelets #leukemia #cancer… …,6
First award of the night .....Young Person of the Year goes to Leah Whitehead an active fundraiser for leukemia sufferers,11
Anyone who loses her two sons and daughter who survived leukemia and fundraising is remarkable.,11
Paris | Defective NK Cells in Acute Myeloid Leukemia Patients at Diagnosis Are Associated with Blast ...: ...…,11
Bringing new drugs to leukemia trials but taking vintage cars to a celebration dinner 4 the 1st…,11
Thx to Mayor and kemal_saracoglu_vakfi foundation that support kids with leukemia and…,10
#royalalberthall #hairevent #bloodwise #volunteering #leukemia @ Royal Albert Hall,10
Come join us tomorrow and help raise money for a great cause. #leukemia #craftfair #mothersday,2
nah I fucking smashed,2
as if I'm still awake,2
#leukemia @ Drrpnc,12
"Me & the family did this for all the sick kids stuck on their beds fighting cancer & leukemia ,…",11
"""Acute Myeloid Leukemia"" is trending today on Google United Kingdom (20000+ searches) …",11
"The boy with leukemia. @ Naples, Italy",11
"#Sailing: West Marine, The Leukemia & Lymphoma Society raise more than $41,300",11
Inspirational teen picks up superb GCSE results after battling with Leukemia #Maldon #Essexpic.twitter.com/MX2BGLybvb,8
Young mum’s appeal in leukemia battle - you could save my life and many more #Lincs,7
Add anti-BMA to your shopping CAR-T for #Myeloma #immunooncology #leukemia #lymphoma …,7
Mum battling leukemia &quot;overwhelmed&quot; by response to... #Lincspic.twitter.com/JPDjBL30Th,7
> 2 million person years - one 'diet' soda a day increases: – 42 percent higher leukemia risk…,7
ESN : Night shift work and chronic lymphocytic leukemia in the MCC-spain case-control study: Night shift work and…,7
"ESN : Night shift work and chronic lymphocytic leukemia in the MCC-spain case-control study: Laura Costas1,2,3,*,;…",7
I am #banger #racing in August at #eastbourne for #bloodwise #leukemia #lymphoma #crash #mental…,7
"DEN : Zuk, 17, who died from leukemia Saturday was a Berlin High School varsity football player and would have been…",6
