tweet_text,month_of_tweet
Happy bunny day! Also this year I choose an A.I.L egg for help people with leukemia and…,3
13 y old Lana from Nablus is fighting leukemia in the department and… …,1
3 years ago from today when he was diagnosed with Leukemia I never imagined we would end up…,6
"For Every fight won, for each battle lost. For admiring Leukemia Fighters. #supportandpray…",6
"This guy is suffering from leukemia for 9900 chromosomes AD, but yet… …",5
Warriors welcome 8-year-old leukemia patient …pic.twitter.com/dFgdGt7Ytp,4
Bringing new drugs to leukemia trials but taking vintage cars to a celebration dinner 4 the 1st…,11
Thx to Mayor and kemal_saracoglu_vakfi foundation that support kids with leukemia and…,10
"DEN : Zuk, 17, who died from leukemia Saturday was a Berlin High School varsity football player and would have been…",6
"When a stage 4 leukemia Cancer Fighter, Beater and Winner takes a #boss photo…",7
Suicide angels supporting small Kubicek in his fight against leukemia... #inkedchick…,7
"Please meet Evita, the girl who was diagnosed with leukemia. During the treatment, Evita was…",12
#leukemia @ Drrpnc,12
"The boy with leukemia. @ Naples, Italy",11
