tweet_text,month_of_tweet
Fresh nails for today/tomorrow's new moon in Cancer Moonstone for …,6
"""Are you crazy?!"" You know smoking causes lung cancer, emphysema,… …",6
Good morning lovely people have a wonderful weekend @ Kuwait Cancer Control Center KCCC,6
Good morning @ Kuwait Cancer Control Center KCCC,6
Just posted a photo @ Kuwait Cancer Control Center KCCC,6
Just posted a photo @ Kuwait Cancer Control Center KCCC,6
Day out with the Most important person in my life walk kick Cancer #cancersucks went out with…,6
So proud to be part of this project for the treatment of #Cancer #Patients with excellent…,6
Cancer,6
Nice one @ Kuwait Cancer Control Center KCCC,6
The chef modeling in a fashion show to raise funds for a local cancer charity…,6
""" BRAVO Perspective: L1, transposable elements in cancer Kathleen Burns pic.twitter.com/Sl3Gh4H1fW""",6
Good morning @ Kuwait Cancer Control Center KCCC,6
Charity dinner and Pink bracelet for cancer research #event #specialevent #Ilovemyjob…,6
Good morning @ Kuwait Cancer Control Center KCCC,6
Good morning everyone. Have a nice day @ Kuwait Cancer Control Center KCCC,6
First meal after treatment see what I can eat #cancer #cancersucks #kickcancersbutt…,6
Imagine how much closer to curing cancer we might be if all the churches around the... pic.twitter.com/WXeQ9xUkAx,6
#صباح_الخير @ Kuwait Cancer Control Center KCCC,6
*Money* might make you *Wealthy* but *Friends* make you *Rich* *Good Morning* @ Kuwait Cancer…,5
KIck Cancers Butt -life deals cards we take those cards and deal with them . And ppl take them…,5
#مبارك_عليكم_الشهر @ Kuwait Cancer Control Center KCCC,5
Good Morning! Moon in Cancer is void of course up to 2:11pm UTC+2. That is he is wandering about…,5
Good morning @ Kuwait Cancer Control Center KCCC,5
The Moon is still in Cancer. It was a day full of family and good food. For the price of 1 you…,5
"Moon in Cancer, taking action in nurturing others. Preparing a load of cheddar to safely take…",5
Swiss scientists create artificial viruses to combat cancer cells … #swiss #news #Switzerland,5
#followme #cancer #windows10 @ Lakeside Tower ABCD IMPZ Community,5
I'm at Kuwait Cancer Control Centre,5
Good luck Dr. Mohammad Amir in your endeavor. @ King Hussein Cancer Foundation and Center,5
Lung Cancer Development Area. #vscocam #vscoph #vsco_hub #vscogrid #vscophotography #vscogood…,5
"Every week, several women in this country are diagnosed with gynecological cancers. Are you at…",5
I'm at King Fahad National Centre for Children's Cancer,5
"Bladder cancer · May is the awareness month of Bladder Cancer. More than 70,000 new…",5
Acquire t-shirt lo_storereggio to help children to fight cancer. Different colors and sizes…,5
A few days ago I had a chance to visit children who are fighting cancer at Kaunas Clinics ....…,9
Just posted a photo @ King Hussein Cancer Foundation and Center,9
I'm at Kuwait Cancer Control Centre,9
Pretty amazing.. I had surgery last week.. had skin cancer that required removal. Thank god for…,9
I'm at Kuwait Cancer Control Centre,8
Just posted a photo @ Kuwait Cancer Control Center KCCC,8
"Interesting facts about Cancer personality - Part 2 - Behind Cancer fake smile, is…",8
I'm at Kuwait Cancer Control Centre,8
"Repost : When this woman was diagnosed with breast cancer, she and her family had no idea…",8
Interesting facts about Cancer personality - Cancer are unforgiving when someone betray…,8
Awesome study!!! Vitamin D and Calcium decrease your chance of cancer in post menopausal women!…,8
#الحمد_لله @ Kuwait Cancer Control Center KCCC,8
Ain't No Sunshine When she's Gone #sunset#beach#cancer#rak#uae#vibes#weekend#alhamravillage…,8
"""May the bridges I burn light the way"" #blackandwhite#cancer#cancer#pajamas @ Ras al Khaima",8
My daughter is reading this -great and very interesting true story about her cancer cells being…,8
There are large variety of clinics specializing in the treatment of cancer. Company I MEDICAL…,8
Just posted a photo @ Kuwait Cancer Control Center KCCC,8
Volunteer (@ King Fahad National Centre for Children's Cancer in Riyadh),8
My dear friend today is battling breast cancer for the second time in this year Prayers and hopes for her easy & fast recovery KFSHRC,8
My Chefs . My friends . in UAE . lets support the breast cancer . who want to buy this kitchen…,8
"Topic was oral cancers. Eye openers for our nation. Guttka , mawa… …",8
I'm at Kuwait Cancer Control Centre,8
I'm at King Fahad National Centre for Children's Cancer,8
Sponge Bob event (@ King Fahad National Centre for Children's Cancer),8
our source happiness @ Tanta Cancer Center …,8
I'm at King Fahad National Centre for Children's Cancer,8
