tweet_text,month_of_tweet
pathologists dream - name/flower/diseaseofinterest #katherine #hodgkin #iris #flower #lymphoma…,3
"Dear friendsMy friend Eugenia has cancer stage III of Hodgkin's lymphoma, needs an... pic.twitter.com/VnuLfMJvJA",11
CT Scan Day ... #HodgkinsLymphoma #CTScan #KHCC #CancerFree #Lymphoma #Cancer #FuckCancer…,11
'lymphoma' is now trending in #Karachi pic.twitter.com/muLuLSg0ha,8
Check out my JustGiving Page for Bloodwise (formerly Leukaemia and Lymphoma…,6
So tired of lymphoma! @ Lugano Park …,6
Mmmm. Check out my JustGiving Page for Bloodwise (formerly Leukaemia and Lymphoma Research).…,6
Arrival day 1. Check out my JustGiving Page for Bloodwise (formerly Leukaemia and Lymphoma…,6
Here we go again... Ready to kick Lymphoma's ass - Round 2 #GameOn #Lymphoma #follicularlymphoma…,6
Ready to kick Lymphoma's ass - Round 1 #GameOn #Lymphoma #follicularlymphoma #readytobattle…,6
