tweet_text,month_of_tweet
"In Rome 2 days of #eu_cancon meetings, now stakeholder event and then policy conference #cancer…",9
Riyadh:my first work trip since the cancer. This is the cover for my trip book. Love my girls! pic.twitter.com/MYn6jxnkuu,2
"I did appreciate your ""absolutely perfect!"" to what i said to Tatanka & he answered back. It was!! I'm going into breast cancer>",5
"Susan G. Komen's Mission: ""To save lives and end breast cancer forever by empowering others,…",5
"Susan G. Komen Breast Cancer Foundation is the most widely known, largest and best-funded breast…",5
"""Beautiful Day"" - #TheEdge meets #PopeFrancis at Vatican's cancer research conference.…",4
"Cancer killed my sister's husbund at 48. And my other sister went through surgery for breast cancer last year, at 46.",4
The last time I was here was when Saturn was in Scorpio and G was diagnosed with breast cancer.…,6
"Am so persistent about putting on factor 50 to avoid skin cancer, get sad when I have no sun tan…",7
New Moon in Cancer conjunct Mercury & waving to Venus in Cancer too. When words start to feel…,7
"Mars in Cancer square Uranus in Aries. ""Is this shocking enough for you? Mother Land is…",7
"An expression of Cancer energy. Puzzy, Sun in Cancer, will not stay out on the balcony if there…",6
4 years - 2 cancer battles 8 countries 2 dogs chaifacebearface …,8
what if I told you there was a cure for cancer - but they are hiding it because the government…,12
"no i agreed with the message, but not the ""you are cancer"" thing...",11
"cameron deletes all good tweets and he still hasn't deleted the ""you are cancer"" one wow",11
"October is Breast Cancer Awareness Month, here a picture of Delta's pink plane ""Breast Cancer…",10
"When the Transitional Cell Cancer is too big, endoscopy is not enough. Conservative treatments…",2
All dressed up in Pink with the breast cancer awareness ribbon!#stephensleephotography #rome…,2
World Cancer day!!! #awareness #solidariety #solidarieta #fuckcancer #fuckcancer #fightit…,2
October is the breast cancer awareness month. remembers us this world humanity​ fight…,10
October is the breast cancer awareness month! Delta remebers us with this special livery…,10
October is breast cancer awareness month. It is always good to seek medical attention when you…,10
