tweet_text,month_of_tweet
Chemo Funday Friday! Believing for no leukemia in the CSF again and… …,2
DPJH 8th graders look to help classmates battle leukemia,2
Day One of Ava's fight with Leukemia. It's been a tough few days. We take comfort in knowing…,2
Beautiful smile. Beautiful Princess. @ Chalet Brannan Leukemia Foundation,2
Friday: time well spent w/ at the Light The Night Soirée by the Leukemia &…,2
"leaving the lights on / tonight, remember Jeffrey / cure leukemia #1000lights…",1
We took the challenge! #BigDClimb Presented by The #Leukemia & #Lymphoma Society! We climbed…,1
#girlpower at The Leukemia and Lymphoma Society Soiree @ 3 West Club,1
I did the snow angel challenge for my 4year old friend fighting leukemia. I challenge all my mx…,1
Leukemia has officially taken the first shot. Spiked a high fever… …,1
#mom #loveher #queenmother #fighting with #leukemia #warrior @ Our Lady of the Lake Regional…,1
At #AmericanGirl Store with my TWIN Krystal #Beat leukemia,1
"""Art by Athena"" #Care4aCure Athena has Acute Lymphoblastic Leukemia since the young age of…",1
Ready to sing my heart out for the #Leukemia and #Lymphoma Society event tonight!! I'm so…,1
All this math Thank you to everyone who came out to support the Leukemia & Lymphoma Society at…,1
Polo for purpose Leukemia & Lymphoma #polo #polosolidario #solidaridad #accion @ International…,1
2-year-old adopted; diagnosed with leukemia next day …,1
Spirit week is sponsored by the PG Student Council. Cost is $1 per day. Funds raised go to the Leukemia & Lymphoma society.,1
"after a long 7 months of fighting leukemia, my dad is officially… …",1
"Proud sponsor of tonight's ""Purple Tie Affair"" to benefit the Leukemia & Lymphoma Society.…",1
23-year-old Florida woman with leukemia marries at hospital …,1
i HAVE LEUKEMiA - EVA TO JOEY #DAYS,1
"Leukemia and Lymphoma Society reception (at in Austin, TX)",1
"Please Retweet! Local boy, 5, W/ leukemia, wants postcard love. How you can help: SCTweets …",1
After winning his battle with leukemia Jason Carter celebrated his Road to Recovery at the Grand…,1
Mentor meeting to get the season started (@ The Leukemia & Lymphoma Society - Minnesota Chapter -,1
And she still smiles: Columbus natives fight infant leukemia,1
Just watching God help my friend and brother hall_customs and kick leukemia in…,12
"Just tossing this in there; I’m alive today thanks to ACA. 5.5 years fighting leukemia. In ur ramblings it’s better if I & others like me are dead instead of treated properly & not somehow figuring out how to pay for chemo that costs $14,500 per MONTH. 45 wanted to take it away.",12
"Tonight we lost a friend to leukemia. He was a brave man, loving husband, and hardworking…",12
"January 15th,2018 is Polo For A Purpose benefiting the Leukemia and Lymphoma Society. Limited…",12
This is Ace. He has feline leukemia but he’s still pretty heckin’ cute. #ahs @ Animal Humane…,12
Great sour ale. Also they donated this keg for kids battling leukemia. All great things. 100% donation. - Drinking a Cascarudo by at — #photo,12
549 days ago Leukemia was introduced to my life.... 350 days ago I was able to say I kicked its…,12
Come brunch with us and and for Leukemia fund…,12
"I'm 99% sure that the airport just paged someone named ""Leukemia Davis""",12
Today is a very happy day. This is the 7 year anniversary of Lilly ending her Leukemia…,12
#FBF 7 years ago... shoot I did for my fight against Leukemia. Cancer @ Fairlamb FIT,12
Walking for the cure.. Light the Night for Leukemia & Lymphoma pic.twitter.com/hkdfHrXwlm,11
#UberInTheCommunity #LightTheNight #Leukemia&LymphomaSociety @ Tampa Bay Lighting at Amalie Arena,11
"Fight Leukemia shoot (@ Social Circle Ace Home Center - in Social Circle, GA w/",11
Another successful event with Leukemia and lymphoma Society. Our lighted balloons helped light…,11
Dear fans. Today I became a stem cell donor to the big cheese aka my father. His leukemia…,11
"Battling leukemia, this awesome chef has always wanted to participate in the…",11
Staunton's Aaron Childs fights rare form of leukemia pic.twitter.com/6IhYEqgcNY,11
"Splenda ingredient, sucralose, linked to leukemia …",3
"Leukemia survivor, 5, gets big surprise",3
Nutrition watchdog sours on Splenda after study links sweetener to leukemia,3
