tweet_text,month_of_tweet
"Sweet Luna is a 17 year old thoroughbred with melanoma, which has caused some large masses on…",8
Been having a pretty good summer. Jenn had a some more melanoma removed but prognosis looks good! How are you and your fam doing,8
Melanoma Trump didn't STEAL that speech. She sampled it.,7
"Melanoma Trump just said that ""for the first time in my life, I'm proud to be a Croatian"".",7
I just got my last #melanoma vaccine! The vet said I look great and I have to have a chest…,7
Sun safety: reducing your risk of health issues from heatstroke to melanoma,7
"If you come to the beach and don't get melanoma, did you really come to the beach? @ On The…",7
New medication giving hope to melanoma patients woai sanantonio,7
3rd (out of 5) #melanoma vaccine given! #cancersucks #melanoma #bloodhound #dog…,7
Ues your sunscreen this #july4th folks! This stage 2 melanoma sat in front of me on the boat to…,7
Our friend Dude is a very brave boy. He was diagnosed with a melanoma in his ear recently and…,3
"My friend Dude recently lost half of his ear due to melanoma, but he still is a beautiful boy.…",3
Is this melanoma pic.twitter.com/SxD4T1UUwe,3
SR1772 [Passed] Recognizing Addison's Army Against Melanoma for its work educating and spreading awareness about...,3
Dr. Zih presenting Molecular Profiling for #Melanoma during Melanoma Poster Grand Rounds #SSO2016pic.twitter.com/cnLEgjAwM6,3
SR1772 [NEW] Recognizing Addison's Army Against Melanoma for its work educating and spreading awareness about me...,3
Please keep a check on your skin if you spend time in the sun. #skincancer #cancer #melanoma…,3
I used to love going tanning. Now I am scared for my life. Melanoma is real. Think. Being tan is sexy but skin cancer is not pretty.,3
Mark your calendars for Madeira Beach's PhilPhest- Melanoma Awareness Festival.…,2
Real-time sun protection decisions in first-degree relatives of melanoma patients. …,10
#Sunset on a Wednesday night out on the town for a #Melanoma fund raiser. #CureMelanoma.,9
Mashing Melanoma (@ Dr. Singleton Baseball Field),9
"Miles for Melanoma. (@ Ginty Field in Morristown, NJ)",9
Had a blast last partying with and her girlfriends tonight! Want FREE Scentsy?…,9
"Look at these people. They are on the cutting edge of finding a cure for Melanoma, the disease…",9
#NMSUCorbett TODAY: Inventory Scanner Upgrades till 12p Room 302; Melanoma Monday till 2p International Mall;...,9
Relaxing evening out by the pool Don't forget your sunscreen peeps....Melanoma doesn't look…,6
2nd (of 5) #melanoma vaccine given today. Thankful he is doing well! #cancersucks…,6
"One is melanoma and one is benign. Trying to remove it with laser, freezing or microneedle…",6
Skin cancer caused by the sun. White people get it more often because of low melanoma in the skin,6
Photo shoot fun with the creative and talented nickie_stone for the Melanoma Awareness campaign…,6
All sunscreen discounted all month of June. Stop melanoma! #gardensdermatology…,6
Photo shoot fun with the creative and talented nickie_stone for the Melanoma Awareness campaign…,6
Photo shoot fun with the creative and talented nikki_stone for the Melanoma Awareness campaign…,6
March part time skin took an online course & successfully became Certified Melanoma Educators…,6
#DrKeithFlaherty -- LDH level prognostic for OS for pts treated with TAF/MEK #melsm #ASCO16,6
"Maria Gonzales, manager of clinical trials at Melanoma Institute Australia, presented today in…",6
Because #melanoma and #skincancer seriously suck. I hate these checkups! #donttan…,6
I officially have an old man hat. Because #balding and #melanoma. It sucks being a responsible…,5
"careful, laid in bikinis over years, melanoma I have now!",5
Having surgery for melanoma tomorrow. My mom always reminded me there's someone worse off than… …,12
#Melanoma screening. Don't wait on these things. Just go. (@ Columbia St Mary Riverwoods Outpatient Center),12
"AIDS : Heroin overdoses killed more people in US than HIV, melanoma or firearms in 2015: (ABC NEWS) -- The opioid…",12
"AIDS : Heroin overdoses killed more people in US than HIV, melanoma or firearms in 2015",12
"AIDS : Heroin overdoses killed more people in US than HIV, melanoma or firearms in 2015",12
Melanoma head. #unclebuck # @ Regeneration Tattoo,12
"Heroin Overdoses Kill More People Than HIV, Melanoma or Firearms",12
"When you go to the melanoma clinic, and find out you're a stage 1A, not 2 like you were told...…",12
"AIDS : Heroin Overdoses Killed More People in US Than HIV, Melanoma or Firearms in 2015",12
"AIDS : Heroin Overdoses Killed More People in US Than HIV, Melanoma or Firearms in 2015: The opioid epidemic…",12
"AIDS : Heroin Overdoses Killed More People in US Than HIV, Melanoma or Firearms in 2015",12
"wish u well! Been thru every type of cancer cervix,Hodgkin's,breast,now recently melanoma. Still Fishin!",12
"Red heads have higher risk of melanoma skin cancer, even if they never go in the sun. Remind…",11
A #throwback to 4 years ago to my last dose of #yervoy #melanoma #ihadcancer #stupidcancer…,11
"Many of you already know but in January of 2015, I was diagnosed with melanoma. Thanks to early…",11
"One is melanoma and one is benign. Trying to remove it with laser, freezing or microneedle…",1
1 in 50 white people projected to develop melanoma in a lifetime,1
NED !!!! All clear! #melanoma #melanomaawareness #notan #fccc #tanningbedselfie #lessonlearned,1
"Premature aging, wrinkles, fine lines, melanoma? No thanks! #Glow the healthy way. #Repost…",1
Melanoma may be deadlier during pregnancy,1
I have stage 4 melanoma (skin cancer) and having trouble with medical bills - anything would help our situation - God bless u,1
Part II - I have melanoma cancer and it sure would help with the medical bills - God bless you for giving people chanc,1
Melanoma Monday! Know your facts and protect your skin! #YourTanningBar #BanTheUVTan #SkinCancerAwareness pic.twitter.com/sGIbgCeqWB,1
Buh-bye stitches. Here's to hoping I won't be back here for at least a year. #Melanoma,1
Penn vet just called and michi did indeed have early melanoma.… …,1
Poor Melanoma @ Center for Civil and Human Rights,1
In October of 2016 our Executive Sous Chef Reggie Manuel was diagnosed with stage 4 melanoma in…,1
Need this like I need a hole in my head. Literally. Actually. #ByeMoleBye #GetNaked #Melanoma,1
Impact Melanoma Shades of Hope Gala @ State Room: A Longwood Venue,10
Proud to team up with RDK Melanoma Foundation for Clematis by Fright. Beautiful night! Why not…,10
Our Naked Rose Custard is ready to delight everyone tonight at Wings of Hope for Melanoma!…,10
Study finds red hair gene links melanoma and Parkinson's disease …,3
"malcolm morley, beach scene (detail), 1968. can you say melanoma? I… …",3
Read on about the melanoma outbreak in Liberia. Really billowy!,3
"Keep smiling, but wear sunscreen! #melanoma #skincancerprevention #skincancersucks #healing…",2
After a major surgery and beating melanoma glojotipp came back for a sewing lesson yesterday!!…,2
"#tbt. Before #melanoma took hold, I miss the sun ... =( @ Boston, Massachusetts",2
And having Mary Melanoma read the Lord's Prayer.,2
Graham is the honorary game captain! He is a survivor of melanoma and has raised over $100k!…,2
"This isn't really my news to announce, but anyway, my dad's melanoma has not spread. They are able to remove the entire tumor.",7
Ran a 5k with this lady today to support finding a cure for Occular Melanoma. #acureinsight…,7
"Second-to-last infusion (we think), AND blog for : #melanoma #immunotherapypic.twitter.com/F9imwCHnPU",7
It's been a long day. #bloodhound #hound #dog #pet #bloodhoundsofinstagram #melanoma…,7
"#TBT Vacay2017 - drink thieving , melanoma scares . #insidejoke #aruba #orangutan…",6
The possibility of having a third round of skin cancer it's time melanoma it's scaring me I had…,9
I had such a great time at Miles for Melanoma even though Edona had… …,8
"Thank you to everyone who donated, played or volunteered at the 3rd Annual Summit Melanoma…",8
"Thank you to everyone who donated, played or volunteered at the 3rd Annual Summit Melanoma…",8
Pale Is The New Tan With melanoma being the second most common form of cancer for people 15-29…,8
Using SPF + everyday helps reduce your chance of getting melanoma by 50%#facefactsknow…,8
Young men who died of melanoma remembered with free sunscreen project in city parks,8
Much stronger than you think... #cancersurvivor #melanoma #melanomajourney #family…,8
Treatment of ocular melanoma includes sewing a radioactive plaque onto the tumor …,4
Happening today: Lake Norman Chamber is hosting a forum on local ocular melanoma cases. I'm breaking down our past… …,4
Close up shot of the papers we made for #NotJustSkinCancer campaign for Melanoma Network of…,4
God began a good work in me almost 11 years ago when my dad passed away from stage 4 melanoma.…,4
"3D printing watermarks for papermaking! This project started back in Nov. 2015, for Melanoma…",4
All smiles after hitting the 5 year melanoma free milestone today Dear 16 year old me:…,4
