tweet_text,month_of_tweet
what better way to spend the first night of lymphoma awareness month #teambonte @ Saint…,9
September is Lymphoma awareness month! This blanket I started after my diagnosis and it took a…,9
"September is Blood Cancer Awareness month. If you know anyone living with leukemia, lymphoma or…",8
"MEET OUR HERO RACE CHAIR: Zoe. At the age of 6, she's already a survivor of lymphoma! She will…",8
"Steve McHugh, was 35 years old when he was diagnosed with non-Hodgkin lymphoma in 2010. Today,…",8
Our mission. #LLSMSLA #leukemialymphomasociety @ The Leukemia & Lymphoma Society…,8
Volunteering for Leukemia & Lymphoma Society's Team in Training this morning. Go Team LLS!!,8
Ladies getting excited about fundraising for #lightthenight for The Leukemia Lymphoma Society…,8
"Erica Campbell was 27 years old when she was diagnosed with Hodgkin lymphoma in 2013. Today, she…",8
Wonderful evening listening to survivors of leukemia & lymphoma! We'll celebrate more at…,8
"My dog brother Tug, sadly, is not doing so well. He has been diagnosed with lymphoma and is…",8
BELLO: TAKE 2 I got cancer but cancer don't got me. Slayed lymphoma into remission for…,8
As a part of the Leukemia & Lymphoma Society’s Random Acts of Light Campaign—an initiative…,8
Let's talk about Non Hodgkin Lymphoma (NHL) . #beatcancer #somedayistoday #LLSMSLA @ The…,8
The new DSI Cares shirts are here! Our team is going to look awesome at the Chicago,8
"Leukemia Lymphoma Society Support Group! (@ Florida Cancer Specialists & Research Institute in Lady Lake, FL)",8
"Gaga I hope you got my last tweet but I forgot to say life is so precious, and I have a best friend with lymphoma. I am so sorry.",8
two years ago today I had my last radiation treatment for 2b Hodgkins lymphoma. #survivor @ Uw…,7
Charity BBQ in support of Leukemia & Lymphoma with nephews Mark and Nicholas @ Sweet Obsessions…,7
"True. Long week, lymphoma checkup Mon, stress test Tue., Pap smear Wed. Sigh....",7
"Lovely afternoon golfing for fun, of course!and fundraising! #lymphoma #research #cancersucks…",7
All the #dragqueens who performed for a lymphoma patient's benefit tonight @ O'Grady's.…,7
Celebrating Natasha's accomplishments during the Leukemia & Lymphoma Society Man Woman of the…,7
#SPYDASTRONG (Supporting Lymphoma Awareness Worldwide) @ The NIH Clinical Center,7
Women's #SPYDASTRONG #LAW T-Shirt (Supporting #Lymphoma #Awareness #Worldwide) // Available now…,7
"Pleased to announce the NEW #SPYDASTRONG shirts (LAW, #Lymphoma #Awareness Worldwide) are now…",7
Huge shout out to Jeff Terry and everyone that came out to support the Leukemia and Lymphoma…,7
"Red, White and Booze 4 on the Shore Summer Crawl benefiting the Leukemia Lymphoma Society in…",7
"Someone just asked me, ""what's #Lymphoma?"", thanks for asking, and no, it's not a stupid…",7
"AIDS N : Don't deny HIV patents lymphoma treatment, say US researchers",7
"AIDS N : Don't deny HIV patents lymphoma treatment, say US researchers",7
