tweet_text,month_of_tweet
"After a long, grueling day at the Cancer Center, #MermaidTime at the… …",6
Blessings #DefeatedCancer @ Tuomey Cancer Treatment Center …,6
What's good Southside. Tonight let's get it crackalackin with the Cancers. Showtime is 9:30pm.…,6
The stage is set and I'm ready!!! Cancer is a devastating disease and it took my mother and…,6
Shout out to all the breast cancer survivors and fighters a dear childhood friend is fighting a…,6
#issarealbitchbirthday #sandtrap #cancer #albanyga #june23rd2017 @ SandTrap Club 5.0,6
It must be the first day of summer. #SummersYves is back! S/o to all the cancers out there. It's…,6
FIRST FRIDAY JULY 7TH PRESENTZ YOU ACT RITE -YOU EAT RITE CANCER G DAY…,6
Great to run into this Cancer Survivor and Now Fellow Sports Community Hero Award Winner…,6
Celebrated a storied career with two cancer fighting heroes...Karen… …,6
Proud to have selected as host site for Warriors In Pink. Breast cancer patients and survivors:…,6
"Cancer is a cardinal, water, feminine sign! It rules the fourth house, of home, mother,…",6
We are pleased to support the local community and the amazing cancer survivors at #stanthonys…,6
Celebrating 5 cancers birthdays!! #ubuntu #namaste #keywest #generations #birthdays #july…,6
Be careful I'm a cancer #June21stbaby @ Singer Island …,6
I'm at Georgia Center For Total Cancer Care At Dekalb Hillandale in GA,6
FIRST FRIDAY JULY 7TH PRESENTZ YOU ACT RITE -YOU EAT RITE CANCER G DAY…,6
officially cancer free @ Walt Disney's Magic Kingdom …,6
#happyTuesday #interestingstuffahead #missmyjob @ Cancer Treatment Center of America Newnan,6
This for everyone that lost someone to cancer #ripgripp #ripmom me miss the gone but it was hard…,6
I lost one of my closest friends to cancer today. Those who knew him well are greatly grieved.,6
"I'm at Florida Westcoast Skin And Cancer Center in Tampa, FL",6
Help The American Cancer Society provide wigs for women who can't afford them. You are invited…,6
Ha ha @ Sylvester Comprehensive Cancer Center,6
Shhhh it's still Sunday night until I see daylight lol @ Sylvester Comprehensive Cancer Center,6
#Venus is touring its home sign of #Taurus until July 4th. #Astrology #NewMoon Friday in #Cancer…,6
My mom was diagnose with breast cancer in April 2016. She's… …,6
The #gelatinchallenge has started! We're here supporting Children's Cancer Center till 2pm so…,6
"The man who directed films like ""Rocky"" and ""The Karate Kid"" died of pancreatic cancer, according to his son.",6
Aiden's Army has once again requested the city of Orlando to declare September Childhood Cancer…,6
"I'm at Lakeland Regional Cancer Center in Lakeland, FL",6
#please #follow this #freckledface #black #ginger #decepticon #cancer #television #lighting…,6
The Florida sun has punished me with over 52 skin cancers since being born in Miami when there…,6
"Desi II, blooming in the Healing garden at the Cancer Center. It's… …",6
I'm at Senos Advanced Breast Care & Cancer Detection Center of Puerto Rico,6
Cancer 22 Jun - 23 Jul Financial figures might not tally in ways you need them to in order…,6
Just posted a photo @ UF Health Cancer Center - Orlando Health …,6
"Thank you, johnrojas1 for hosting this very special day for many friends and cancer Conquerors…",6
"It's Neuroblastoma Awareness Week! This type of cancer most often begins during early childhood,…",6
Support is so important when going through cancer. This lady was one of my biggest supports even…,6
"""Why did God let my mom die from cancer?"" A question from a 10 year old without an easy answer.…",6
