tweet_text,month_of_tweet
New study links Splenda to leukemia …,3
"Alleviate prostate pain...Fights lung, colon, prostate, breast, and leukemia cancer…",2
Help my 8th grade homeroom win our school's Pennies for Patients drive to benefit the Leukemia &…,2
Brain cancer replaces leukemia as the deadliest cancer for kids -,9
Brain cancer replaces leukemia as the deadliest cance for kids. -,9
"Brain cancer replaces leukemia as deadliest cancer for kids, study shows",9
Welcome to our new community partner Barbara Gordon Leukemia Bone Marrow Awareness! So excited…,9
"Leukemia & Lymphoma Society Support Group Time! (@ Florida Cancer Specialists & Research Institute in Lady Lake, FL)",3
"Middle Mediastinal Mass -20% of mediastinal masses -Adenopathy (Usually Leukemia/lymphoma, also TB) -Foregut Duplication #CPPS2017 #PulmCC",2
anterior mediastinal Masses -Lymphoma/Leukemia most common -Germ Cell Tumors (85% Teratoma) -Thymus #CPPS2017 #Tweetiatrician #PulmCC,2
From raising money for The Leukemia and Lymphoma Society for our… …,2
The Sagman family thoughts and prayers are with young Connor Broadrick as he fights Leukemia .…,2
We are heartbroken to share that our friend Sebastian has relapsed leukemia for the second time.…,12
"My little man, Landry, turned FOUR yesterday! I was raising money for Leukemia and Lymphoma for…",11
This beautiful Model survived Leukemia. What a blessing! #divadynastymagazine #chubiiline…,5
"A few months ago, Nathaniel was in bad shape, battling Leukemia. We were all VERY worried about…",5
Just spent hours at a call-a-thon for the Woman of the Year campaign for the Leukemia and…,5
Come out and support the Leukemia and Lymphoma Society while having fun shaving a skull! #ΦΚΣ,4
Who wants to hear some AWESOME news?!? Young Moises has had Leukemia in a head lock...fighting…,4
Chemo Funday Friday! Believing for no leukemia in the CSF again and… …,2
Beautiful smile. Beautiful Princess. @ Chalet Brannan Leukemia Foundation,2
At #AmericanGirl Store with my TWIN Krystal #Beat leukemia,1
Ready to sing my heart out for the #Leukemia and #Lymphoma Society event tonight!! I'm so…,1
Polo for purpose Leukemia & Lymphoma #polo #polosolidario #solidaridad #accion @ International…,1
23-year-old Florida woman with leukemia marries at hospital …,1
At Moffitt Cancer Center for my quarterly visit - Turns out I still have Leukemia. It also turns…,7
A local boy battling #Leukemia! #HealthyLiving,7
Me and Little Bits. @ Chalet Brannan Leukemia Foundation,7
Smoothie Whirl'd is excited to announce that we are once again fundraising for the Leukemia &…,7
"Landry is stronger than any mortal man, but leukemia is his kryptonite. Let's help make him (and…",4
Thank you to all. @ Chalet Brannan Leukemia Foundation,4
"My older brother, Denny, succumbed to leukemia one day before his 9th birthday. He was the 8th…",4
"""Leukemia & Lymphoma Society FUNdraising Event! #paintpartymiami #paintpartystudio…",4
"""Leukemia & Lymphoma Society FUNdraising Event""! #paintpartymiami #paintpartystudio…",4
He's excited to take a selfie; I'm excited to help him beat Leukemia. Please join me in…,4
Even the hospitals in Florida have goofy socks. #leukemia @ Sacred Heart Hospital of Pensacola,3
