tweet_text,month_of_tweet
Is this melanoma pic.twitter.com/SxD4T1UUwe,3
Mark your calendars for Madeira Beach's PhilPhest- Melanoma Awareness Festival.…,2
#tbt to when I was on a boat (before my #melanoma surgery) #bloodhound #cancersucks #fourtoedti…,8
"From a melanoma standpoint, we are good! Next vaccine in January (6 months from last one).…",8
3 DAYS of DERMATOLOGIST! After removing several spots from my hands in preventative for melanoma…,8
#tbt to after my #melanoma surgery when my drool became EVEN MORE out of control …,5
One year ago today I had surgery for #melanoma of my right jaw. I am thankful for the vets at…,5
"Melanoma incidence is highest in young females age 18-29, but unfortunately the incidence is…",5
So excited to Strike Out Melanoma tonight! Remember socks! Parents can enjoy Taste of City Place…,10
Truly amazing day at Students Against Melanoma (SAM) Palm Beach County SAMposium 2016!…,9
"Sweet Luna is a 17 year old thoroughbred with melanoma, which has caused some large masses on…",8
I just got my last #melanoma vaccine! The vet said I look great and I have to have a chest…,7
"If you come to the beach and don't get melanoma, did you really come to the beach? @ On The…",7
3rd (out of 5) #melanoma vaccine given! #cancersucks #melanoma #bloodhound #dog…,7
Melanoma is a tumor characteristic of horses and mares moro color so it is suggested that these…,3
Proud to team up with RDK Melanoma Foundation for Clematis by Fright. Beautiful night! Why not…,10
Using SPF + everyday helps reduce your chance of getting melanoma by 50%#facefactsknow…,8
"Using indoor tanning beds before age 35 can increase your risk of melanoma, the deadliest form…",4
"Second-to-last infusion (we think), AND blog for : #melanoma #immunotherapypic.twitter.com/F9imwCHnPU",7
It's been a long day. #bloodhound #hound #dog #pet #bloodhoundsofinstagram #melanoma…,7
"#TBT Vacay2017 - drink thieving , melanoma scares . #insidejoke #aruba #orangutan…",6
2nd (of 5) #melanoma vaccine given today. Thankful he is doing well! #cancersucks…,6
Photo shoot fun with the creative and talented nickie_stone for the Melanoma Awareness campaign…,6
All sunscreen discounted all month of June. Stop melanoma! #gardensdermatology…,6
Photo shoot fun with the creative and talented nickie_stone for the Melanoma Awareness campaign…,6
Photo shoot fun with the creative and talented nikki_stone for the Melanoma Awareness campaign…,6
I officially have an old man hat. Because #balding and #melanoma. It sucks being a responsible…,5
Having surgery for melanoma tomorrow. My mom always reminded me there's someone worse off than… …,12
"AIDS : Heroin overdoses killed more people in US than HIV, melanoma or firearms in 2015: (ABC NEWS) -- The opioid…",12
"AIDS : Heroin overdoses killed more people in US than HIV, melanoma or firearms in 2015",12
"AIDS : Heroin overdoses killed more people in US than HIV, melanoma or firearms in 2015",12
"AIDS : Heroin Overdoses Killed More People in US Than HIV, Melanoma or Firearms in 2015",12
"AIDS : Heroin Overdoses Killed More People in US Than HIV, Melanoma or Firearms in 2015: The opioid epidemic…",12
"AIDS : Heroin Overdoses Killed More People in US Than HIV, Melanoma or Firearms in 2015",12
Protect your skin! Melanoma awareness saves lives. @ Gardens Dermatology,5
Today on we chat #Melanoma Awareness Month and #ISDIN Sun and Skin…,5
Left me today with good memories and possibly melanoma. I u thank u for visiting me. #hero,5
"Both of these lesions are examples of patients of mine who I diagnosed with #melanoma, one of…",5
Best Way to Beat Melanoma is to Know the Symptoms … vía,5
"This month is Melanoma awareness month. Melanoma is a form of skin cancer, typically arising…",5
"#skincancer awareness month #mostcommoncancer #melanoma, this client comes to get sprayed…",5
"""To raise awareness of Melanoma and other types of skin cancer, and to encourage early detection…",5
"Wearing black for ""MELANOMA MONDAY"" May is the month for melanoma cancer awareness month. Join…",5
May is Melanoma Awareness Month! Schedule your skin check today. (561)776-7041…,5
"couple of kids soakin up some vitamin melanoma @ Orlando, Florida …",4
AIDS N : Melanoma Cure? Zika Most Frightening; Opioid Education: What We Heard,5
"AIDS N : Melanoma Cure? Zika Most Frightening; Opioid Education: What We Heard: ""Gay men are not safe from HIV in…",5
AIDS N : Melanoma Cure? Zika Most Frightening; Opioid Education: What We Heard,5
"May is Melanoma month, and our HOSA students raised awareness by wearing black and sharing sun…",5
May is Melanoma Awareness Month. Plus you get to keep the dress. @ Intercoastal Medical Group,5
Melanoma Monday education in Full force! Thank you Students Against Melanoma for teaching…,5
Getting our melanoma on at Topsail Beach @ Topsail Island,5
#melanomamonday #skincancerawareness #spotskincancer #getaskincheck Today is Melanoma Monday and…,5
It's Melanoma Monday! Schedule your skin check! Protect your skin. #gardensdermatology…,5
Melanoma May is almost here! ALL sunscreen discounted. Come stock up. -#gardensdermatology…,4
#RunFromTheRays5k2016 • Supporting Melanoma Cancer Research •… …,4
