tweet_text,month_of_tweet
Basal cell carcinoma of the eyelid is the most common type of skin cancer. Reconstructing the…,5
AIDS : Association of HIV Status With Local Immune Response to Anal Squamous Cell Carcinoma,3
AIDS : Cetuximab Plus Chemoradiotherapy for HIV-Associated Anal Carcinoma: HIV-associated SCCAC is potentially…,12
AIDS : Cetuximab Plus Chemoradiotherapy for HIV-Associated Anal Carcinoma: Squamous cell carcinoma of the anal…,12
This young professional woman had MOHS surgery with the dermatologist for Basal Cell Carcinoma…,12
This young lady had a fair amount of sun exposure as a kid. She had a basal cell carcinoma…,12
"This is for me. Outpatient Basel cell carcinoma removal day. PSA for the day. Wear your sunscreen. Go to the dermatologist. (@ Florida Dermatology & Skin Cancer Specialists in Saint Petersburg, FL) pic.twitter.com/zCIh5TUcxi",12
Mohs Surgery is the gold standard treatment for skin cancers such as basal cell carcinoma and…,5
Today I was able fulfill one of my biggest dreams! I was able to assist in a carcinoma…,6
"We continue to lead a relentless war against a disease called renal medullary carcinoma, that…",9
AIDS : Jury out on adding cetuximab to C for anal carcinoma,1
AIDS : Jury out on adding cetuximab to C for anal carcinoma,1
AIDS : Jury out on adding cetuximab to C for anal carcinoma: One of the key differences between the trials was…,1
