tweet_text,month_of_tweet
You'd never know Dolly was diagnosed with lymphoma over two years ago. Defying the odds with a…,10
"""Leukemia & Lymphoma Society FUNdraising Event! #paintpartymiami #paintpartystudio…",4
"""Leukemia & Lymphoma Society FUNdraising Event""! #paintpartymiami #paintpartystudio…",4
Join us for this FUNdraising event on Thursday 4/7 at 8:00 pm to benefit the Leukemia & Lymphoma…,3
God Damnit you tell me why this guy has to go through lymphoma sweetest ever #He'safighter…,6
"Coach Val, Justine and me. Father's Day 5K to benefit the Leukemia and Lymphoma Society #5k…",6
These beauties along some brooches are off to charity benefit for Leukemia and Lymphoma patients…,6
Come out and support the Leukemia and Lymphoma Society while having fun shaving a skull! #ΦΚΣ,4
Come support the LEukemia & Lymphoma Society and network with locals… …,5
Amazing time with amazing friends at last night's Leukemia & Lymphoma Society gala! @ Orlando…,5
Had an awesome time at the Man and Woman of the Year Gala. To support the Leukemia and Lymphoma…,5
LAST BAG IN THE LAST ROUND OF ABVD CHEMO#hodgkinslymphoma #hodgkinsdisease #lymphoma #abvd…,4
Twining with our #chemocurls. Met this little lady on YouTube who was battling Lymphoma at the…,12
"My little man, Landry, turned FOUR yesterday! I was raising money for Leukemia and Lymphoma for…",11
"Unfortunately, I was just notified that this lovely dog has Intermediate Cell Lymphoma... pic.twitter.com/2eS5MTmYJe",2
"With Sylvia, a survivor who battled lymphoma and is now in remission. She helps others newly…",1
Ready to sing my heart out for the #Leukemia and #Lymphoma Society event tonight!! I'm so…,1
Polo for purpose Leukemia & Lymphoma #polo #polosolidario #solidaridad #accion @ International…,1
"AIDS N : Hodgkin's lymphoma therapy, survival disparities seen in patients with HIV: Poor overall survival rates…",1
"AIDS N : Hodgkin's lymphoma therapy, survival disparities seen in patients with HIV",1
"AIDS N : Hodgkin's lymphoma therapy, survival disparities seen in patients with HIV",1
AIDS N : Treatment Disparity Identified in HIV-positive Black Patients With Hodgkin Lymphoma,1
AIDS N : Treatment Disparity Identified in HIV-positive Black Patients With Hodgkin Lymphoma,1
AIDS N : Treatment Disparity Identified in HIV-positive Black Patients With Hodgkin Lymphoma: Black patients with…,1
AIDS N : Black Hodgkin Lymphoma Patients with HIV Less Likely to Receive Treatment in US,1
AIDS N : Black Hodgkin Lymphoma Patients with HIV Less Likely to Receive Treatment in US,1
AIDS N : Black Hodgkin Lymphoma Patients with HIV Less Likely to Receive Treatment in US: Brown University research…,1
"AIDS N : Racial disparity lies at intersection of HIV, Hodgkin lymphoma Brown University: IMAGE: Black people make…",1
"AIDS N : Racial disparity lies at intersection of HIV, Hodgkin lymphoma Brown University",1
"AIDS N : Racial disparity lies at intersection of HIV, Hodgkin lymphoma Brown University",1
"AIDS N : Disparity lies at intersection of HIV, Hodgkin lymphoma",1
"AIDS N : Disparity lies at intersection of HIV, Hodgkin lymphoma",1
"AIDS N : Disparity lies at intersection of HIV, Hodgkin lymphoma: Black people make up an increasingly large share…",1
"Leukemia Lymphoma Society Support Group! (@ Florida Cancer Specialists & Research Institute in Lady Lake, FL)",8
"January 15th,2018 is Polo For A Purpose benefiting the Leukemia and Lymphoma Society. Limited…",12
#fureverfriend Bella the Black Lab has been diagnosed with lymphoma. I am now praying daily for…,11
"Partnered with The Leukemia & Lymphoma Society, Team in Training & I'll be officially running…",1
"The Leukemia Lymphoma Society - Polo For a Purpose Event in Wellington, FL. With Brandon…",1
"Mile post 23. Yea it's cold, 40°. #rundisney #hollywoodstudiosdisney #leukemia # lymphoma…",1
Volunteering for Leukemia & Lymphoma Society 5k @ #Epcot #rundisney @ Epcot - Walt Disney World,1
AIDS N : A new standard for HIV-associated lymphoma,8
AIDS N : A new standard for HIV-associated lymphoma: People with HIV-associated lymphoma can be treated effectively…,8
AIDS N : A new standard for HIV-associated lymphoma,8
"#jacksonville #jobs Fundraising Campaign Specialist - Leukemia & Lymphoma Society - Jacksonville, FL",8
"#jacksonville #jobs Fundraising Campaign Specialist - Leukemia & Lymphoma Society - Jacksonville, FL",8
"AIDS N : Higher CD4 Counts, Lower RNA Values Linked With Higher NHL, Sarcoma Incidence: Non-Hodgkin lymphoma and…",8
"The Leukemia & Lymphoma Society and Subaru Jacksonville partnered for the ""Subaru Loves to Care""…",8
My very last treatment with part of the army that cured my lymphoma!… …,9
"AIDS N : Don't deny HIV patents lymphoma treatment, say US researchers",7
"AIDS N : Don't deny HIV patents lymphoma treatment, say US researchers",7
"AIDS N : Don't deny HIV patents lymphoma treatment, say US researchers: HIV patients with lymphoma should be…",7
"Raising money for Leukemia and Lymphoma research!!!!' @ Channelside Bay Plaza, Tampa",11
Dropping by to thank Burlington for their efforts on behalf of the Leukemia and Lymphoma... pic.twitter.com/KNnhQUCshN,11
"#Repost with repostapp ・・・ Join the Leukemia & Lymphoma Society on Friday, November…",11
AIDS : Expression of HIV-1 matrix protein p17 and association with B-cell lymphoma in HIV-1 transgenic ...: Of the…,11
AIDS : Expression of HIV-1 matrix protein p17 and association with B-cell lymphoma in HIV-1 transgenic ...,11
AIDS : Expression of HIV-1 matrix protein p17 and association with B-cell lymphoma in HIV-1 transgenic ...,11
"AIDS : Hepatitis B, C Linked to Non-Hodgkin Lymphoma in HIV Patients",11
"AIDS : Hepatitis B, C Linked to Non-Hodgkin Lymphoma in HIV Patients: These findings show that early diagnosis and…",11
"AIDS : Hepatitis B, C Linked to Non-Hodgkin Lymphoma in HIV Patients",11
Rizzo went to Douglas High in Parkland. Overcame Hodgkin's Lymphoma. Now he's a World Series Champion. NBC 6 South…,11
"AIDS : Chronic Hepatitis B, C Linked With Non-Hodgkin Lymphoma in HIV Patients",10
"AIDS : Chronic Hepatitis B, C Linked With Non-Hodgkin Lymphoma in HIV Patients",10
"AIDS : Chronic Hepatitis B, C Linked With Non-Hodgkin Lymphoma in HIV Patients: “Early diagnosis and treatment of…",10
Having had Hodgkins lymphoma cancer and now dealing with a chronic disease like Hidradenitis…,10
AIDS : HBV and HCV coinfection may increase non-Hodgkin's lymphoma risk in HIV-infected patients: 1. Compared to…,10
AIDS : HBV and HCV coinfection may increase non-Hodgkin's lymphoma risk in HIV-infected patients,10
AIDS : HBV and HCV coinfection may increase non-Hodgkin's lymphoma risk in HIV-infected patients,10
"AIDS : HIV, HBV/HCV coinfection associated with non-Hodgkin's lymphoma",10
"AIDS : HIV, HBV/HCV coinfection associated with non-Hodgkin's lymphoma: Patients with HIV who receive…",10
"AIDS : HIV, HBV/HCV coinfection associated with non-Hodgkin's lymphoma",10
"AIDS : American College of Physicians: People living with HIV (PLWH) have a high risk for lymphoma, particularly…",10
"So impressed with the turnout at the “Light the Night” walk to fight leukemia and lymphoma,…",11
Great turnout for “Light the Night” walk to fight leukemia and lymphoma. Especially proud of the…,11
Excited is an understatement as we prepare for the Leukemia Lymphoma Society’s “Light The Night”…,11
Today marks what would have been my mom’s 95th Birthday!! As we approach the Leukemia Lymphoma…,10
"Leukemia Lymphoma Society Support Group Meeting (@ Florida Cancer Specialists & Research Institute in Lady Lake, FL)",10
"Leukemia & Lymphoma Society Support Group Time! (@ Florida Cancer Specialists & Research Institute in Lady Lake, FL)",3
"Middle Mediastinal Mass -20% of mediastinal masses -Adenopathy (Usually Leukemia/lymphoma, also TB) -Foregut Duplication #CPPS2017 #PulmCC",2
anterior mediastinal Masses -Lymphoma/Leukemia most common -Germ Cell Tumors (85% Teratoma) -Thymus #CPPS2017 #Tweetiatrician #PulmCC,2
In bed crying insurance company won't cover pet scans for lymphoma and sarcoidosis (@ my secret hideout),2
From raising money for The Leukemia and Lymphoma Society for our… …,2
"My new parking lot lymphoma sarcoiidosis (@ West Boca Medical Center in Boca Raton, FL)",4
I'm honored to be a Leukemia & Lymphoma Society Woman of the Year candidate for #mobilealabama…,4
Cocktail for a cause $1 from every drink sold will be donated to the leukemia and lymphoma…,4
"Tuesday, 3/28 •Ft. Walton Beach Medical Center benefiting the Leukemia and Lymphoma Society 1000…",3
Leukemia & Lymphoma Society Man & Woman of the Year kick-off event!,3
"Tuesday, 3/21 •Ft. Walton Beach Medical Center benefiting the Leukemia and Lymphoma…",3
Today is the last day to donate to the link in my bio for the Leukemia & Lymphoma Society - help…,3
So honored to be nominated as a National All Star in the 2017 Leukemia & Lymphoma Society’s Man…,3
#fbf Back to fundraising for the Leukemia & Lymphoma Society at World of Beer in Downtown…,6
Father's Day 5K to Benefit the Leukemia and Lymphoma Society. It's gonna be a slow run!…,6
#Caturday and time for Mai Tai's first chemo treatment for large cell lymphoma. The diagnosis…,6
"AIDS N : AHCT Safe, Effective Option for Patients With HIV-Associated Lymphoma",6
"AIDS N : AHCT Safe, Effective Option for Patients With HIV-Associated Lymphoma: “The availability of effective…",6
