tweet_text,month_of_tweet
This what 19 months #leiomyosarcoma free looks like. #grateful #cancer #sarcoma…,4
It's not how long we live but how strong we live. #tbt #neverquit #standuptocancer #sarcoma…,12
Thankful just to watch the powder blue skies pass by. #gratitude #sarcoma #limbsalvageWarrior…,4
After my #limbsalvage #sarcoma I'm always cold but not anymore! Thanks to lil.monsta.melanie…,4
Join us at the Wendy Walk April 17th and help cure rare sarcoma cancers! #SpearSarcoma #CureASPS…,4
Celebrating #sarcoma #cancer Free for 18 months by hitting cancer harder than it hit me. Im…,4
That was easy Time for #guinness #nevergiveup #sarcoma #cancersurvivor #lifeisgood @ Moffitt…,3
Grateful for another sunrise. #gratitude #grateful #standuptocancer #sarcoma #leiomyosarcoma…,11
"15 months ago I was diagnosed with stage 4 Metastatic Ewing’s Sarcoma. Yesterday, 3 months into…",11
"HFH Sarcoma Research Hospital is fully under way! A full research hospital, cancer foundation,…",10
AIDS N : Kaposi Sarcoma Scared Me Back to My HIV Treatment,9
"AIDS N : Kaposi Sarcoma Scared Me Back to My HIV Treatment: Last October, I came out. Everyone who knows me was…",9
AIDS N : Kaposi Sarcoma Scared Me Back to My HIV Treatment,9
AIDS N : HIV Patients With Kaposi's Sarcoma Healthier at Cancer Diagnosis in A Era,8
AIDS N : HIV Patients With Kaposi's Sarcoma Healthier at Cancer Diagnosis in A Era: More patients with HIV and…,8
AIDS N : HIV Patients With Kaposi's Sarcoma Healthier at Cancer Diagnosis in A Era,8
"AIDS N : Higher CD4 Counts, Lower RNA Values Linked With Higher NHL, Sarcoma Incidence: Non-Hodgkin lymphoma and…",8
"AIDS N : Higher CD4 Counts, Lower RNA Values Linked With Higher NHL, Sarcoma Incidence",8
"AIDS N : Higher CD4 Counts, Lower RNA Values Linked With Higher NHL, Sarcoma Incidence",8
AIDS : Pomalidomide Active in Kaposi Sarcoma Regardless of HIV Status: Pomalidomide is active and well tolerated…,10
AIDS : Pomalidomide Active in Kaposi Sarcoma Regardless of HIV Status,10
AIDS : Pomalidomide Active in Kaposi Sarcoma Regardless of HIV Status,10
AIDS : Pomalidomide for Symptomatic Kaposi's Sarcoma in People With and Without HIV Infection,10
AIDS : Pomalidomide for Symptomatic Kaposi's Sarcoma in People With and Without HIV Infection: In patients with…,10
AIDS : Pomalidomide for Symptomatic Kaposi's Sarcoma in People With and Without HIV Infection,10
Every moment is a lifetime to live. #grateful #gratitude #standuptocancer #sarcoma…,9
Outstanding efforts to create #sarcoma awareness through artzcuresarcoma #ArtzCureSarcoma…,9
"Today is my 3rd Birthday after a bare knuckle brawl with Cancer. Sarcoma does not define me, it…",4
Chandler Espina a young man I coached has been diagnosed with Ewings sarcoma. A rare aggressive…,4
Chandler Espina a young man I coached has been diagnosed with Ewings sarcoma. A rare aggressive…,4
"AIDS : Men with HIV, nonmelanoma skin cancer at greater risk for Kaposi's sarcoma",4
THE WENDY WALK! Walk to raise funds to fight sarcoma! #wendywalk #fundraiser #raredisease…,3
THE WENDY WALK! Walk to raise funds to fight sarcoma! #wendywalk #fundraiser #raredisease…,3
Happy Friday. I'm so grateful for all the love and prayers. Sarcoma has a way of reminding you…,8
Every Sunset is a miracle. #nofilter #grateful #gratitude #standuptocancer #sarcoma…,5
Cat scan time. Sarcoma life for a day. #limbsalvagewarrior #leiomyosarcoma #cancer #grateful for…,6
Almost 2 years #cancer #free #sarcoma #moffitt #limbsalvagewarrior #leiomyosarcoma @ Bear Lake FL,6
"Join us in celebrating Sarcoma Awareness Month with drinks, appetizers, and live music! Make…",6
Let’s go lightning #tampabaylightning #florida #hockey #cancercenter #sarcoma…,12
Here again #fuckcancer #cancerfighter #sarcoma #goyellow #gogold #teambeanz #teamjayden…,11
