tweet_text,month_of_tweet
APOCALYPSE : USA & THE WHOLE WORLD VS FRENCH REPUBLIC & ACCOMPLICES … THE WRATH OF 7 BILLION BELIEVERS,9
Recent actions may resurface today for further consideration. ... More for Cancer,9
'Cancer Moonshot' Panel: Focus on Immune Therapies: 'Immunotherapy is important. We need to understand it bet...,9
Discretion is essential today while penetrating Pluto stimulat... More for Cancer,9
They're a gotdamn cancer on our republic. …,9
Cancer breakthrough: Scientists develop 'smoke detector' test that can spot disease before symptoms are notic...,9
You're feeling your oats now that the radiant Sun is reinforce... More for Cancer,9
Opportunities for personal satisfaction rise from the ashes of... More for Cancer,9
You are busier than usual now yet may seek even more distracti... More for Cancer,9
Your heart is alternatively attracted and repulsed to someone ... More for Cancer,9
he cant hes scum enemy of the state tried to ruin irish republic or do you people immunize with cancer,9
Whether you are pursuing a passionate interest or promoting a ... More for Cancer,9
… do people not give a shit anymore? This is corruption BANANA REPUBLIC.Cancer eats trust #MAGA #crookedhillary,9
. Our constitutional republic is designed only for a moral people. Corruption is insidious cancer,9
Nationalism is a cancer on a republic. Here is James Madison describing the act of establishing the federal...,9
"Although you might be dreaming of an exotic vacation, the only... More for Cancer",9
Finding the right words to let someone know how you feel can b... More for Cancer,8
#traveltuesday The week I escaped cancer and headed to the Dominican Republic.,8
"Erna from Republic of Cameroon, Africa #AIDSfreeGen #Cancer #freedom #Scalarama2016 #hepatitis #healingaparadise",8
"You might feel as if you're caught in a time loop, revisiting ... More for Cancer",8
THE REPUBLIC: Joy FM deflates ANTI-NHIS propaganda** down with cancer. #MorningStarrpic.twitter.com/OTzYanPOSc,8
"The biggest cancer on our great democratic republic is the half-truth, or downright lie, presented as truth.",8
"The biggest cancer on our great democratic republic is the half-truth, or downright lie, presented as truth.",8
"You know the solution to a lingering problem, but you don't wa... More for Cancer",8
Cervical cancer prevention through immunization - Fairfield Daily Republic,8
You're not interested in shaking up the world with your radica... More for Cancer,8
"You seem to have plenty of information to share today but, tha... More for Cancer",8
You might be grappling with the fine line between fact and fan... More for Cancer,8
