tweet_text,month_of_tweet
Robert Gowney Junioring for a great cause. A pleasure supporting the Leukemia & Lymphoma Society…,2
"A quick fly by (@ NYPH-WCMC Division of Hematology-Oncology Clinical Trials Office: Leukemia Team in New York, NY)",2
Getting ready for the AFRMC #Broadway Benefit for AML #leukemia research at #Israel's…,4
Te..te...te...Terry and the #Mets. #WelcomeHomeDinner #charity #Awareness #Leukemia #Lymphona…,4
at Midtown Comics Times Square for The Leukemia & Lymphoma Society CT…,4
"Came home to support those diagnosed with leukemia in this 4 mile race. Great cause, great…",3
We took over fitness yesterday For the Leukemia and Lymphoma Society #getcycd…,3
"Harlem Coffee Tour this rainy morning to benefit the Leukemia and Lymphoma Society, and support…",5
Friday: time well spent w/ at the Light The Night Soirée by the Leukemia &…,2
#girlpower at The Leukemia and Lymphoma Society Soiree @ 3 West Club,1
Craig Sager is hanging tough in his leukemia battle; he's unfazed by the odds,9
Today's #lyfestory #highlights #journey as a young #iceskater with #leukemia to…,8
This 4-year-old cop is fighting crime and leukemia,8
It's Monday and Its Official in September it's Me against you Leukemia and I know for sure I'm…,8
Comedian Charlie Murphy died after losing his battle with leukemia. He was 57. #RIP @ Gotham…,4
#HIPROFILEMAGAZINENEWS: Comedian Charlie Murphy Dead at 57 From Leukemia #RIPMURPHY #SIPCGARLIE… …,4
Comedian Charlie Murphy Dead at 57 After Leukemia Battle....... GO TO for your…,4
#RIPCharlieMurphy Gone at 57 due to lost battle of Leukemia… …,4
Proud to be a part of this noble cause. Today we rocked it out in the name of The Leukemia &…,4
Hello friends! I have the honor of teaching a ride benefiting the Leukemia & Lymphoma Society…,3
#TBT The wonderful and talented Jennifer sings for Music Cures Benefit Concert For Leukemia &…,3
Let's beat cancer together! To make a donation to the Leukemia and Lymphoma Society for cancer…,5
"Chronic illnesses, such as diabetes or leukemia, may interfere with healing after surgery.…",5
"Heavy Ride today. I ride for my friends with BREAST CANCER, PROSTATE CANCER, LEUKEMIA, MULTIPLE…",4
We support #leukemia #awareness #origamiowl #buzzyourstory Perfect way to express yourself and…,1
"A01354 [NEW] Provides a program to promote leukemia, lymphoma and myeloma research, education and treatment and e...",1
"S00970 [NEW] Provides a program to promote leukemia, lymphoma and myeloma research, education and treatment and e...",1
Child with leukemia fulfills dream of conducting orchestra,12
Make someone smile today #colorturkey #leukemia @ Turkish Philanthropy Funds,11
Benefit for Leukemia & Lymphoma Society bronxbackyardsundays at McGoo's 2pm - 7pm.…,11
"In 2014, my friend Meghan's little girl Carly, was diagnosed with a rare form of Leukemia. She…",11
Leukemia & Lymphoma Night Walk,11
"Bernie Sanders demands info after price of leukemia drug is hiked to nearly $200,000 a year",10
This ones for you Nana. You may have lost your battle with Leukemia… …,10
Wonderful fundraiser for the Leukemia and Lymphoma Society. Amazing… …,10
Leukemia and Lymphoma Society- Light The Night Walk 2016… …,10
At Leukemia & Lymphoma Society #mwoy2016 gala awesome fun and great cause! @ 583 PARK AVENUE,6
Final event at SummerStage. The Light the Night Leukemia Fundraiser. Perfect way to end the…,10
Light the night walk #LLS #leukemia #lymphoma Someday is today @ Light the Night Eisenhower Park,10
#LighttheNight events for the Leukemia & Lymphoma Society is about saving the lives of patients…,10
Taking in the sights on a harbour cruise for charity #leukemia #charityevent #nyc #salesforce…,6
3rd annual Macquarie 5k fun run for Leukemia @ Riverside Park… …,6
"When I was barely six, I lost a good friend to #leukemia. Back in the 70s bone marrow donation…",6
"A01354 [Engross] Provides a program to promote leukemia, lymphoma and myeloma research, education and treatment a...",6
Every white light is a Leukemia or Lymphoma survivor! @ Rumsey Playfield,10
"Light the Night NYC, Supporting the Leukemia Lymphoma Society @ Central Park",10
This Wednesday help us help a young girl with A.L.L Leukemia pic.twitter.com/S0w6RnaS8N,12
It's #givingtuesday !! Donate to Leukemia and Lymphoma Society or any organization today if you…,11
The War is Almost Over I can feel it in my BLOOD!!!! Leukemia Got Nothing On ME My MONDAY…,8
A you and your very sweet note left for a brave young girl facing leukemia . Stay strong…,8
