tweet_text,month_of_tweet
Is #prostate cancer getting more aggressive? #menshealth #prostatecancer pic.twitter.com/U5BPFMh1d9,8
"#Repost our cancer story from the front page yesterday! ・・・ It was 1968, and the…",8
Making Waves to Fight Cancer - - @ Lynbrook Village Pool,8
2 thumbs up on #TeamTuesday! The siyankees shaved heads and raised nearly $10K to…,8
"WHAT FIGHTING PRETTY MEANS TO CHIARA D'AGOSTINO, BREAST CANCER SURVIVOR …",8
Got my head shaved tonight for pediatric cancer awareness! #nofilter… …,8
"Fuck cancer (@ Evelyn H. Lauder Breast Center in New York, NY)",8
Good Morning #HottestHostInNYC #StreetLoyalty #FKCancer @ Herbert Irving Cancer Center at…,8
"The three fundamental tenets of cancer survivorship: access, navigation and dignity.…",8
Watchful waiting & #prostate cancer. #menshealth #prostatecancer pic.twitter.com/oB7UFEFJ6n,7
Dragon boat Saturday for the fight against cancer! Paddle for the cure! #SupportCancerResearch…,7
dj_peteyc #charity #vpevents #wegiveback #cancer #tommyt @ Woodhaven House,7
"Visiting Nadia! (@ Memorial Cancer Center in New York, NY)",7
Texas teen battling bone cancer shot to death days before he was to receive Make-A-Wish gift,7
"Visiting Nadia (@ Memorial Cancer Center in New York, NY)",7
United States Mint 2018 Breast Cancer Awareness Commemorative Coins Design Competition pic.twitter.com/s87Sc1B4gx,7
Early detection of #cancer 'The Pap test' by #GeorgePapanicolau @ Weill Cornell Medicine,7
The best of Rye. Prostate cancer(PC) is the most commonly diagnosed cancer in the world. A 3…,7
Here's why #redheads are at higher risk for skin #cancer. #menshealth #womenshealth pic.twitter.com/6KBBuJQP91,7
Earliest Human Cancer Found in 1.7-Million-Year-Old #Bone via,7
#YES #Biden #killcancer #dnc let's talk about cancelling #cancer #realenemylaughingatyou…,7
"I know there's a cure for cancer. Like Carter Pewterschmidt said, ""there's far more money to be made in treating a disease than curing it.""",7
That's the ceiling to roll over!! :) #mskcc #interior #decor @ Memorial Sloan Kettering Cancer…,7
"I'm at Beth Israel Comprehensive Cancer Center in New York, NY",7
"Miss Cleo, iconic TV psychic, dead of cancer at 53",7
Visiting NY Presbyterian hospital to discuss go live date #ostomy #ibd #cancer…,7
Food's influence on #cancer risk. #menshealth #womenshealth pic.twitter.com/RPTGZ7vxNj,7
"Worried about skin cancer. Ok cool, umbrella in the sun. Lung cancer??? Not so worried lol.",7
#MONACO_SATURDAYS TONIGHT WE SOLD OUT ALL #CANCERS AND #LEOS WELCOME TO PAY HERE RSVP…,7
Did you know that genetic testing is an option for #prostate cancer diagnosis? #menshealth pic.twitter.com/a397hKcXk6,7
"#birdyearsummer #birthday #cancer #leo #nyc @ Hoboken, New Jersey",7
S08107 [Passed] Relates to excused leave to undertake a screening for prostate cancer.,7
"This weekend, choose to spread joy. #avon39 #breastcancer @ AVON 39 The Walk to End Breast Cancer",7
Happy birthday to one of my favorite guys #Enjoy… …,7
"FUCK CANCER @ New York, New York …",7
Early warning for recurring prostate cancer. #menshealth #prostatecancer pic.twitter.com/nhVph4cL9T,7
"Sadly, this past Saturday, we said goodbye to Margarita Diaz. After her battle with cancer, she…",7
Save the DateLooking forward to it September 19th #ninenineteen #cancer #cancerawareness…,7
"Sadly, this past Saturday, we said goodbye to Margarita Diaz. After her battle with cancer, she…",7
To catch a #catfish. Why do they always have a #dead #wife? And they give her #cancer which is…,7
"Sadly, this past Saturday, we said goodbye to Margarita Diaz. After her battle with cancer, she…",7
With Peter-Dad getting a shot and PSA checked. (@ The Sidney Kimmel Center for Prostate and Urologic Cancers),7
Good Morning #HottestHostInNYC #StreetLoyalty #FKCancer @ Herbert Irving Cancer Center at…,7
Here's how you can fight #prostate cancer with diet changes. #menshealth #prostatehealth pic.twitter.com/2wxRPT4yAP,7
BLM-influenced killers targeting #police are just as bad as the Islamist terrorists. Exact same cancer: hatred. #BatonRouge #AllLivesMatter,7
"Sadly, this past Saturday, we said goodbye to Margarita Diaz. After her battle with cancer, she…",7
Please consider making a donation to help kids with cancer and their families. 5 miles in…,7
FOOD AND HOOKAH IS AVAILABLE! SHOUT OUT TO ANY CANCERS COMING OUT TONIGHT!!! @ Podium Night Club,7
Enjoy your weekend #HottestHostInNYC #Streetloyalty #FKCancer @ Herbert Irving Cancer Center at…,7
#thecrew came out for my birthday #feelinloved #happybdaytome #cancer #cancerbitch @ FREEHOLD…,7
Just posted a photo @ Memorial Sloan Kettering Cancer Center …,7
"26TH ANNUAL CONFERENCE: LIVING WITH CANCER, CONFRONTING THE CHALLENGE …",7
Colon #cancer may be reduced by eating #walnuts! #menshealth #womenshealth pic.twitter.com/JKeUcqSx6a,7
90. That is the number of documented cases of men diagnosed with the particular type of cancer…,7
S08107 [Enroll] Relates to excused leave to undertake a screening for prostate cancer.,7
"Kiss My Ass! It's my birthday, bitches!! #jibjab Cancer women kick ass!! @ Visco Disco",7
The birthday celebrations still rolling in ... S/O my #CANCER buddy we LiTT ...…,7
Cancer is a big ass ho.,7
