tweet_text,month_of_tweet
#girlpower at The Leukemia and Lymphoma Society Soiree @ 3 West Club,1
Robert Gowney Junioring for a great cause. A pleasure supporting the Leukemia & Lymphoma Society…,2
at Midtown Comics Times Square for The Leukemia & Lymphoma Society CT…,4
We took over fitness yesterday For the Leukemia and Lymphoma Society #getcycd…,3
"This is Linda Woods, a 33-year lymphoma survivor — and my new friend and hero. #chemovacay…",6
At Leukemia & Lymphoma Society #mwoy2016 gala awesome fun and great cause! @ 583 PARK AVENUE,6
and are happy to support lauraolivares6571 fundraiser for the Lymphoma…,6
"A01354 [Engross] Provides a program to promote leukemia, lymphoma and myeloma research, education and treatment a...",6
"A01354 [NEW] Provides a program to promote leukemia, lymphoma and myeloma research, education and treatment and e...",1
"S00970 [NEW] Provides a program to promote leukemia, lymphoma and myeloma research, education and treatment and e...",1
It's #givingtuesday !! Donate to Leukemia and Lymphoma Society or any organization today if you…,11
'Extraordinary' new cancer drug appears to cure a third of terminal lymphoma patients in small study …,3
Let's beat cancer together! To make a donation to the Leukemia and Lymphoma Society for cancer…,5
Two #survivors hanging out! #makeawishfoundation #breastcancer #lymphoma,5
Fuck lymphoma. @ Brooklyn Bridge …,4
Every white light is a Leukemia or Lymphoma survivor! @ Rumsey Playfield,10
"Light the Night NYC, Supporting the Leukemia Lymphoma Society @ Central Park",10
"Harlem Coffee Tour this rainy morning to benefit the Leukemia and Lymphoma Society, and support…",5
Wednesday Views brought to you by @ Wall Street,4
"Last night our beautiful and brave girl lost her battle with lymphoma. Already, our home is just…",7
"Lymphoma & Myeloma 2016 (at New York in New York, NY) pic.twitter.com/HGEdE7JFcu",10
"Lymphoma&Myeloma Meeting 2016. Back again. (at New York in New York, NY)",10
Hello friends! I have the honor of teaching a ride benefiting the Leukemia & Lymphoma Society…,3
Ready to ride for my badass sister who lost a hard fought battle of Hodgkin Lymphoma 11 years go…,3
"This Is For killah.ky aka Kyla Malbon, My Man, Mike Malbon’s Daughter. Kyla Is Fighting Lymphoma…",12
Light the night walk #LLS #leukemia #lymphoma Someday is today @ Light the Night Eisenhower Park,10
#LighttheNight events for the Leukemia & Lymphoma Society is about saving the lives of patients…,10
#Support #LightThenight #luekemia & #lymphoma #cancer Walk #Clicklinkin mema_sanders #Bio #…,10
Benefit for Leukemia & Lymphoma Society bronxbackyardsundays at McGoo's 2pm - 7pm.…,11
Leukemia & Lymphoma Night Walk,11
Wonderful fundraiser for the Leukemia and Lymphoma Society. Amazing… …,10
Leukemia and Lymphoma Society- Light The Night Walk 2016… …,10
