tweet_text,month_of_tweet
"So inspired by my experience tonight as MC of curesarcoma BLOWN away by these Sarcoma Survivors,…",5
TEAM SUNNY BENEFIT CONCE FOR SARCOMA AWARENESS. I never really played this song Solo before.…,7
"""28 Times With You"" original song. TEAM SUNNY BENEFIT CONCE FOR SARCOMA AWARENESS AND TO FIND…",7
TEAM SUNNY BENEFIT CONCE FOR SARCOMA AWARENESS #iwishIcoulddomore #findacure #parisfashion…,7
Then end of 28 Times (With You) solo run tonight for TEAM SUNNY BENEFIT FOR SARCOMA AWARENESS!…,7
Solo appearence for TEAM SUNNY BENEFIT CONCE FOR SARCOMA AWARENESS. Kelley Kelley…,7
My client is so happy with her Cranial Prosthetic#cranial#sarcoma#nyc#hairloss#carcinoma#wigs,7
Coeur de Rosé Prestige was offered at the inspiring #sarcoma fundraising event held by…,9
Support artzcuresarcoma a foundation creating #sarcoma (a rare and orphan cancer) awareness &…,9
Have you purchased your tickets to the Artz Cure Sarcoma second annual benefit auction-taking…,9
A great evening at the Trunk Club for a very good cause all thanks to Artz Cure Sarcoma!,9
"Maison CR supports Artz Cure Sarcoma, an organization dedicated to creating #sarcomaawareness…",9
