tweet_text,month_of_tweet
... @ MD Anderson Cancer Center …,2
Experts warn being fat is worse than smoking as stats show 1 in 5 cancer deaths caused by…,2
The two most inspirational women in my life! One has survived pancreatic cancer for 10 years and…,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Another milk stout! Really good - Drinking a FU Cancer by at —,2
F Cancer,2
I imagine that you haven't heard him speak about his recent cancer and his subsequent recovery. He's still sharp.,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
"Today is this fabulous lady's 12th year as a cancer survivor. So lucky to have such a sweet,…",2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
Young cancer patients to show off their artistic talent in a sweet way,2
"HR683 [NEW] Recognizing the month of February 2016 as ""National Cancer Prevention Month"" in Pennsylvania.",2
Hate Cancer? We do too! Now taking donations for silent auction and prize drawings to support…,2
Done with the fun for today @ UF Health Cancer Center - Orlando Health …,2
Zeta is selling fresh strawberries from Florida to raise money for breast cancer! Text me if you…,2
"Apple & Mango supports immunity...Apple fights lung and prostate cancer...Mango lowers ""bad""…",2
"Join the fight against cancer with the department on Wednesday, Feb. 10 at the…",2
We are up to something big. Stay tuned! #WageHope @ Pancreatic Cancer Action Network,2
"Kicking cancer to the curb (@ Gonda Building - in Rochester, MN)",2
Rewarding evening at the Emory Winship Cancer Institute. Kudos to Joel Katz and the T.J. Martell…,2
"What's a day without a doctor! -just blood work today. :) (@ Toledo Clinic Cancer Center in Toledo, OH)",2
Me and my troop Yeah she kicked cancer's butt... #mylove #inlove #bebe #instagramers #instaday…,2
Mr Hunter to u @ MD Anderson Cancer Center …,2
"Got Cancer or know someone who does? Go to amazon and get a copy of dr Nalini Chilkov's book,…",2
"Spent the morning with dad, he's a warrior. He's battled cancer for… …",2
"I'm at Emily Couric Clinical Cancer Center in Charlottesville, VA",2
"#CUSwewearRed Heart disease kills more women annually than all forms of cancer combined, making…",2
Need to talk with nurse about Father-in-laws medication. (@ Lymphoma and Myeloma Center- MD Anderson Cancer Center),2
Hi friends! My sorority is selling t-shirts again for breast cancer awareness! They are $10 and…,2
"Our National Cancer Day was observed for Scott Fowler. @ Neshoba,… …",2
Art Leaders doing face painting to raise money for 6th grade student with cancer! Pink out! #stcr13 #stcjrhighpic.twitter.com/Bob2HiQg2j,2
"#Nevergiveup #gratitude #life (@ Moffitt Cancer Center in Tampa, FL)",2
"I'm at UF Health Cancer Center Orlando in Orlando, FL",2
AB1795 [NEW] Health care programs: cancer.,2
"I'm at M. D. Anderson Cancer Center Mays Clinic - in Houston, TX",2
Today is World Cancer Day (WCD) ~ We fight cancer together...No one is in this fight alone. It…,2
Boom. World Cancer Day 2016. 02.04.2016 #NOHAIRSELFIE #NOHAIRSELFIE2016 Raise awareness about…,2
Celebrating cancer survivorship I look like a grown up lol @ Bahama Breeze Island Grille,2
Pink on Thursday. We support Breast Cancer. @ Oak Hills High School,2
"Today is World Cancer Day!!! To all the survivors, fighters and warriors who have gone home you…",2
That post TRE glow! We've been teaching weekly TRE groups for Cancer Support Community Pasadena…,2
"there's only one hour left of world cancer day, but an hour is enough to remind everyone that no…",2
Drinks with my people. #thoushallflourish #everybodyneedsaschmidt #nickisschmidt #cancers,2
Woman seeks $4M for undiagnosed breast cancer,2
Please say a little prayer for my mom tonight ... she's going back to the Levine Cancer…,2
"SM47 [Passed] Jan. 29 As ""children's Cancer Fund Of Nm Day""",2
For Stand Up to Cancer and Alan Rickman #standuptocancer #worldcancerday2016 #always…,2
Because cancer sucks. UD's Relay for Life is April 9-10. Sign up at:… …,2
"So honored to be a part of the 2016 Cowford Ball to benefit the American Cancer Society, a cause…",2
"In honor of World Cancer Day, all Challenge Packs and Shakeology… …",2
"SM78 [NEW] ""create Hope For A Cancer-free World Day""",2
"please listen, the so called media is the cancer to India; please treat it now or pay the heavy price later.",2
More Hope For The Hopeless On The Tail End Of This World Cancer Day.535lb Deadlift From The…,2
"Hate Cancer, Love the TEAM! Shout out to all the movember supporters and those fighting to end…",2
Today is World Cancer Day. Cancer affects way too many people and… …,2
Did you know today is World Cancer Day? Today is a reminder of why I THON for those lucky enough…,2
World cancer day is celebrated on February 4th to raise awareness of all types of cancer and to…,2
Found out about chair yoga today for #worldcancerday Non profit River Bend Cancer... pic.twitter.com/GjcjjNBp6r,2
Honoring the cancer docs and researchers and volunteers on #WorldCancerDay #pancreaticcancerpic.twitter.com/RBSupWMBNg,2
Had my first bulletproofcoffee today. Delicious and I think I might be able to cure cancer now.…,2
Today is World Cancer Day and I want to praise all of the cancer fighters and cancer survivors…,2
Today is World Cancer day which means another lame collage and some ugly pics of me! But in all…,2
Today we met a homeless man with terminal cancer who only wanted a hug and a prayer! Sometimes…,2
