tweet_text,month_of_tweet
Please pray for our friends. A wife and mother passed away from complications of leukemia last…,7
Loving my new home. Great views. Sookie loves it. We love it. 1 downfall. Mother has leukemia. (@ Twp of Harmar),7
#chemodone #thiskidsurvived #LEUKEMIAlost #LEUKEMIA @ Children's Healthcare of Atlanta-Egleston-ER,7
"Dear Leukemia, you picked the wrong body to mess with. I hope you… …",7
The many faces of bloodcancer . #somedayistoday #LLSMSLA #beatcancer @ The Leukemia &…,7
One of my favorite nights; the Annual Meeting for the Leukemia & Lymphoma Society - Illinois…,7
One of my favorite nights; the Annual Meeting for the Leukemia & Lymphoma Society - Illinois…,7
Let's talk about #Lymphoma . #LLSMSLA #bloodcancerawareness @ The Leukemia & Lymphoma…,7
"An estimated 173,000 Americans will be diagnosed with leukemia, lymphoma or myeloma in 2017, and…",7
Working tirelessly towards a #cancerfree world. #LLSMSLA #somedayistoday @ The Leukemia &…,7
Who said that leukemia can't and won't bow to the name and blood of JESUS ... This is why I just…,7
Had an amazing weekend and a successful Leukemia Cup Regatta! Alway loving getting back in my…,7
"As he succumbed to leukemia, Bill Walsh came to terms with the… …",7
Cure Leukemia once and for all! @ Poelker Park …,7
Join me in sending prayers to Chris Bradley My story today on his leukemia battle,6
#lcbc is using their hands and hearts to provide essentials to a child with #leukemia and their…,6
"Leukemia Cup 2017 J/70 1st Place Winners! Way to go, guys! @ Houston Yacht Club",6
The Leukemia and Lymphoma Society of Birmingham held their finale last Saturday and these young…,6
Chemo Funday Friday! Believing for no leukemia in the CSF again and… …,2
DPJH 8th graders look to help classmates battle leukemia,2
Day One of Ava's fight with Leukemia. It's been a tough few days. We take comfort in knowing…,2
Beautiful smile. Beautiful Princess. @ Chalet Brannan Leukemia Foundation,2
"leaving the lights on / tonight, remember Jeffrey / cure leukemia #1000lights…",1
We took the challenge! #BigDClimb Presented by The #Leukemia & #Lymphoma Society! We climbed…,1
From last night's Leukemia and Lymphoma Society Light the Night Award Event at the Ritz-Carlton…,1
Leukemia and Lymphoma Society Light the Night Walk Awards Party #lls #lightthenight #sanfrancisco (at,1
I did the snow angel challenge for my 4year old friend fighting leukemia. I challenge all my mx…,1
Prayers to and his family. His daughter was recently diagnosed with Leukemia. …,1
Leukemia has officially taken the first shot. Spiked a high fever… …,1
#mom #loveher #queenmother #fighting with #leukemia #warrior @ Our Lady of the Lake Regional…,1
At #AmericanGirl Store with my TWIN Krystal #Beat leukemia,1
Ready to sing my heart out for the #Leukemia and #Lymphoma Society event tonight!! I'm so…,1
All this math Thank you to everyone who came out to support the Leukemia & Lymphoma Society at…,1
Polo for purpose Leukemia & Lymphoma #polo #polosolidario #solidaridad #accion @ International…,1
2-year-old adopted; diagnosed with leukemia next day …,1
Spirit week is sponsored by the PG Student Council. Cost is $1 per day. Funds raised go to the Leukemia & Lymphoma society.,1
"after a long 7 months of fighting leukemia, my dad is officially… …",1
23-year-old Florida woman with leukemia marries at hospital …,1
As most of everyone know Chad was recently diagnosed with Chronic Myloid leukemia. The last…,1
i HAVE LEUKEMiA - EVA TO JOEY #DAYS,1
"Leukemia and Lymphoma Society reception (at in Austin, TX)",1
"Please Retweet! Local boy, 5, W/ leukemia, wants postcard love. How you can help: SCTweets …",1
After winning his battle with leukemia Jason Carter celebrated his Road to Recovery at the Grand…,1
And she still smiles: Columbus natives fight infant leukemia,1
"Splenda ingredient, sucralose, linked to leukemia …",3
"Leukemia survivor, 5, gets big surprise",3
Nutrition watchdog sours on Splenda after study links sweetener to leukemia,3
The Leukemia & Lymphoma Society Man & Woman of the year kick off event. @ Fairmont Sonoma…,3
My parents get to sleep in a normal bed for the 1st time in a month tonight! Pretty excited! #Cancer #AML #leukemia pic.twitter.com/U73smrpxNh – at Phoenix Children's Hospital,3
"Splenda linked to leukemia, study finds KSATnews",3
New study links Splenda to leukemia …,3
#nationalpancakeday we #donated to support #cancerresearch for #children #leukemia #lymphoma…,3
Please pray for cousin Geneva Gomez who is now fighting leukemia.… …,3
In Part 2 of our visit to Shadow Cats we talk about the care received by cats with feline leukemia. …,3
#Repost with repostapp. ・・・ First time...some fundraising benefit the Leukemia &…,3
Support my candidate for Man of the Year for the Leukemia & Lymphoma society!! #cancersucks…,3
4 hours left to support Mikey Betz raise money for The Leukemia & Lymphoma Society! Raffle…,3
Enjoyed playing Rock For the Climb and supporting the Leukemia and Lymphoma Society. @ Love and War,2
The perfect class to come back to!! #fundraiser #leukemia #helpingkidswithcancer #fightlikeagirl…,2
Race to Anyplace Raising 140k plus for leukemia yesterday So awesome!!! @ Heinz Field,2
"He beat leukemia. Now, he's back on the mat wrestling alongside his brothers at Univ of Indianapolis.",2
Leukemia & Lymphoma Society Student of the Year Awards & Silent Auction (@ Loews Philadelphia Hotel),2
racing to the finish line to beat leukemia @ Children's Healthcare… …,2
Joe’s fiercest opponent was leukemia. The match lasted 3½ years. Joe won.,2
My hero. #mothersarethebest #selfie #momentos #amlsucks #leukemia @ Bootheel,2
"#mom #warrior #leukemia #loveher #prettywoman @ Prairieville, Louisiana …",2
"So I would love to see your support for Leukemia & Lymphoma society charity event!!! Live music,…",2
Everybody come to The Soda Shop tomorrow night between 6-8pm to raise money for the Leukemia…,2
Someday is today! Register for Light The Night Walkathon for the Leukemia and Lymphoma Society.…,2
"Hey guys, make sure to donate money to the Leukemia Lymphoma… …",2
So much fun at the Meyerson Symphony Center yesterday for the Leukemia Lymphoma Society…,2
So incredibly proud of my dear friends mrsgbetts and co-chairs of the Leukemia &…,2
"Alleviate prostate pain...Fights lung, colon, prostate, breast, and leukemia cancer…",2
Thank you for your continued support during my rematch against leukemia!…,2
She was 18 when she died in 1996 of leukemia! Hope another Hall of Famer doesn't pass away cuz there's been 2 many lately!!,2
Help my 8th grade homeroom win our school's Pennies for Patients drive to benefit the Leukemia &…,2
"I was 12 yrs old paid S.S. tax digging worms, now have Chronic Lymphosytic leukemia from pesticides and medically in debt",2
"Same dr & hosp.our beg richer our love, sicker his leukemia God is @ top of our love pyramid for 33 yrs he's mind & I'm his.#LoveNotes2016",2
#hatday #les #leukemia @ Lancaster Central School,2
as for you're information... My life is over!! A plastic anemia...leukemia!!! Not good enough medicalm,2
Just watching God help my friend and brother hall_customs and kick leukemia in…,12
"Just tossing this in there; I’m alive today thanks to ACA. 5.5 years fighting leukemia. In ur ramblings it’s better if I & others like me are dead instead of treated properly & not somehow figuring out how to pay for chemo that costs $14,500 per MONTH. 45 wanted to take it away.",12
"Tonight we lost a friend to leukemia. He was a brave man, loving husband, and hardworking…",12
"January 15th,2018 is Polo For A Purpose benefiting the Leukemia and Lymphoma Society. Limited…",12
Great sour ale. Also they donated this keg for kids battling leukemia. All great things. 100% donation. - Drinking a Cascarudo by at — #photo,12
"As a Childhood Cancer Survivor, Leukemia, this speaks to me so heavily on a personal level.…",12
From picking mandarins with the Face Off vs Leukemia to benefit alumni…,12
549 days ago Leukemia was introduced to my life.... 350 days ago I was able to say I kicked its…,12
"Teammates, Coaches Pitch in to Help Family of Boy Diagnosed with Leukemia",12
Come brunch with us and and for Leukemia fund…,12
One of my sons classmates was diagnosed with #Leukemia. Salt Creek Elementary School is hosting…,12
"I'm 99% sure that the airport just paged someone named ""Leukemia Davis""",12
Today is a very happy day. This is the 7 year anniversary of Lilly ending her Leukemia…,12
A 2015 study discovered that a specific type of leukemia #cancer… …,11
Walking for the cure.. Light the Night for Leukemia & Lymphoma pic.twitter.com/hkdfHrXwlm,11
#UberInTheCommunity #LightTheNight #Leukemia&LymphomaSociety @ Tampa Bay Lighting at Amalie Arena,11
"Fight Leukemia shoot (@ Social Circle Ace Home Center - in Social Circle, GA w/",11
Another successful event with Leukemia and lymphoma Society. Our lighted balloons helped light…,11
Dear fans. Today I became a stem cell donor to the big cheese aka my father. His leukemia…,11
"Battling leukemia, this awesome chef has always wanted to participate in the…",11
Staunton's Aaron Childs fights rare form of leukemia pic.twitter.com/6IhYEqgcNY,11
"Leukemia & Lymphoma Society Support Group Time! (@ Florida Cancer Specialists & Research Institute in Lady Lake, FL)",3
Got my pancakes for #NationalPancakeDay and donated to one of my favorite orgs - The Leukemia &…,3
We're live at the IHOP in Dundalk!National Pancake day benefits the Leukemia & Lymphoma Society. WJZ at 6:15! …,3
Last evening at The Red & White Ball. We are proud supporters of The Leukemia & Lymphoma Society…,3
Three stores later and our Rosa Parks Academy Leukemia & Lymphoma |… …,3
Child with terminal leukemia gets dream puppy,3
So proud of my nephew for winning 2017 Leukemia & Lymphoma Student of the Year Award…,3
Excited to kickoff my 4th campaign for the Leukemia & Lymphoma… …,3
Fight Cancer for Chloe kicks off today! I am raising money for Leukemia and Lymphoma Society…,3
San Antonio is one of a few cities across the country treating a new form of Leukemia. …,3
New strand of leukemia found in San Antonio child. Story at 6:00 on News 4 San Antonio …,3
"It's Fat Tuesday , Happy Mardi Gras everyone ! #mardigras #nola #LLSMSLA @ The Leukemia &…",2
"Fighting leukemia to the point When Everyone Survives! (@ The 1818 Club in Duluth, GA) pic.twitter.com/HzlCNZ910m",2
This brave boy started Phase 2 of Leukemia treatment today! It's been a crazy day for him:…,2
"Middle Mediastinal Mass -20% of mediastinal masses -Adenopathy (Usually Leukemia/lymphoma, also TB) -Foregut Duplication #CPPS2017 #PulmCC",2
anterior mediastinal Masses -Lymphoma/Leukemia most common -Germ Cell Tumors (85% Teratoma) -Thymus #CPPS2017 #Tweetiatrician #PulmCC,2
GIVEAWAY!!! I'm running the LA marathon on March 19th to raise money for The Leukemia and…,2
"Police Recruit travels 1,300 miles to donate bonemarrow to a 9 year old Italian boy diagnosed with leukemia.…",2
We are taking steps to make someday today. #talkaboutittuesday #SomedayisToday @ The Leukemia &…,2
Child with termina leukemia gets dream puppy …,2
"Melissa learned she had leukemia. With the help of family, friends, and co-workers, their three kids got to school…",2
It was a wet and cloudy day at the AYC Leukemia Cup and Birthday Regatta #sailing #sailboats…,2
day 1 in the leukemia unit at the Kay Research and Care Center at… …,2
Child with terminal leukemia gets dream puppy - …,2
"We'll miss you, Norma: 89-year-old leukemia patient who moved in with neighbor dies",2
"#Throwback to the #amazing taylorswift when she visited 6 year old #Leukemia Patient, Jordan and…",2
From raising money for The Leukemia and Lymphoma Society for our… …,2
Study funded by CU Health says kids living near oil/gas development have higher rate of leukemia Denver7 News,2
this sweater was 95 cents @ Leukemia Texas Donation Drop-off Center,2
LA County Sheriff's deputy runs in full uniform to honor sergeant with leukemia,2
Meet our hero evamariestrong who is battling leukemia. and orangepd spent some…,2
"this is Ashley, she is currently in a fight with Leukemia, it was so… …",2
"A Miami family is searching 4 help in SA. Briana, a 12 y/o with Leukemia, needs a bone marrow match! Blood drive un…",2
Today my boy Aaron starting his fight against leukemia... Round 2!!! U got this…,2
What is #leukemia and #lymphoma ? #LLSMSLA #LeukemiaandLymphomaSociety @ The Leukemia &…,2
The Sagman family thoughts and prayers are with young Connor Broadrick as he fights Leukemia .…,2
"Leukemia Patient Tases Cop, Checking Off Bucket-List Wish",1
"Leukemia Patient Tases Cop, Checking Off Bucket-List Wish",1
Alyssa Elkins made her bucket list when her leukemia returned and she decided not to undergo further treatment.,1
Police help Ohio teen with leukemia fulfill bucket list dream of using stun gun,1
"St. Joseph's/Candler - Leukemia Cup - Run for Jane 10k - Savannah, GA - I took first overall out…",9
"Today is the first day of Fighter•Friday Meet Gabriella, she was diagnosed with leukemia a…",9
The FDA Just Approved the First 'Living' Therapy to Treat Childhood Leukemia …,8
FDA approves first-of-its-kind “living drug” for childhood leukemia,8
"Great supporting OFHS Varsity Soccer, #00, and fighting for a cure! #leukemia #soccer #goalie…",8
"Revolutionary gene therapy approved for leukemia — at $475,000 price tag pic.twitter.com/k6yIYf2iOm",8
U.S. clears first “living drug” for tough childhood leukemia,8
FDA approves first 'living drug' for tough childhood leukemia -- …,8
"Revolutionary gene therapy approved for leukemia — at $475,000 price tag pic.twitter.com/Mv9wif6fYE",8
"September is Blood Cancer Awareness month. If you know anyone living with leukemia, lymphoma or…",8
#Repost Little Caiden was diagnosed with leukemia and We teamed up with…,8
Leukemia cup in full force. #leukemiacup2017 @ Columbia Yacht Club …,8
: ( ) Taylor Hammond is a 10-year-old Trojan fan battling leukemia. This is what…,8
#cancersurvivor #cancercouldntstopAJ #LEUKEMIA #cancersucks @ Children's Healthcare of…,8
Our mission. #LLSMSLA #leukemialymphomasociety @ The Leukemia & Lymphoma Society…,8
So this guy Ray Johnson played for the Dallas Mavs & beat leukemia. (at pic.twitter.com/dK6p7EQTp2,8
Volunteering for Leukemia & Lymphoma Society's Team in Training this morning. Go Team LLS!!,8
How about a Disc Golf Event at wildhorsediscgolf to raise money for #Leukemia #LVDGC…,8
Ladies getting excited about fundraising for #lightthenight for The Leukemia Lymphoma Society…,8
Action packed day that included learning how to tango dance from a leukemia patient and…,8
Wonderful evening listening to survivors of leukemia & lymphoma! We'll celebrate more at…,8
I was honored to be able to speak at the Leukemia and Lymphoma… …,8
My baby boy Scooter suffered with Leukemia and was plagued with… …,8
#FeelGoodFriday Local wish kid Danny is fighting leukemia & wished to go to Walt Disney World Resort! pic.twitter.com/yzGL6qp9b6,8
As a part of the Leukemia & Lymphoma Society’s Random Acts of Light Campaign—an initiative…,8
In this fine morning Supporting the Fast Foward 5K run for #leukemia #FastFoward5k #DC #DMV…,8
"#Shingles are by far worse, then anyone can explain!!! Then add Leukemia and now Found out as…",8
"Leukemia Lymphoma Society Support Group! (@ Florida Cancer Specialists & Research Institute in Lady Lake, FL)",8
Four-year-old girl welcomed back home after her long battle with leukemia: …,7
"hanging out on the smurf turf for the leukemia lymphoma society kick off party, it doesn't…",8
What a special honor to have the Leukemia and Lymphoma Society visit the dealership to thank us…,8
Tumbler we Pro Lined for a special friend of ours. #breastcancer #leukemia…,7
Hi there friends! We are having a yard sale to benefit the Leukemia Lymphoma Society and are…,7
At Moffitt Cancer Center for my quarterly visit - Turns out I still have Leukemia. It also turns…,7
"Eric Clapton guitar auctioned off for $45,000, proceeds to pay for leukemia patient's medical bills and research.",7
Condars New Life Team for Leukemia Awareness Benefit. Provides transportation and hotel…,7
Newlyweds celebrate after experimental treatment leaves no trace of husband's leukemia,7
Celebrating Natasha's accomplishments during the Leukemia & Lymphoma Society Man Woman of the…,7
Newlyweds celebrate after experimental treatment leaves no sign of husband's leukemia,7
Went to the kickoff luncheon for #lightthenight walk for Leukemia &… …,7
Family thanks officers after iPad given to child with leukemia,7
"Penn Police officers ""make things right"" for young girl diagnosed with leukemia",7
"Philly Police officers ""make things right"" for young girl diagnosed with leukemia.",7
Today we found out that my dads cousins child has leukemia and has… …,7
Huge shout out to Jeff Terry and everyone that came out to support the Leukemia and Lymphoma…,7
"Red, White and Booze 4 on the Shore Summer Crawl benefiting the Leukemia Lymphoma Society in…",7
We lost the great Warriors legend Nate Thurmond to leukemia. He was a boyhood idol and later a great friend. I love… …,7
A local boy battling #Leukemia! #HealthyLiving,7
"Day 2 of treatment. Kicking Leukemia's booty! (@ Hematology And Oncology in Murrieta, CA)",7
Leukemia can't take away your joy.Craig Sager @ FedEx Field - Home of the Washington Redskins,7
Me and Little Bits. @ Chalet Brannan Leukemia Foundation,7
U.S. Rep. Ted Poe diagnosed with leukemia,7
"Today, Ken Shmarak would have been 82 years old. Leukemia took him away from us way too early,…",7
"- while the word 'hilarious' isn't usually associated with leukemia, Gaige's appetite due to the…",7
DeeDee testifying today of being Dr Verified HEALED & Leukemia FREE during our time of Foot…,7
I want you to meet my mommy. Her name is Elsa and she was 64 when leukemia claimed her life.…,7
A full quarter card is always a welcome sight in the battle against #lymphoma & #leukemia.,7
"Terminally ill toddler, Stevie Wayne Matthews, dies of Leukemia",7
Catch us on #BenFM 95.7 in two weeks talking about The Leukemia and Lymphoma Man/Woman of the…,7
Smoothie Whirl'd is excited to announce that we are once again fundraising for the Leukemia &…,7
Monster trucks gather to support 2-year-old boy with leukemia …,7
Monster truck rally underway for toddler battling incurable form of Leukemia -->,6
Benefit for 2y/o leukemia patient Stevie Wayne. He's not strong enough to be here today. pic.twitter.com/AeKQmRj7po,6
#mom #loveher #warrior #leukemia #chemo @ Our Lady of the Lake… …,6
12 yr old boy diagnosed w/Leukemia becomes a K9 deputy for a day. Witness his tears of joy on ABC7 Eyewitness News…,6
Boyle Heights boy with leukemia sworn-in as Los Angeles County Sheriff's K-9 deputy,6
Looks like got a second #catcher in the family now. #LeahStrong #Leukemia #FightLikeAGirl.…,6
DREAM finish for leukemia challenge,6
DREAM Finish for Leukemia Challenge,6
DJing a fundraiser for LLS tonight (Leukemia & Lymphoma Society). I can imagine worse ways to…,6
#fbf Back to fundraising for the Leukemia & Lymphoma Society at World of Beer in Downtown…,6
"#Repost with repostapp ・・・ Wish kid Adrian has battled leukemia for years, and uses…",6
Army vet diagnosed with leukemia unable to get VA to cover treatment at hospital of his choice. WPLG Local 10 News… …,6
"Lost my mom to leukemia, want to do my small part to help If you can make it,…",6
Chris and I donated to Leukemia and Lymphoma Society and were the lucky ones who got to…,6
Congrats to my ace for winning the 2016 Man of the year award. The Leukemia & Lymphoma…,6
Father's Day 5K to Benefit the Leukemia and Lymphoma Society. It's gonna be a slow run!…,6
Team D's 4th annual Jim Gibbons 5k for leukemia! Really something… …,6
"TNT reporter CraigSager, who is battling leukemia, is covering his 1st ever NBAFinals game.",6
Had a great time at the Leukemia and Lymphoma Society Grand Finale Gala. My friend we a…,6
Pop Up Fundraiser for Leukemia today!!! We're donating a portion of our sales to the…,6
A selfless teen dealing with leukemia had her wish granted by StephCurry. DubsOn7,6
