tweet_text,month_of_tweet
I'm ready for this!!! Yo corro por el cancer y tu? 15k #circuitoasicstrail…,4
"Shredding obsolete stereotypes about aging, cancer treatment and sexual attraction: rise above…",4
Last night pink party. Bringing awareness to breast cancer. MISSED!!! #professionalrelaxation…,9
All ous at the Lab support the fight. October is Breast Cancer Awarnes Month. #thinkpink…,10
"Exclusive Designers Panama City, supports The Breast Cancer Awareness Month.Exclusive Designers…",10
Todas a bailar sabroso contra el #cancer con authenticgirls.pa ! Organiza girlbosspty17 y…,10
"Legalize war Cancer @ Panama City, Panama",7
"No shave November is here!... #Movember Supporting the fight against men's prostate cancer,…",11
#YoLucho #Repost with repostapp ・・・ Who says cancer and chemo have to get get you…,10
Ready for the show#Pink Carpet #yo luho #Fonda cáncer #formal dress#chiffon#pink @ AltaPlaza Mall,10
Day one of #thingsIlearnedaboutbreastcancer: Your fight does not end when the cancer is…,10
