tweet_text,month_of_tweet
"Making Strides Against Breast Cancer meeting, planning for this year's walk. Save the date,…",4
Mom shares tragic photo of her son after he dies from cancer,4
Grieving mother's photo reveals heartbreak of losing 4-year-old son to cancer,4
LD1433 [NEW] An Act To Protect Maine Children from Lung Cancer by Requiring Radon Testing in Schools,4
"This was September 11, 2016. The day before we found out dad has cancer. As much as I wish we…",4
"Treating post Prostate Cancer and Urinary Incontinence (@ KOSA Acupuncture in Gaithersburg, MD)",4
Come See Me Host and Perform at Hard Rock Cafe Boston Show supporting all New England Cancer…,4
#danadelany supports #su2c at annual benefit #cancer #fightcancer #cancersucks #cancersurvivor…,4
"AIDS : MP claims Asian massage can cure HIV, brain cancer",4
Leukemia and Lymphoma Society partnership night (10% of proceeds go to cancer research) (@ Hat Creek Burger Co.),4
A mom shared the heartbreaking conversation she had with her son after finding out his cancer wasn't treatable. …,4
Sara joined me and Jess to fight #cancer last night #cancersucks #prowler - Join…,4
"Our 1,000 registration! Personalized Cancer Education! So proud of our team. #cancersucks #beatcancerpic.twitter.com/1P7kt89w2H",4
Cancer baby!!! #Lace #miami #indieartist #starhitterzent #universalgrind…,4
A Maryland mother describes the final moments of her 4-year-old son's battle with cancer and it's heart-wrenching.…… …,4
North Carolina dad and two sons receive same heartbreaking cancer diagnosis - Fox News,4
Today marks 9 months since I got surgery to remove cancer. They also ended up having to take out…,4
Mother shares heartbreaking final moments of 4-year-old’s battle with cancer,4
"Michael Bublé’s 3-year-old son Noah doing ""well"" following cancer treatment …",4
35 years ago TerryFox began his Marathon of Hope to try and create a world without cancer. TerryFoxFoundation… …,4
Mother shares heartbreaking final moments of 4-year-old's battle with cancer,4
Yesterday we had our Breast Cancer Awareness softball games to… …,4
Mother shares last moments of 4-year-old son's battle with cancer KHOU,4
After a long tough battle my Tia Fresia is all finished with Chemo and ready to be Cancer Free!…,4
Ring the bell! @ Hulston Cancer Center at CoxHealth,4
Hooray for Chris! @ Hulston Cancer Center at CoxHealth,4
This is Kinzie. She's one of the patients at Boston Children's Hospital who is battling cancer.…,4
FDA fast-tracks clinical trials of gene therapy for cancer patients …,4
""" Black men and white people are a cancer to this entire world."" lol wut",4
Damn RIP Charlie Murphy... fuck cancer all day! @ Pompano Beach Area,4
"Benefits of eating yellow and orange ORGANIC fruits and veggies. A lower risk of cancers,…",4
THIS FRIDAY! #AMFMTY Cancer Benefit Edition will be here! Get your tickets today! We are…,4
Remember those that are fighting cancer.. #shepshouseofstyles #fightcancertogether #wecare…,4
"Had a blast last night playing some music for hopesongnashville - Fighting cancer, raising…",4
this was for cancer treatment. And it steadily got worse over my 15 years with them,4
Good afternoon @ Rutgers Cancer Institute of New Jersey - CINJ …,4
"I'm at The Hospital of Central Connecticut Cancer Center in Plainville, CT",4
"Can hardly concentrate... cmon 3:00 (@ Toledo Clinic Cancer Center in Toledo, OH)",4
Good Morning Beautiful Amazing People!!Have An Amazing Day @ Levine's Cancer Institute,4
Michael Buble's son doing 'well' after cancer treatment …,4
"Chemo 6 Round 2. Woot (@ Mount Sinai Cancer Center in Miami Beach, FL)",4
"8-year-old battling cancer flies to California, plays basketball with Golden State Warriors FOX59Morning",4
SR17 [Passed] Commends the Mary Bird Perkins Cancer Center on hosting its 10th annual Fest for Life health event...,4
I have cancer. Lung cancer. It's bad,4
"A friend, I have had for over 20 years got a tattoo that reflects my cancer and my love of…",4
Chewing gum that detects cancer in development …,4
H4411 [NEW] Provides an appropriation for the Hospital Outpatient Services Cancer Center Prospective Payment Sys...,4
"Lately, it seems that cancer in all its varying forms, is taking relentless swings as a few dear…",4
Indianapolis 8-year-old battling cancer plays basketball with Golden State Warriors,4
"Finished off a memorial for a woman's husband, he passed recently from cancer. RIP Keith Toth",4
I was honored to be part of an unforgettably inspiring shoot for breast cancer awareness with an…,4
"Michael Bublé 3-year-old son, Noah, is doing well after cancer treatment …",4
"Cancer to the Aquarius. @ El Paso, Texas",4
Cancer patient dedicates precious last moments in life to helping others kprc2,4
#peopleofhendersoncenter @ American Cancer Society Discovery Shop/Eureka,4
MEDPAGE TODAY: ACA REPEAL CALLED 'NOT COMPATIBLE WITH CANCER DIAGNOSIS' …,4
Set of 3 beaded elastic Cervical Cancer awareness rings. #cervicalcancer #michelaneousetsy…,4
"HR239 [NEW] Designating the month of June 2017 as ""Cancer Survivors Recognition Month"" in Pennsylvania and honori...",4
#KickforDanaFarber empowers soccer teams to become stars on & off the field in the fight against cancer! Learn more: pic.twitter.com/E418lBHHqq,4
"Michael Buble's 3-year-old son doing 'well' after cancer treatment, but has a long recovery ahead …",4
"HR241 [NEW] Recognizing the month of May 2017 as ""Bladder Cancer Awareness Month"" in Pennsylvania.",4
Child Cancer Awareness Game today at Providence School! Look at… …,4
Arlington police officer dies of cancer at 45 …,4
Michael Buble's son doing well after cancer treatment.,4
Michael Bublé’s wife confirms son Noah is recovering well from cancer battle …,4
SR17 [NEW] Commends the Mary Bird Perkins Cancer Center on hosting its 10th annual Fest for Life health event on...,4
Another great job to one of our partners Noah Tabor on the connnection to cancer and…,4
Former Saturday Night Live star cracks up crowd at cancer gala,4
My breast cancer warrior with her daughter right before surgery yesterday. These two have solid…,4
Customized Breast Cancer cupcake toppers #cancersurvivor #cancersucks #faith #strengthnoweakness…,4
Michael Buble's son doing well after cancer treatment,4
#Cancer Society of AL advocates spent time w/ legislators today about screening funding in our…,4
Starting treatments again....... (@ Rush University Cancer Center.),4
"I'm at Cancer Institute in Seattle, WA",4
AIDS : Cancer Burden Grows in Patients with HIV,4
"I'm at Seattle Cancer Care Alliance - in Seattle, WA",4
Good afternoon to All @ Rutgers Cancer Institute of New Jersey -… …,4
LD1394 [Engross] An Act Regarding Certain License Plates for Veterans and Providing for a Breast Cancer Support S...,4
#nightshift #workflow #ogteej #DIA #gtm #lesstalk #imagetit oohh yea #cancer @ Commerce City…,4
"Mum's appt, she's having major side effects from the cancer treatment, plus she's sick & her immune system is...",4
"Other than surgeries that was caused by cancer or illness, saying you wanted surgery bc ""you wanted to"" and not for attention is dumb af",4
#owningthecircle in Cancer Genomics now calverthallmlax game day at 4pm ... though I'm gonna…,4
"Tip of the day: Reishi mushroom fights cancer, allergies, and fatigue among many other health…",4
@ Hawthorne Cancer Center …,4
Harker's Cancer Walk to support sending kids to Camp Okizu #harkertogs @ The Harker School,4
"Michael Buble’s son, 3, doing well after cancer treatment",4
5/20 Charity bar Crawl in downtown Danbury for Ann's Place cancer… …,4
Wicked cancer...you are not allowed to take my loved ones' attention from worshipping and…,4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
"Prostate Cancer Screening: New Guidelines Let Patients Weigh Harms, Benefits",4
Help stomp out Cancer We have all been touched by Cancer and would love to see you name…,4
#instantaccess #kisses #daydate @ Kellogg Cancer Center …,4
"I'm at The Hospital of Central Connecticut Cancer Center in Plainville, CT",4
Stay tuned as I share my family's experience at We just want answers & collaboration please. Teamwork! #Cancer #Prayers4Dad – at The Valley Hospital,4
#Undisputed I hope Kyle Korver is a cancer for the LMBO!!!! LET'S GO HAWKS!!!! #TrueToAtlanta #NBA #HawksHustle,4
H2176 [NEW] Relative to insurance coverage for mammograms and breast cancer screening,4
Day 2! #orientation #POA #MSK @ Memorial Sloan Kettering Cancer Center …,4
"Coffee shop (@ James Cancer Hospital and Solove Research Institute - in Columbus, OH)",4
Good morning Beautiful Amazing People!!!! @ Levine's Cancer Institute,4
"hitting it harder than ever ,, stop dwelling on the day and the cancer of workplace school home…",4
Pregnant woman sacrifices her own life to save her baby following cancer revelation,4
AIDS : Scotland gets breast cancer and HIV-prevention drugs deemed too expensive in England and Wales,4
Man #FCancer!!! CANCER is different forms has affected myself and my family greatly! I was…,4
"TWIST OUT CANCER: BRUSHES WITH CANCER 2017 EXHIBITION, GALA AND AUCTION …",4
#Stigmabase USCA - Firefighters plan fundraising walk for children with cancer - This isn't the first time Jimenez…,4
One of the reasons my wife started selling Human Hair Wigs! Her mom had cancer and…,4
CANCER GRAD: WISDOM WEDNESDAY …,4
"espn: ""Brody, a cancer patient who met Steph earlier this season, reconnected with his pal…",4
New Cancer Health and Wellness Center at Baylor Scott & White Medical Center – Plano,4
"Around now 20 years ago, I was declared cancer-free. Tonight I celebrate with sushi. Everyday I smile at this gift called life.",4
Part two of my journey eradicating skin cancer. Hind sight is always 20-20...hopefully some…,4
"Great day at the 4th Annual Teal Cup to benefit Ovarian Cancer research. We raised over $50,000…",4
Anthony Devito giving the Comics Against Cancer 4 crowd a sneak-preview of his upcoming Comedy…,4
#happy #siblings #day my #brothers #chokeoutcancer @ Chokeout Cancer,4
Jon Fisch lighting them up at Comics For Cancer 4! #CAC4 @ Geva Theatre Center,4
8 years ago on this date I was diagnosed with cancer for the very first time. It was the day…,4
Lizzie Cooperman tickling ivories and funny bones at Comics Against Cancer 4! #CAC4 @ Geva…,4
Earl David Reed CRUSHED at Comics Against Cancer 4! #CAC4 @ Geva Theatre Center,4
We are excited to host the American Cancer Society Bark for Life again his year!! @ Elings Park,4
A couple of cancer free chicks with one groovy and wonderful dude. A lovely night hearing and…,4
"Come join us for ""Helping Friendly Tuesday"" to support Pancreatic Cancer Action Network…",4
Had an awesome time today at the 4th Annual Teal Cup Golf Tournament benefiting Ovarian Cancer…,4
"Treating post Prostate Cancer and Urinary Incontinence (@ KOSA Acupuncture in Gaithersburg, MD)",4
Buster had her cancer cut out again today. @ Abri Vet,4
Like with cancer: well this is definitely my full-time job! Started today with x-rays of my hip…,4
Fast capture of cancer markers will aid in diagnosis and treatment …,4
What an amazing weekend to kick cancer's butt! #CampRelay #TeamTrixie @ Wisconsin Field House,4
HB1278 [Passed] Cervical cancer prevention. Requires the state department of health (department) to develop a str...,4
#AMFMTY Cancer Benefit Edition This Friday! April 14th. Artist… …,4
16th Annual Jerry Colangelo Sports Legends Golf Classic benefiting Prostate Cancer (POP)! Not a…,4
"MEET BethAnn Telford. Courageous, determined, selfless. A hero! She is a 12 yr brain cancer…",4
Pushing Mom around at her cancer check up @ UAMS Winthrop P. Rockefeller Cancer Institute,4
Here. #CancerDancer #thebattlegoeson #RedStorm #checkups #pokeandprobe @ Bi Cancer Center,4
"It's chemo Monday. And I'm down to 176 according to the scales. Yay! (@ St.Vincent Cancer Care in Indianapolis, IN)",4
Kicking cancer in the fanny(pack) #relayforlife @ Ira S. Wilson Ice Arena,4
"Naomi Wilke, 8, has battled two kinds of cancer for the past 10 months. An 8-year-old leukemia…",4
Hey guys I am helping out two friends that are battling cancer. Malina Davis is 17 and her…,4
